Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-21,74.23,77.98,73.88,77.94,77.94,61311970
2020-09-22,78.365,78.79,75.27,77.7,77.7,56044742
2020-09-23,77.39,77.91,74.34,74.73,74.73,42327514
2020-09-24,74.54,77.25,73.9,75.82,75.82,57540926
2020-09-25,76.35,78.2,74.67,78.055,78.055,48206242
2020-09-28,79.1165,79.57,77.52,79.48,79.48,48005488
2020-09-29,79.3,82.55,79.3,81.77,81.77,61633672
2020-09-30,81.75,82.94,80.66,81.99,81.99,51533664
2020-10-01,83.06,85.25,82.86,84.86,84.86,52177123
2020-10-02,82.58,84.65,81.66,81.8,81.8,52855053
2020-10-05,82.55,86.2819,82.55,86.15,86.15,47056522
2020-10-06,86.21,87.25,83.54,84.48,84.48,52725432
2020-10-07,86.1,87.79,85.65,86.69,86.69,43045723
2020-10-08,88.11,88.72,85.95,86.51,86.51,54240704
2020-10-09,84.74,85.75,82.3465,83.1,83.1,80354389
2020-10-12,83.65,85.13,83.12,84.29,84.29,47669699
2020-10-13,84.86,86.09,83.9733,85.28,85.28,42764096
2020-10-14,85.86,85.96,83.46,84.21,84.21,40446735
2020-10-15,83.4,84.7201,82.42,83.13,83.13,33696414
2020-10-16,83.54,83.99,82.41,83.17,83.17,31474294
2020-10-19,83.62,84.65,81.53,82,82,36689114
2020-10-20,82.16,82.69,80.58,81.56,81.56,38219415
2020-10-21,81.72,81.9299,79.19,79.2,79.2,36426409
2020-10-22,79.65,80.82,78.42,79.42,79.42,38006798
2020-10-23,80.93,81.99,79.33,81.96,81.96,46557675
2020-10-26,82.55,84.97,80.86,82.23,82.23,69423675
2020-10-27,82,82.37,77.57,78.88,78.88,156669494
2020-10-28,78.73,78.96,75.76,76.4,76.4,76529910
2020-10-29,76.75,79.18,76.29,78.02,78.02,52784087
2020-10-30,77.09,77.7,74.23,75.29,75.29,51426174
2020-11-02,75.85,76.3398,73.7573,74.7,74.7,45760659
2020-11-03,74.93,77.08,74.6,76.58,76.58,41231803
2020-11-04,80.25,81.85,78.975,81.35,81.35,66579711
2020-11-05,83.27,83.5,81.85,83,83,46542267
2020-11-06,83.52,86.09,82.67,85.88,85.88,53829936
2020-11-09,84.24,87.05,82.77,83.12,83.12,58580684
2020-11-10,81.93,82.13,77.63,77.99,77.99,67137196
2020-11-11,79.39,81.47,78.97,81.28,81.28,44611250
2020-11-12,81.32,83,80.3,81.84,81.84,37303106
2020-11-13,82.73,83.11,80.7,81.43,81.43,30448461
2020-11-16,81.21,83.78,80.48,83.73,83.73,38640842
2020-11-17,83.9298,84.81,82.91,83.36,83.36,29473512
2020-11-18,83.0135,83.955,82.22,82.54,82.54,29967958
2020-11-19,82.39,85.64,81.72,85.54,85.54,50116759
2020-11-20,85.28,86.1,84.47,84.64,84.64,35008427
2020-11-23,85.52,87.54,84.615,85.31,85.31,46504964
2020-11-24,85.7235,86.11,83.32,85.07,85.07,36839174
2020-11-25,85.76,87.84,85.52,86.71,86.71,41349727
2020-11-27,87.99,88,86.3598,87.19,87.19,22717638
2020-11-30,87.33,92.74,86.53,92.66,92.66,84482979
2020-12-01,92.25,93.9,90.78,92.63,92.63,58670527
2020-12-02,92.89,96.37,92.5253,93.74,93.74,57988822
2020-12-03,94.06,94.7,92.01,92.31,92.31,35859716
2020-12-04,92.58,94.58,90.63,94.04,94.04,45570273
2020-12-07,94.95,95,92.97,94.07,94.07,39815654
2020-12-08,94.05,94.74,91.9,92.92,92.92,33907510
2020-12-09,92.76,94.7,89.16,89.83,89.83,52170379
2020-12-10,89.55,92.09,89.0297,91.66,91.66,33804412
2020-12-11,91.54,92.33,90.16,91.65,91.65,28368145
2020-12-14,92.205,95.41,91.85,94.78,94.78,48026426
2020-12-15,95.93,97.98,95.45,97.12,97.12,57305100
2020-12-16,97.04,97.27,95.46,96.85,96.85,34909037
2020-12-17,97.55,97.92,96.25,96.84,96.84,32023734
2020-12-18,97.27,97.68,93.56,95.92,95.92,51823103
2020-12-21,94.25,95.28,91.08,93.23,93.23,47093891
2020-12-22,93.36,93.55,90.53,93.16,93.16,35717836
2020-12-23,93.08,93.13,91.46,91.55,91.55,25993348
2020-12-24,91.8,92.51,91.31,91.81,91.81,16705909
2020-12-28,92.93,93.14,90.82,91.6,91.6,30627297
