Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-14,3172.937,3187.39,3096,3102.97,3102.97,4529596
2020-09-15,3136.16,3175.02,3108.92,3156.13,3156.13,4021535
2020-09-16,3179.99,3187.238,3074.15,3078.1,3078.1,4531189
2020-09-17,3009.25,3029.432,2972.55,3008.73,3008.73,6449050
2020-09-18,3031.74,3037.8,2905.54,2954.91,2954.91,8892580
2020-09-21,2906.5,2962,2871,2960.47,2960.47,6117925
2020-09-22,3033.835,3133.99,3000.2,3128.99,3128.99,6948816
2020-09-23,3120.43,3126.999,2992.376,2999.86,2999.86,5652665
2020-09-24,2977.79,3069.3,2965,3019.79,3019.79,5529392
2020-09-25,3054.86,3101.54,2999,3095.13,3095.13,4615202
2020-09-28,3148.85,3175.04,3117.168,3174.05,3174.05,4224165
2020-09-29,3175.39,3188.26,3132.54,3144.88,3144.88,3503398
2020-09-30,3141.14,3212.88,3133.99,3148.73,3148.73,4896101
2020-10-01,3208,3224,3172,3221.26,3221.26,4971922
2020-10-02,3153.63,3195.796,3123,3125,3125,5613098
2020-10-05,3145.84,3202.53,3140.85,3199.2,3199.2,3775332
2020-10-06,3165,3182,3090,3099.96,3099.96,5086857
2020-10-07,3135,3200,3132.385,3195.69,3195.69,4309439
2020-10-08,3224.99,3233.294,3174.99,3190.55,3190.55,3174114
2020-10-09,3210,3288.99,3197.83,3286.65,3286.65,4907871
2020-10-12,3349.94,3496.24,3339.55,3442.93,3442.93,8364198
2020-10-13,3467.99,3492.38,3424.217,3443.63,3443.63,5744697
2020-10-14,3447,3464.88,3340,3363.71,3363.71,5828916
2020-10-15,3292.01,3355.88,3280,3338.65,3338.65,5223448
2020-10-16,3363.23,3399.661,3160,3272.71,3272.71,6474353
2020-10-19,3299.61,3329,3192.735,3207.21,3207.21,5223626
2020-10-20,3222.28,3266,3192.01,3217.01,3217.01,4509678
2020-10-21,3212.5,3233.875,3160,3184.94,3184.94,4592736
2020-10-22,3189.87,3198.75,3121.94,3176.4,3176.4,4212005
2020-10-23,3191,3205.33,3140,3204.4,3204.4,3466687
2020-10-26,3198.74,3282.98,3153.3,3207.04,3207.04,5901151
2020-10-27,3224.94,3291.66,3211.3,3286.33,3286.33,4291047
2020-10-28,3249.3,3264.02,3162.47,3162.78,3162.78,5588330
2020-10-29,3201.27,3257.25,3164,3211.01,3211.01,6596529
2020-10-30,3157.75,3167.004,3019,3036.15,3036.15,8396081
2020-11-02,3061.74,3079.705,2950.12,3004.48,3004.48,7257350
2020-11-03,3018.53,3074.9,2980.98,3048.41,3048.41,4897880
2020-11-04,3159.99,3244.85,3139.73,3241.16,3241.16,6839041
2020-11-05,3319.97,3366.8,3288.88,3322,3322,5789285
2020-11-06,3304.64,3322,3232,3311.37,3311.37,4647330
2020-11-09,3231.03,3289,3112.106,3143.74,3143.74,7190406
