Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-16,281.54,284.2334,280.7803,281.03,276.1569,2668303
2020-09-17,277.69,281.15,277.09,279.57,274.7222,3305288
2020-09-18,279.02,279.4,274.7731,276.52,272.3747,3156714
2020-09-21,271.58,272.17,267.05,271.44,267.3709,5936941
2020-09-22,271.67,273.24,269.79,272.81,268.7204,3169838
2020-09-23,274.18,274.59,267.08,267.58,263.5688,3575918
2020-09-24,266.86,270.8777,265.27,268.1,264.081,4432082
2020-09-25,266.76,272.31,266.23,271.7,267.627,3606821
2020-09-28,275.26,277.12,274.72,275.9,271.764,2790187
2020-09-29,275.6,275.98,273.29,274.42,270.3062,1980155
2020-09-30,275,280.17,275,277.5,273.34,4028462
2020-10-01,279.33,280.35,276.57,278.14,273.9705,2967993
2020-10-02,274.17,278.51,273.6,276.8,272.6505,4771602
2020-10-05,278.79,281.59,278.75,281.51,277.2899,1862496
2020-10-06,282.54,283.52,277.24,277.72,273.5568,4364415
2020-10-07,280.28,283.67,280.23,282.92,278.6788,2422621
2020-10-08,284.52,284.68,282.69,284.29,280.0283,2147964
2020-10-09,285.61,286.81,284.41,285.93,281.6437,2549141
2020-10-12,286.95,289.61,286.68,288.46,284.1357,2534786
2020-10-13,287.66,288.1099,286.02,286.74,282.4415,2430643
2020-10-14,287.22,287.95,284.58,285.13,280.8557,2269823
2020-10-15,282.03,285.4,281.66,285.04,280.767,3134929
2020-10-16,286.24,288.37,285.89,285.97,281.7985,2412674
2020-10-19,286.64,287.06,281.28,282.03,277.916,2837641
2020-10-20,283.16,285.66,282.25,282.95,278.8226,3338994
2020-10-21,282.54,284.47,281.83,281.97,277.8569,2907083
2020-10-22,282.1,284.16,280.3001,283.65,279.5124,2324172
2020-10-23,284.45,284.54,281.51,283.34,279.2069,2161005
2020-10-26,280.14,280.39,273.7,277,272.9594,5140625
2020-10-27,276.95,277.07,274.6,274.66,270.6535,3029773
2020-10-28,269,270.75,265.02,265.48,261.6074,5815157
2020-10-29,265.13,268.94,262.81,266.59,262.7012,5479384
2020-10-30,265.03,266.32,261.41,265.06,261.1936,5278983
2020-11-02,268.9,270.5,266.93,269.2,265.2732,5062870
2020-11-03,272.66,276.43,272.2,274.65,270.6437,4343013
2020-11-04,275.9,283.06,275.5601,278.51,274.4474,6766381
2020-11-05,282.29,284.9599,282.07,283.91,279.7686,4316166
2020-11-06,283.95,284.38,281.89,283.22,279.0887,3078245
