Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-16,119.42,120.81,116.76,116.93,116.93,1088698
2020-09-17,113.82,115.86,112.61,115.35,115.35,1481681
2020-09-18,116.17,117.72,114.31,117.28,117.28,1518248
2020-09-21,116.23,118.31,115.0798,117.835,117.835,1219082
2020-09-22,118.48,118.85,115,118.68,118.68,1182019
2020-09-23,119.46,119.8,114.7,115.27,115.27,1081633
2020-09-24,114.8,116.8114,113.5,115.5,115.5,1146400
2020-09-25,115.97,117.45,114.66,116.81,116.81,898479
2020-09-28,118.27,118.5,116.41,117.31,117.31,926250
2020-09-29,117.59,118.82,116.65,117.1,117.1,1037146
2020-09-30,117.07,118.65,116.17,117.81,117.81,1384853
2020-10-01,118.643,120.93,118.28,120.25,120.25,1261609
2020-10-02,118.14,121.77,116.3,116.38,116.38,1176528
2020-10-05,118.873,119.64,116.39,119.09,119.09,1768384
2020-10-06,119.73,121.31,117.92,118.3,118.3,1013862
2020-10-07,118.94,120.99,118.36,120.69,120.69,1015583
2020-10-08,121.69,122.93,120.825,121.64,121.64,772133
2020-10-09,123.62,126.98,123.35,126.18,126.18,1295017
2020-10-12,127.7,130.57,127.0459,128.88,128.88,1385960
2020-10-13,128.97,131.62,128.221,130.61,130.61,1301347
2020-10-14,131.32,132.81,129.08,130.14,130.14,1285172
2020-10-15,128.34,132.53,127.7,131.75,131.75,1337599
2020-10-16,132.18,132.88,131.39,131.54,131.54,1004017
2020-10-19,130.83,133.505,128.58,128.82,128.82,649844
2020-10-20,132.99,134.94,132,132.52,132.52,1589802
2020-10-21,132.31,132.6,129.445,129.98,129.98,1313336
2020-10-22,130.33,130.645,126.77,128.16,128.16,701961
2020-10-23,128.01,130.41,127.62,130.38,130.38,951151
2020-10-26,129.16,130.715,122.18,123.18,123.18,1429074
2020-10-27,124.78,125.6,123.485,124.23,124.23,1321422
2020-10-28,123.04,123.16,118.83,118.95,118.95,1409275
2020-10-29,119.77,120.94,118,118,118,1434264
2020-10-30,118.08,118.08,106.75,110.37,110.37,4300530
2020-11-02,110.98,111.44,109.881,110.59,110.59,1527667
2020-11-03,110.44,113.86,109.27,112.41,112.41,1361522
2020-11-04,114.7,117.87,113.49,116.24,116.24,1244236
2020-11-05,118,119.89,117.8,119.51,119.51,1046020
2020-11-06,119.5317,119.5317,116.88,117.21,117.21,1126232
2020-11-09,117.86,122.96,116.5913,117.11,117.11,1607853
2020-11-10,115.95,116.36,109.93,111.3,111.3,1631295
2020-11-11,113.38,115.3,112.37,114.59,114.59,914025
2020-11-12,115.49,116.67,112.35,113.6,113.6,940841
2020-11-13,115.04,116.15,113.95,115.92,115.92,890939
2020-11-16,115.8,117.32,115.32,116.72,116.72,895149
2020-11-17,117.4,119.66,116.86,118.42,118.42,926994
2020-11-18,120.12,120.52,116.56,116.68,116.68,1049119
2020-11-19,116.23,117.86,115.17,117.03,117.03,838625
2020-11-20,116.47,119.56,116.07,118.12,118.12,1083259
2020-11-23,118.5,119,115.9,117.08,117.08,986574
2020-11-24,117.81,118.9,115.71,118.59,118.59,1445792
2020-11-25,119.36,121.44,119,119.86,119.86,960977
2020-11-27,121.07,124.11,120.74,123.79,123.79,734969
2020-11-30,123.65,124.1,120.14,123.23,123.23,1720628
2020-12-01,124.31,124.31,120.37,122.64,122.64,938764
2020-12-02,122.15,123.24,120.68,122.88,122.88,679975
2020-12-03,123.64,127.51,123,126.09,126.09,1247141
2020-12-04,126.85,128.5631,125.94,127.8,127.8,616517
2020-12-07,128.61,129.38,127.6001,128.08,128.08,674153
2020-12-08,126.8282,131.85,126.8282,131.66,131.66,1055835
2020-12-09,130.03,130.82,124.48,125.34,125.34,1313230
2020-12-10,124.88,128.01,124.16,127.56,127.56,1037711
2020-12-11,127.3,128.53,126.12,128.36,128.36,1072727
2020-12-14,128.182,132.21,127.83,130.69,130.69,1156499
