Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-21,329.47,331.67,320.81,327.85,326.2819,4466047
2020-09-22,329.51,336.03,325.11,335.31,333.7062,3375282
2020-09-23,334.84,335.17,323.47,324.53,322.9778,2893892
2020-09-24,323.2,330.78,321.18,328.21,326.6402,3706328
2020-09-25,325.65,333.48,322.1,331.78,330.1931,3077606
2020-09-28,336.61,340.57,335.81,338.39,336.7715,3122503
2020-09-29,338.39,340.72,335.82,336.23,334.6218,2703855
2020-09-30,336.7,343.65,336.42,338.17,336.5525,3285410
2020-10-01,342.24,346.7,340.28,343.37,341.7277,2503643
2020-10-02,338.27,342.61,336.01,338.83,337.2094,2184840
2020-10-05,341.68,343.25,338.97,343.25,341.6082,2081554
2020-10-06,342.06,346.36,336.22,337.43,335.8161,2553410
2020-10-07,341.78,344.65,340.335,343.9,342.2551,3068268
2020-10-08,345.01,347.69,344.24,345.15,343.8992,1991848
2020-10-09,347.99,353.36,347,352.39,351.1129,3116763
2020-10-12,355,355,350.82,352.04,350.7642,2943192
2020-10-13,351.43,351.5,345.02,345.84,344.5867,2523751
2020-10-14,345.76,347.19,341.19,342.7,341.458,2234659
2020-10-15,338.3,339.61,332.815,338.57,337.343,3728078
2020-10-16,340,344.9787,339.23,339.4,338.17,3326354
2020-10-19,340.12,341.3,330.43,331.67,330.468,2937563
2020-10-20,333.04,336.8,331.68,331.72,330.5178,2679689
2020-10-21,332.49,336.32,331.3,333.42,332.2117,2725252
2020-10-22,333.37,335.375,329.25,333.6,332.391,2256296
2020-10-23,335.69,335.69,328.31,329.61,328.4155,2945459
2020-10-26,326.41,327.24,314.23,318.06,316.9073,5173344
2020-10-27,318.9,319.555,312.355,317.11,315.9608,4314917
2020-10-28,301.69,302,288.6,291.38,290.324,11518250
2020-10-29,293.2,295.3,287.55,293.18,292.1175,9582260
2020-10-30,289.85,291.85,281.2,288.64,287.5939,6893575
2020-11-02,294.24,294.8372,288.12,289.97,288.9191,5095018
2020-11-03,294.45,300.34,291.78,295.39,294.3195,4097715
2020-11-04,305.09,312.7199,302.24,307.2,306.0867,4790140
2020-11-05,315.14,319.35,313.58,316.53,315.3829,3794406
2020-11-06,315.98,316.49,310.09,313.64,312.5033,2978524
2020-11-09,346.92,357,340.9,344.56,343.3113,10933690
2020-11-10,339.99,345.86,333.44,334.78,333.5667,5330365
2020-11-11,337.41,337.7,331.07,332.39,331.1854,2969922
2020-11-12,329.06,333.09,326.295,328.29,327.1003,3208585
2020-11-13,330.3,336.11,327.34,335.03,333.8158,2393997
2020-11-16,341.8,342.65,333.17,335.45,334.2343,3313117
2020-11-17,333.17,337.77,330.72,336.5,335.2805,3412853
2020-11-18,336.53,340.95,334.855,335.94,334.7225,3203424
2020-11-19,335.49,339.16,331.42,333.88,332.67,2718742
2020-11-20,334.78,335.155,323,323,321.8294,4144864
2020-11-23,326.21,333.2,324.37,332.04,330.8367,3220817
2020-11-24,336.91,344.11,334.115,342.39,341.1492,3530834
2020-11-25,343.71,343.71,339.3409,341.32,340.083,2535198
2020-11-27,342.83,342.88,337.61,339.07,337.8412,1402271
2020-11-30,337.66,338.045,330.18,336.51,335.2905,4276207
2020-12-01,339.67,342.6299,337.62,338.88,337.6519,4210598
2020-12-02,336.78,340.24,334,340.22,338.987,2972421
2020-12-03,338.56,342.315,334.12,335.14,333.9254,3080295
2020-12-04,336.92,344.3548,335.8,344.35,343.1021,4323636
2020-12-07,343.36,347.99,340.05,340.96,339.7243,2389808
2020-12-08,338.28,342.83,336.7,340.79,339.555,2224649
2020-12-09,340.41,341.71,334.69,336.85,335.6292,2962586
2020-12-10,334.65,335.535,331.19,331.52,330.3185,3506826
2020-12-11,327.09,331.565,325.53,327.42,326.2334,4178111
2020-12-14,329,338.75,327.59,331.15,329.9499,3552615
2020-12-15,333.16,335.217,327.62,333.65,332.4408,3106678
2020-12-16,333.96,334,329.25,332.1,330.8964,3393284
2020-12-17,334.54,338.33,333.4,336.9,335.6791,2725483
2020-12-18,336.51,341.6,334.35,340.33,339.0966,8443730
2020-12-21,333.21,336.15,327.24,334.37,333.1582,3642516
2020-12-22,334.16,335.22,331.6,332.24,331.0359,2404432
2020-12-23,334.13,335.21,329.03,329.23,328.0368,2760577
