Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-21,551.14,556.4645,542.155,555.7,555.7,682596
2020-09-22,552.36,573.45,552.36,571.51,571.51,580537
2020-09-23,572.37,578.16,562.49,565.19,565.19,535661
2020-09-24,561,564.99,554.695,557.46,557.46,457917
2020-09-25,555.4,575.915,551,574.06,574.06,643630
2020-09-28,572.83,574.615,559.06,571.92,571.92,637089
2020-09-29,573.2,576,567.9186,573.61,573.61,501968
2020-09-30,589.7668,589.7668,554,559.78,559.78,2159257
2020-10-01,562.5,568.38,552.27,568.14,568.14,1092760
2020-10-02,562,576,554.04,564.8,564.8,1235110
2020-10-05,598.9,619.97,591.15,605.08,605.08,4843275
2020-10-06,605.32,610.38,579.02,581.64,581.64,1725288
2020-10-07,588.49,593.88,581.65,591.69,591.69,957157
2020-10-08,614.645,615,598.098,599.88,599.88,2355586
2020-10-09,601,604.44,593.505,602.07,602.07,1190123
2020-10-12,602.2543,605.3904,590.85,601.55,601.55,1003166
2020-10-13,601.6,616.31,600.18,607.98,607.98,1243947
2020-10-14,609.18,610.925,596.75,600.82,600.82,952832
2020-10-15,598.02,605.12,580.7399,585.18,585.18,1049582
2020-10-16,590,605.43,585.67,599.74,599.74,1169004
2020-10-19,600,601.09,579,583.14,583.14,778422
2020-10-20,582,586.49,573.14,576.63,576.63,637682
2020-10-21,577.53,581.68,567.02,572.4,572.4,493964
2020-10-22,566.04,577.05,566.04,575.73,575.73,468945
2020-10-23,580.29,582.72,575.12,579.81,579.81,565966
2020-10-26,574.66,587.62,574.66,585.74,585.74,533451
2020-10-27,584.98,590.97,579.04,582.52,582.52,526227
2020-10-28,576.69,578.975,563.87,567.04,567.04,592947
2020-10-29,576,576,555.54,555.79,555.79,904953
2020-10-30,545.12,556.58,533.23,543.56,543.56,1165560
2020-11-02,545.06,557.4128,539.17,548.58,548.58,835900
2020-11-03,551.89,561.24,550,557.19,557.19,490431
2020-11-04,578.09,593.96,575.95,587.14,587.14,1195584
2020-11-05,595,596.8,578.95,588.81,588.81,944296
2020-11-06,589.04,589.04,572.72,578.03,578.03,748760
2020-11-09,551.61,573.16,540.31,567.55,567.55,1321371
2020-11-10,560,565.99,546.93,559.22,559.22,839291
2020-11-11,564.85,573.655,560,567.73,567.73,671233
2020-11-12,568.92,570.995,554.835,556.78,556.78,548546
2020-11-13,560.22,567.7,556.8,566.43,566.43,566033
2020-11-16,557.45,566.7944,556,559.29,559.29,542176
2020-11-17,556.38,556.6,536.055,538.15,538.15,1051722
2020-11-18,543,543,518.19,519.04,519.04,1240843
2020-11-19,519.19,525.69,514.42,514.71,514.71,947600
2020-11-20,513.96,521.27,509.34,518.74,518.74,1045413
2020-11-23,538.86,538.86,516.8,523.61,523.61,1766826
2020-11-24,521.61,528.44,505.8,506.1,506.1,1272258
2020-11-25,507.18,515.465,507.18,508.31,508.31,712031
2020-11-27,513.42,518.92,509.2001,514.05,514.05,498175
2020-11-30,520,520.78,507.5979,516.03,516.03,1707710
2020-12-01,516,525.2825,513.69,514.07,514.07,937681
2020-12-02,515.94,515.94,503.81,505.13,505.13,782674
2020-12-03,505.2,509.54,497.12,498.84,498.84,966018
2020-12-04,497.01,501.85,490.06,492.45,492.45,961248
2020-12-07,497.4906,499.7,492.7945,495.41,495.41,881855
2020-12-08,497.1,497.88,486.3,497.14,497.14,1007856
2020-12-09,500,500,484,488.64,488.64,934302
2020-12-10,485.29,487.12,477.87,478.98,478.98,1184131
2020-12-11,478.22,483.54,471.58,479.77,479.77,1013723
2020-12-14,484.12,502.6,483.55,500.38,500.38,1245843
2020-12-15,500.69,500.99,486.82,491.79,491.79,1086743
2020-12-16,491.8,494.46,485.15,486.57,486.57,862773
2020-12-17,486.9,496.75,486.5,496.21,496.21,856322
2020-12-18,500,506.9899,496.81,498.89,498.89,1820938
2020-12-21,494,497.29,485.06,496.74,496.74,1009638
2020-12-22,496,496.48,488.5,490.06,490.06,850370
2020-12-23,491.2,493.63,488.5201,492.19,492.19,546008
2020-12-24,492.44,495.23,486.03,488.93,488.93,289142
2020-12-28,488.72,492.69,482.21,482.96,482.96,713370
2020-12-29,485,490.4527,482.42,484.22,484.22,558239
2020-12-30,487.39,488.825,477.68,478.3,478.3,633539
2020-12-31,477.81,483.57,470.78,483.11,483.11,897894
2021-01-04,486.85,491.7755,473.58,482.86,482.86,911137
2021-01-05,480.39,486.25,475.41,483.45,483.45,797684
2021-01-06,477.15,483,467,470.09,470.09,1434720
2021-01-07,471.24,481.84,467.18,481.2,481.2,1126605
2021-01-08,487.9345,500.7,487.9345,498.73,498.73,1018815
2021-01-11,501,505.14,489.35,502.92,502.92,1116428
2021-01-12,504.41,518.5,502,505.75,505.75,1264140
2021-01-13,517,522,509.14,511.9,511.9,1333763
2021-01-14,513.1,524.88,511.33,517.91,517.91,848583
2021-01-15,518.1,522.99,511.11,517.93,517.93,796883
2021-01-19,523.03,536.62,522.06,533.89,533.89,995530
2021-01-20,536.78,543.99,529.31,542.27,542.27,862666
2021-01-21,540.58,543.275,527.9101,535.48,535.48,940229
2021-01-22,534.1,546.7221,534.1,537.78,537.78,620561
2021-01-25,554.32,555,538.77,548.2,548.2,828582
2021-01-26,558.91,558.91,542.14,544.1,544.1,901677
2021-01-27,540.58,541.97,512.94,515.56,515.56,1433535
2021-01-28,521.27,529.51,505.1101,506.27,506.27,1050681
2021-01-29,505.97,514.415,496.0958,503.84,503.84,1389759
2021-02-01,512.82,512.82,503.1,508.08,508.08,790562
2021-02-02,511.01,513.28,498.02,499.98,499.98,884531
2021-02-03,505.09,507.28,490.84,491.18,491.18,1076697
2021-02-04,494.07,498.96,490.02,498.84,498.84,1394630
2021-02-05,513.84,514.9735,495.2185,498.98,498.98,1662843
2021-02-08,503.14,506.6276,492.46,494.9,494.9,1320409
2021-02-09,496.53,497.99,487.55,490.68,490.68,1056011
2021-02-10,493.43,497.86,488.12,491.22,491.22,959247
2021-02-11,491.23,496.6,486.035,490.54,490.54,1057412
2021-02-12,494.25,494.4831,482.845,485.62,485.62,1295609
2021-02-16,488.01,492,478.44,480.71,480.71,1363511
2021-02-17,477,484.375,476.56,481.68,481.68,1011841
2021-02-18,479.9,481.755,475.835,477.03,477.03,1127030
2021-02-19,478.25,483.68,470.27,470.37,470.37,1129917
2021-02-22,468.27,468.27,459.9,460.58,460.58,1345550
2021-02-23,458.056,468.96,448,468.03,468.03,1705566
2021-02-24,466.11,469.4712,457.17,458.6,458.6,1103374
2021-02-25,460.31,465,448.33,453.19,453.19,1126147
2021-02-26,455.84,457.17,445.566,450.57,450.57,1193692
2021-03-01,454.49,463.85,453.83,463.05,463.05,856847
2021-03-02,463.13,466,454.3462,454.86,454.86,759337
2021-03-03,456.14,458.65,446.38,446.73,446.73,897966
2021-03-04,445.37,451.8535,441,449.38,449.38,1093793
2021-03-05,451.58,463.83,449.3,461.57,461.57,1223527
2021-03-08,456.49,473.5,456.49,463.19,463.19,1014330
2021-03-09,469.8,478.13,469.32,470.63,470.63,868749
2021-03-10,473.89,474.98,465.21,467.95,467.95,724925
2021-03-11,469,474.89,466.725,469.96,469.96,745125
2021-03-12,467,471.82,463.65,471.46,471.46,552759
2021-03-15,473.01,484.7,472.26,483.94,483.94,728813
2021-03-16,485,490.22,479.61,482.17,482.17,698426
2021-03-17,495,497.705,483.15,496.01,496.01,1100956
2021-03-18,485.08,491.88,474.31,474.68,474.68,921345
2021-03-19,478.31,482.59,472.48,473.7,473.7,1078302
2021-03-22,471.89,484.61,471.23,483.22,483.22,911877
2021-03-23,486.16,488.7162,466.71,469.76,469.76,1086441
2021-03-24,471.51,472.08,458.25,460.32,460.32,1053803
2021-03-25,458.31,465.84,451.6,463.48,463.48,1413506
2021-03-26,461.13,477.32,458.44,476.91,476.91,1645463
2021-03-29,472.34,488.9,471.91,481.52,481.52,771248
2021-03-30,479.84,480.84,469.36,470.67,470.67,610469
2021-03-31,472.64,475.7,470.67,473.14,473.14,767654
2021-04-01,472,478.15,469.37,474.93,474.93,763085
2021-04-05,477.09,485.28,474.22,484.56,484.56,949103
2021-04-06,485.5,485.82,476.72,478.68,478.68,900908
2021-04-07,479,486.95,477.62,481.79,481.79,722484
2021-04-08,485.77,488.99,474.84,476.36,476.36,1245151
2021-04-09,476.2175,480.2623,471.5,475.17,475.17,679574
2021-04-12,481.78,481.78,469.8,472.8,472.8,835500
2021-04-13,476.53,483.4,474.6,477.04,477.04,754900
2021-04-14,478,486.73,477.92,481.16,481.16,595600
2021-04-15,487.44,499.28,485.81,494.64,494.64,950500
2021-04-16,496.65,506.87,495.86,502.6,502.6,1169400
2021-04-19,503.01,505.97,498.47,499.69,499.69,707800
2021-04-20,499.55,506.73,497.4,504.42,504.42,858800
2021-04-21,507.49,510.32,503.22,506.48,506.48,621300
2021-04-22,505.4,505.4,489.28,490.43,490.43,1000500
2021-04-23,488.63,491.49,484.03,488.64,488.64,819800
2021-04-26,489.84,502,485,501.17,501.17,830300
2021-04-27,502.6,502.6,491.26,491.81,491.81,474500
2021-04-28,494.91,495.44,487.5,487.77,487.77,654000
2021-04-29,489.69,490,482.28,485,485,574300
2021-04-30,482.77,491.58,480.51,481.3,481.3,796000
2021-05-03,483.5,491.67,482.83,488.62,488.62,645900
2021-05-04,485.94,488.28,480.85,485.18,485.18,764500
2021-05-05,486.41,488.75,481.09,482.42,482.42,842400
2021-05-06,483.11,502.98,478.4,498.68,498.68,1545300
2021-05-07,497.59,503,492.81,496.75,496.75,703200
2021-05-10,497.52,513.48,495,502.34,502.34,1044800
2021-05-11,496.82,508.98,494.02,501.19,501.19,790700
2021-05-12,497,513.67,497,507.14,507.14,967700
2021-05-13,508.86,519.07,505.57,517.17,517.17,991400
2021-05-14,520,521.13,512.25,516.62,516.62,785600
2021-05-17,516.45,525.96,515.44,523.73,523.73,712200
2021-05-18,523,523,513.68,516.22,516.22,683300
2021-05-19,517.9,517.9,502.5,510.27,510.27,587400
2021-05-20,509,518.87,507.63,513.21,513.21,574900
2021-05-21,514.13,516.5,506.43,506.72,506.72,610400
2021-05-24,509.74,509.74,500.08,500.47,500.47,521900
2021-05-25,500.84,502.72,493.19,498.03,498.03,767500
