Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,105.84,105.87,105.74,105.75,105.75,2797.00
2021-09-27|09:00:00,105.58,105.98,105.39,105.40,105.40,17343.00
2021-09-27|10:00:00,105.25,105.25,105.04,105.04,105.04,5710.00
2021-09-27|11:00:00,105.12,105.23,104.90,105.15,105.15,74365.00
2021-09-27|12:00:00,105.13,105.20,104.67,105.10,105.10,139601.00
2021-09-27|01:00:00,105.08,105.43,103.44,103.85,103.85,6085068.00
2021-09-27|02:00:00,103.84,107.47,103.67,107.04,107.04,11074764.00
2021-09-27|03:00:00,107.05,107.92,106.61,106.95,106.95,10776823.00
2021-09-27|04:00:00,106.94,107.47,106.71,107.16,107.16,6308915.00
2021-09-27|05:00:00,107.15,107.72,107.06,107.64,107.64,4735249.00
2021-09-27|06:00:00,107.63,107.94,107.46,107.82,107.82,4245687.00
2021-09-27|07:00:00,107.82,108.44,107.70,108.14,108.14,7238527.00
2021-09-27|08:00:00,108.16,108.25,108.06,108.16,108.16,1037639.00
2021-09-27|09:00:00,108.15,108.18,108.08,108.13,108.13,25101.00
2021-09-27|10:00:00,108.15,108.26,108.12,108.13,108.13,35413.00
2021-09-27|11:00:00,108.16,108.16,108.00,108.10,108.10,37649.00
2021-09-28|08:00:00,106.48,106.50,105.74,106.27,106.27,18052.00
2021-09-28|09:00:00,106.10,106.35,105.96,106.06,106.06,13283.00
2021-09-28|10:00:00,105.91,106.23,105.83,106.02,106.02,18899.00
2021-09-28|11:00:00,105.91,106.70,105.90,106.56,106.56,118007.00
2021-09-28|12:00:00,106.63,107.89,106.30,106.50,106.50,161505.00
2021-09-28|01:00:00,106.49,107.65,105.22,105.62,105.62,9521621.00
2021-09-28|02:00:00,105.60,105.63,103.36,103.52,103.52,14787000.00
2021-09-28|03:00:00,103.50,103.61,102.44,102.91,102.91,11555038.00
2021-09-28|04:00:00,102.90,103.40,102.32,102.50,102.50,8429382.00
