Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,3425.00,3425.00,3425.00,3425.00,3425.00,182.00
2021-09-27|09:00:00,3424.47,3424.47,3412.22,3412.22,3412.22,2625.00
2021-09-27|10:00:00,3408.00,3408.00,3394.92,3396.26,3396.26,2109.00
2021-09-27|11:00:00,3402.00,3417.80,3400.18,3410.00,3410.00,29557.00
2021-09-27|12:00:00,3408.99,3408.99,3391.10,3397.01,3397.01,35042.00
2021-09-27|01:00:00,3396.90,3397.00,3340.00,3351.00,3351.00,850310.00
2021-09-27|02:00:00,3349.84,3363.19,3339.61,3351.35,3351.35,706123.00
2021-09-27|03:00:00,3351.77,3378.00,3351.00,3375.71,3375.71,430990.00
2021-09-27|04:00:00,3375.74,3381.62,3366.11,3367.65,3367.65,247043.00
2021-09-27|05:00:00,3367.22,3393.00,3365.89,3392.50,3392.50,303953.00
2021-09-27|06:00:00,3393.75,3405.88,3390.00,3399.74,3399.74,307857.00
2021-09-27|07:00:00,3400.40,3415.57,3400.40,3406.69,3406.69,457381.00
2021-09-27|08:00:00,3405.80,3405.80,3400.51,3405.80,3405.80,213594.00
2021-09-27|09:00:00,3400.14,3400.14,3399.00,3399.50,3399.50,3562.00
2021-09-27|10:00:00,3400.23,3400.23,3398.00,3398.00,3398.00,544.00
2021-09-27|11:00:00,3398.00,3398.00,3398.00,3398.00,3398.00,200.00
2021-09-28|08:00:00,3350.00,3362.02,3350.00,3362.02,3362.02,832.00
2021-09-28|10:00:00,3349.00,3359.77,3349.00,3359.77,3359.77,581.00
2021-09-28|11:00:00,3348.70,3358.00,3344.02,3358.00,3358.00,13825.00
2021-09-28|12:00:00,3354.00,3355.98,3348.50,3350.01,3350.01,12557.00
2021-09-28|01:00:00,3353.90,3371.00,3333.53,3348.46,3348.46,581836.00
2021-09-28|02:00:00,3347.86,3347.90,3321.10,3322.58,3322.58,603212.00
2021-09-28|03:00:00,3322.46,3323.60,3295.61,3309.68,3309.68,626710.00
2021-09-28|04:00:00,3309.39,3322.33,3290.10,3296.29,3296.29,508199.00
2021-09-28|05:00:00,3296.40,3311.54,3293.68,3301.64,3301.64,306955.00
2021-09-28|06:00:00,3302.10,3327.00,3296.41,3322.11,3322.11,435561.00
2021-09-28|07:00:00,3321.15,3330.00,3310.90,3315.96,3315.96,868339.00
2021-09-28|08:00:00,3315.96,3321.99,3314.01,3315.96,3315.96,362032.00
2021-09-28|09:00:00,3315.96,3317.80,3315.96,3316.50,3316.50,4671.00
2021-09-28|10:00:00,3317.25,3319.50,3317.25,3319.50,3319.50,664.00
2021-09-28|11:00:00,3317.02,3319.50,3317.02,3319.00,3319.00,1925.00
2021-09-29|08:00:00,3350.00,3350.00,3342.00,3342.00,3342.00,724.00
2021-09-29|09:00:00,3350.00,3350.00,3346.00,3346.00,3346.00,836.00
2021-09-29|11:00:00,3342.90,3342.90,3333.50,3337.00,3337.00,4524.00
2021-09-29|12:00:00,3338.64,3340.20,3325.00,3330.00,3330.00,8481.00
2021-09-29|01:00:00,3329.00,3344.55,3317.87,3337.65,3337.65,445282.00
2021-09-29|02:00:00,3337.65,3351.30,3329.01,3342.92,3342.92,399046.00
2021-09-29|03:00:00,3343.00,3344.32,3317.49,3323.21,3323.21,313275.00
2021-09-29|04:00:00,3321.57,3324.89,3299.01,3309.50,3309.50,222194.00
2021-09-29|05:00:00,3308.57,3312.76,3298.00,3308.41,3308.41,314569.00
2021-09-29|06:00:00,3307.76,3330.96,3306.47,3327.08,3327.08,229994.00
2021-09-29|07:00:00,3327.17,3329.22,3297.87,3302.75,3302.75,388535.00
2021-09-29|08:00:00,3301.12,3309.97,3301.12,3306.01,3306.01,164477.00
2021-09-29|09:00:00,3306.73,3306.73,3301.12,3301.12,3301.12,4453.00
2021-09-29|10:00:00,3305.00,3306.97,3305.00,3306.97,3306.97,244.00
2021-09-29|11:00:00,3309.00,3310.03,3309.00,3310.00,3310.00,1405.00
2021-09-30|11:00:00,3313.00,3315.54,3311.50,3313.00,3313.00,2046.00
2021-09-30|12:00:00,3315.00,3318.00,3315.00,3316.75,3316.75,2677.00
2021-09-30|01:00:00,3316.00,3327.85,3306.05,3316.66,3316.66,314986.00
2021-09-30|02:00:00,3316.67,3322.37,3299.21,3300.49,3300.49,286177.00
2021-09-30|03:00:00,3300.01,3313.98,3290.05,3296.48,3296.48,369004.00
2021-09-30|04:00:00,3294.74,3297.50,3273.99,3290.51,3290.51,421486.00
2021-09-30|05:00:00,3290.56,3299.90,3285.83,3299.66,3299.66,211858.00
2021-09-30|06:00:00,3300.66,3313.48,3299.63,3305.76,3305.76,238055.00
2021-09-30|07:00:00,3305.34,3311.39,3284.51,3285.20,3285.20,512893.00
2021-09-30|08:00:00,3285.04,3292.98,3282.00,3284.00,3284.00,378208.00
2021-09-30|09:00:00,3284.99,3284.99,3283.00,3283.00,3283.00,33121.00
2021-09-30|10:00:00,3286.00,3287.50,3285.06,3287.50,3287.50,639.00
2021-09-30|11:00:00,3290.50,3290.50,3287.00,3288.65,3288.65,1478.00
2021-10-01|08:00:00,3274.06,3274.06,3260.11,3265.00,3265.00,1286.00
2021-10-01|09:00:00,3265.00,3265.00,3265.00,3265.00,3265.00,137.00
2021-10-01|10:00:00,3270.00,3270.00,3270.00,3270.00,3270.00,308.00
