Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,146.10,146.10,144.80,145.81,145.81,51337.00
2021-09-27|09:00:00,145.79,145.89,145.27,145.42,145.42,17412.00
2021-09-27|10:00:00,145.26,145.55,145.10,145.12,145.12,18446.00
2021-09-27|11:00:00,145.29,145.29,144.50,144.75,144.75,95563.00
2021-09-27|12:00:00,144.73,145.15,144.23,144.87,144.87,116976.00
2021-09-27|01:00:00,144.80,145.88,144.44,145.32,145.32,4997032.00
2021-09-27|02:00:00,145.33,147.99,145.11,147.17,147.17,5193039.00
2021-09-27|03:00:00,147.19,148.84,147.16,148.41,148.41,2437571.00
2021-09-27|04:00:00,148.40,149.10,148.03,149.09,149.09,1371567.00
2021-09-27|05:00:00,149.08,150.99,148.98,150.72,150.72,3323667.00
2021-09-27|06:00:00,150.73,150.95,150.04,150.10,150.10,2069175.00
2021-09-27|07:00:00,150.09,150.81,149.89,150.16,150.16,3179049.00
2021-09-27|08:00:00,150.30,150.30,149.88,150.00,150.00,945272.00
2021-09-27|09:00:00,150.00,150.18,149.89,150.00,150.00,19500.00
2021-09-27|10:00:00,149.99,149.99,149.86,149.88,149.88,10343.00
2021-09-27|11:00:00,149.88,149.89,149.60,149.60,149.60,27602.00
2021-09-28|08:00:00,154.22,155.00,153.60,153.85,153.85,203469.00
2021-09-28|09:00:00,153.70,153.89,153.30,153.30,153.30,53115.00
2021-09-28|10:00:00,153.30,153.39,152.31,152.51,152.51,137706.00
2021-09-28|11:00:00,152.41,152.80,151.92,152.76,152.76,257372.00
2021-09-28|12:00:00,152.88,152.94,152.07,152.20,152.20,253176.00
2021-09-28|01:00:00,152.14,153.05,150.45,151.49,151.49,4545646.00
2021-09-28|02:00:00,151.48,151.51,149.28,150.22,150.22,5055547.00
2021-09-28|03:00:00,150.18,150.46,148.86,149.54,149.54,2860234.00
2021-09-28|04:00:00,149.54,151.49,149.36,150.40,150.40,2468496.00
2021-09-28|05:00:00,150.39,150.83,150.20,150.36,150.36,1271633.00
2021-09-28|06:00:00,150.36,153.73,150.23,153.59,153.59,3565152.00
2021-09-28|07:00:00,153.59,153.69,151.88,152.40,152.40,4861753.00
2021-09-28|08:00:00,152.50,152.80,152.05,152.22,152.22,471630.00
2021-09-28|09:00:00,152.39,152.39,152.00,152.15,152.15,80592.00
2021-09-28|10:00:00,152.13,152.22,151.84,152.00,152.00,16951.00
2021-09-28|11:00:00,151.98,151.98,151.00,151.55,151.55,33072.00
2021-09-29|08:00:00,151.37,153.00,151.37,152.25,152.25,31737.00
2021-09-29|09:00:00,152.45,152.55,151.52,151.80,151.80,26238.00
2021-09-29|10:00:00,151.70,151.90,151.65,151.73,151.73,7859.00
2021-09-29|11:00:00,151.97,151.98,151.20,151.39,151.39,36301.00
2021-09-29|12:00:00,151.41,152.01,150.57,151.00,151.00,75729.00
2021-09-29|01:00:00,151.02,152.10,149.46,151.15,151.15,2495644.00
2021-09-29|02:00:00,151.15,151.34,149.14,149.92,149.92,2623154.00
2021-09-29|03:00:00,149.94,150.20,148.41,148.78,148.78,2953579.00
2021-09-29|04:00:00,148.77,149.04,148.03,148.34,148.34,1777674.00
2021-09-29|05:00:00,148.36,148.87,148.18,148.43,148.43,1259461.00
2021-09-29|06:00:00,148.41,148.86,148.26,148.60,148.60,1451314.00
2021-09-29|07:00:00,148.61,149.04,147.48,147.55,147.55,3832047.00
2021-09-29|08:00:00,147.58,147.87,147.55,147.61,147.61,478881.00
2021-09-29|09:00:00,147.75,147.95,147.58,147.95,147.95,202889.00
2021-09-29|10:00:00,147.98,148.14,147.90,147.99,147.99,17961.00
2021-09-29|11:00:00,147.84,147.99,147.58,147.89,147.89,13922.00
2021-09-30|08:00:00,146.80,147.20,146.00,146.92,146.92,54184.00
2021-09-30|09:00:00,147.09,147.33,146.66,146.71,146.71,17336.00
2021-09-30|10:00:00,146.61,146.68,146.16,146.32,146.32,26393.00
2021-09-30|11:00:00,146.75,146.77,146.23,146.49,146.49,46799.00
2021-09-30|12:00:00,146.49,146.75,146.27,146.33,146.33,47687.00
