Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|05:00:00,349.32,349.32,349.32,349.32,349.32,498.00
2021-09-27|08:00:00,349.27,349.35,349.10,349.35,349.35,4529.00
2021-09-27|09:00:00,349.44,349.56,348.90,348.93,348.93,1600.00
2021-09-27|10:00:00,348.82,348.98,348.56,348.56,348.56,1518.00
2021-09-27|11:00:00,348.52,348.72,348.32,348.58,348.58,9070.00
2021-09-27|12:00:00,348.50,348.62,347.75,348.37,348.37,30370.00
2021-09-27|01:00:00,348.30,350.36,348.06,350.13,350.13,574800.00
2021-09-27|02:00:00,350.13,350.50,349.35,349.40,349.40,571275.00
2021-09-27|03:00:00,349.40,349.60,348.81,349.24,349.24,311702.00
2021-09-27|04:00:00,349.24,349.63,348.72,348.83,348.83,218617.00
2021-09-27|05:00:00,348.75,349.30,348.69,349.27,349.27,187217.00
2021-09-27|06:00:00,349.28,349.43,348.86,348.88,348.88,212923.00
2021-09-27|07:00:00,348.91,349.22,348.40,348.60,348.60,892608.00
2021-09-27|08:00:00,348.59,348.71,348.36,348.53,348.53,145048.00
2021-09-27|09:00:00,348.27,348.55,348.27,348.55,348.55,2100.00
2021-09-27|10:00:00,348.58,348.69,348.58,348.69,348.69,1880.00
2021-09-27|11:00:00,348.37,348.70,348.37,348.60,348.60,3501.00
2021-09-28|08:00:00,347.54,347.54,347.21,347.44,347.44,2484.00
2021-09-28|09:00:00,347.54,347.70,346.73,346.77,346.77,13940.00
2021-09-28|10:00:00,346.85,347.40,346.85,347.32,347.32,9256.00
2021-09-28|11:00:00,347.27,347.65,346.75,347.46,347.46,17365.00
2021-09-28|12:00:00,347.42,347.49,346.76,346.97,346.97,10027.00
2021-09-28|01:00:00,347.03,347.85,345.60,346.09,346.09,790707.00
2021-09-28|02:00:00,346.04,346.04,343.90,344.84,344.84,1414042.00
2021-09-28|03:00:00,344.82,345.14,343.34,343.77,343.77,846461.00
2021-09-28|04:00:00,343.75,344.03,342.61,342.80,342.80,785182.00
2021-09-28|05:00:00,342.78,343.75,342.44,342.84,342.84,607356.00
2021-09-28|06:00:00,342.89,344.64,342.41,344.38,344.38,812898.00
2021-09-28|07:00:00,344.36,345.09,342.44,342.95,342.95,1272424.00
2021-09-28|08:00:00,342.96,343.72,342.92,343.33,343.33,811142.00
2021-09-28|09:00:00,343.20,343.24,342.92,343.24,343.24,3980.00
2021-09-28|10:00:00,343.45,343.78,343.38,343.70,343.70,7059.00
2021-09-28|11:00:00,343.82,343.95,343.23,343.95,343.95,6262.00
2021-09-29|08:00:00,344.96,344.96,344.62,344.75,344.75,3979.00
2021-09-29|09:00:00,345.05,345.05,344.85,344.85,344.85,805.00
2021-09-29|10:00:00,345.10,345.16,344.62,344.64,344.64,7914.00
2021-09-29|11:00:00,344.79,344.79,343.76,344.40,344.40,8523.00
2021-09-29|12:00:00,344.37,344.50,343.39,343.91,343.91,19697.00
2021-09-29|01:00:00,344.00,344.53,342.88,344.42,344.42,707695.00
2021-09-29|02:00:00,344.44,345.33,344.06,345.03,345.03,761086.00
2021-09-29|03:00:00,345.17,345.19,344.28,344.82,344.82,464097.00
2021-09-29|04:00:00,344.83,345.07,343.79,344.33,344.33,416259.00
2021-09-29|05:00:00,344.35,344.49,343.51,344.20,344.20,430187.00
2021-09-29|06:00:00,344.16,345.64,344.16,345.47,345.47,452331.00
2021-09-29|07:00:00,345.57,345.67,343.59,343.83,343.83,637996.00
2021-09-29|08:00:00,343.77,344.48,343.77,344.28,344.28,61568.00
2021-09-29|09:00:00,344.25,344.55,344.10,344.55,344.55,7847.00
2021-09-29|10:00:00,344.47,344.49,344.31,344.49,344.49,2167.00
2021-09-29|11:00:00,344.56,344.83,344.52,344.75,344.75,1316.00
2021-09-30|08:00:00,346.44,346.45,346.00,346.20,346.20,15455.00
2021-09-30|09:00:00,346.00,346.00,345.51,345.56,345.56,5653.00
2021-09-30|10:00:00,345.20,345.38,344.92,345.38,345.38,2057.00
2021-09-30|11:00:00,345.15,345.36,344.81,344.93,344.93,6048.00
2021-09-30|12:00:00,345.03,345.16,344.78,345.10,345.10,14841.00
2021-09-30|01:00:00,344.85,345.44,343.78,344.05,344.05,583383.00
2021-09-30|02:00:00,344.02,344.17,341.70,342.01,342.01,1215637.00
2021-09-30|03:00:00,341.99,343.16,340.21,340.62,340.62,988097.00
2021-09-30|04:00:00,340.54,340.85,338.97,339.36,339.36,1020287.00
2021-09-30|05:00:00,339.39,340.31,338.86,340.09,340.09,942297.00
2021-09-30|06:00:00,340.09,341.64,340.00,340.54,340.54,1130767.00
2021-09-30|07:00:00,340.55,341.44,338.11,338.28,338.28,1502909.00
2021-09-30|08:00:00,338.29,340.75,338.20,338.46,338.46,196494.00
2021-09-30|09:00:00,338.53,338.82,338.50,338.70,338.70,1350.00
2021-09-30|10:00:00,338.54,338.90,338.29,338.58,338.58,26103.00
2021-09-30|11:00:00,338.73,339.15,338.72,338.96,338.96,6526.00
2021-10-01|08:00:00,336.59,336.59,335.77,336.09,336.09,12404.00
2021-10-01|09:00:00,336.36,336.53,336.20,336.20,336.20,3157.00
2021-10-01|10:00:00,336.37,337.09,336.37,337.07,337.07,8997.00
2021-10-01|11:00:00,337.14,340.31,337.14,339.37,339.37,40580.00
2021-10-01|12:00:00,339.84,340.21,339.18,339.43,339.43,33514.00
2021-10-01|01:00:00,339.70,341.04,339.13,339.71,339.71,966049.00
2021-10-01|02:00:00,339.71,340.58,337.68,339.19,339.19,1521939.00
2021-10-01|03:00:00,339.18,341.32,338.52,340.72,340.72,895642.00
2021-10-01|04:00:00,340.77,341.45,340.46,340.96,340.96,576626.00
2021-10-01|05:00:00,341.06,343.15,340.76,342.67,342.67,457197.00
2021-10-01|06:00:00,342.73,343.74,342.67,343.69,343.69,508143.00
2021-10-01|07:00:00,343.75,344.78,342.74,343.19,343.19,1013220.00
2021-10-01|08:00:00,343.19,343.64,343.17,343.46,343.46,99755.00
2021-10-01|09:00:00,343.52,343.52,343.41,343.45,343.45,923.00
2021-10-01|10:00:00,343.78,343.78,343.50,343.50,343.50,1404.00
2021-10-01|11:00:00,343.88,344.00,343.50,343.50,343.50,2966.00
2021-10-04|08:00:00,342.00,342.00,341.25,341.52,341.52,2686.00
2021-10-04|09:00:00,342.34,342.37,341.92,341.92,341.92,2203.00
