Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|10:00:00,311.00,311.00,311.00,311.00,311.00,158.00
2021-09-27|11:00:00,311.28,311.28,311.28,311.28,311.28,208.00
2021-09-27|01:00:00,308.76,309.88,300.89,301.85,301.85,96756.00
2021-09-27|02:00:00,301.29,303.37,300.65,301.16,301.16,102387.00
2021-09-27|03:00:00,301.14,302.17,299.39,300.53,300.53,121464.00
2021-09-27|04:00:00,300.42,301.26,299.19,299.34,299.34,74962.00
2021-09-27|05:00:00,299.52,301.40,299.44,300.46,300.46,63839.00
2021-09-27|06:00:00,300.55,302.03,300.48,301.03,301.03,58701.00
2021-09-27|07:00:00,301.11,301.23,300.08,300.57,300.57,195168.00
2021-09-27|08:00:00,300.57,300.57,300.57,300.57,300.57,90183.00
2021-09-28|08:00:00,300.01,300.01,299.01,299.01,299.01,1004.00
2021-09-28|09:00:00,296.50,296.50,296.31,296.31,296.31,503.00
2021-09-28|11:00:00,296.00,296.00,293.48,293.48,293.48,659.00
2021-09-28|12:00:00,301.32,301.32,301.32,301.32,301.32,100.00
2021-09-28|01:00:00,298.40,300.95,292.55,294.01,294.01,161190.00
2021-09-28|02:00:00,293.81,294.42,289.39,293.40,293.40,222439.00
2021-09-28|03:00:00,293.47,293.85,289.58,290.82,290.82,141300.00
2021-09-28|04:00:00,290.83,291.55,289.48,289.92,289.92,116211.00
2021-09-28|05:00:00,290.00,291.82,289.46,289.89,289.89,121356.00
2021-09-28|06:00:00,290.08,292.32,289.27,290.68,290.68,122968.00
2021-09-28|07:00:00,290.74,291.16,287.07,287.88,287.88,464621.00
2021-09-28|08:00:00,287.88,288.43,287.88,288.43,288.43,107721.00
2021-09-28|09:00:00,288.00,288.00,287.88,287.88,287.88,483.00
2021-09-29|08:00:00,300.00,300.00,300.00,300.00,300.00,520.00
2021-09-29|11:00:00,290.25,291.00,290.25,291.00,291.00,243.00
2021-09-29|01:00:00,291.63,294.03,288.96,293.11,293.11,139534.00
2021-09-29|02:00:00,293.21,293.43,289.26,291.21,291.21,171536.00
2021-09-29|03:00:00,291.61,291.84,289.62,290.63,290.63,136234.00
2021-09-29|04:00:00,290.70,291.23,289.00,290.27,290.27,114725.00
2021-09-29|05:00:00,290.41,291.01,289.38,290.76,290.76,117326.00
2021-09-29|06:00:00,290.72,292.35,290.26,291.63,291.63,134511.00
2021-09-29|07:00:00,291.67,291.81,288.08,288.93,288.93,217804.00
2021-09-29|08:00:00,288.83,288.91,288.83,288.91,288.91,76735.00
2021-09-30|01:00:00,288.94,295.12,288.39,293.02,293.02,93397.00
2021-09-30|02:00:00,292.90,294.41,291.87,292.66,292.66,69979.00
2021-09-30|03:00:00,292.49,294.77,291.74,292.63,292.63,103781.00
2021-09-30|04:00:00,292.37,294.57,291.46,293.89,293.89,96055.00
2021-09-30|05:00:00,293.63,295.00,292.57,293.11,293.11,63892.00
2021-09-30|06:00:00,293.71,294.44,293.31,293.60,293.60,45592.00
2021-09-30|07:00:00,293.57,294.07,291.83,292.05,292.05,205693.00
2021-09-30|08:00:00,292.04,292.04,291.50,291.50,291.50,170288.00
2021-09-30|09:00:00,289.32,291.99,289.32,291.99,291.99,1272.00
2021-09-30|10:00:00,291.96,292.09,291.96,292.09,292.09,202.00
2021-10-01|12:00:00,294.00,294.00,293.14,293.14,293.14,302.00
2021-10-01|01:00:00,290.40,293.50,289.59,291.69,291.69,108856.00
2021-10-01|02:00:00,291.95,293.41,289.05,292.14,292.14,150724.00
2021-10-01|03:00:00,292.32,295.79,291.72,295.79,295.79,117350.00
2021-10-01|04:00:00,295.71,296.39,294.18,294.65,294.65,78715.00
2021-10-01|05:00:00,294.62,297.20,294.44,296.09,296.09,74037.00
2021-10-01|06:00:00,296.23,298.81,296.16,298.78,298.78,77697.00
2021-10-01|07:00:00,298.73,299.50,297.60,298.00,298.00,181097.00
2021-10-01|08:00:00,298.00,298.00,298.00,298.00,298.00,99501.00
2021-10-04|12:00:00,296.68,296.68,296.21,296.21,296.21,221.00
2021-10-04|01:00:00,296.02,296.02,289.59,290.83,290.83,91407.00
2021-10-04|02:00:00,290.95,291.15,286.88,288.17,288.17,192559.00
2021-10-04|03:00:00,288.22,290.37,286.25,286.99,286.99,175129.00
2021-10-04|04:00:00,286.93,287.13,284.89,285.68,285.68,91889.00
2021-10-04|05:00:00,285.73,286.61,284.77,285.95,285.95,85275.00
2021-10-04|06:00:00,286.00,288.13,286.00,288.04,288.04,77081.00
2021-10-04|07:00:00,287.89,289.10,286.77,288.88,288.88,193063.00
2021-10-04|08:00:00,288.87,290.11,288.87,288.87,288.87,95860.00
2021-10-04|10:00:00,290.11,290.11,290.11,290.11,290.11,117.00
2021-10-04|11:00:00,292.98,292.98,292.98,292.98,292.98,200.00
2021-10-05|12:00:00,293.44,293.44,291.99,292.00,292.00,679.00
2021-10-05|01:00:00,293.62,298.11,291.62,297.30,297.30,110861.00
2021-10-05|02:00:00,296.99,300.07,295.61,300.06,300.06,130182.00
2021-10-05|03:00:00,299.97,301.00,299.43,300.20,300.20,148847.00
