Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|11:00:00,2847.40,2849.79,2840.00,2841.00,2841.00,4724.00
2021-09-27|12:00:00,2833.02,2833.02,2833.02,2833.02,2833.02,156.00
2021-09-27|01:00:00,2832.99,2850.00,2810.00,2818.56,2818.56,205329.00
2021-09-27|02:00:00,2818.58,2841.92,2816.79,2833.04,2833.04,152696.00
2021-09-27|03:00:00,2832.27,2839.99,2825.54,2827.59,2827.59,84331.00
2021-09-27|04:00:00,2826.01,2832.83,2820.66,2823.08,2823.08,93772.00
2021-09-27|05:00:00,2821.99,2841.90,2821.23,2841.60,2841.60,62996.00
2021-09-27|06:00:00,2842.48,2845.51,2833.95,2834.03,2834.03,52317.00
2021-09-27|07:00:00,2833.97,2838.64,2826.41,2830.98,2830.98,144146.00
2021-09-27|08:00:00,2830.02,2830.02,2828.40,2828.40,2828.40,108027.00
2021-09-28|11:00:00,2796.00,2796.00,2788.79,2792.00,2792.00,2893.00
2021-09-28|12:00:00,2785.00,2785.00,2785.00,2785.00,2785.00,506.00
2021-09-28|01:00:00,2783.31,2792.13,2754.81,2759.85,2759.85,232622.00
2021-09-28|02:00:00,2758.62,2759.03,2721.94,2727.53,2727.53,395617.00
2021-09-28|03:00:00,2728.47,2729.13,2714.00,2723.11,2723.11,206416.00
2021-09-28|04:00:00,2721.01,2736.75,2715.83,2718.15,2718.15,192640.00
2021-09-28|05:00:00,2717.09,2733.97,2715.23,2721.46,2721.46,147404.00
2021-09-28|06:00:00,2720.80,2745.07,2717.00,2740.48,2740.48,192507.00
2021-09-28|07:00:00,2739.81,2748.89,2720.00,2723.68,2723.68,397530.00
2021-09-28|08:00:00,2723.68,2734.99,2722.10,2723.68,2723.68,318915.00
2021-09-28|09:00:00,2724.00,2724.00,2724.00,2724.00,2724.00,852.00
2021-09-29|11:00:00,2749.00,2749.00,2739.00,2742.70,2742.70,2096.00
2021-09-29|12:00:00,2742.70,2742.70,2740.11,2741.00,2741.00,3497.00
2021-09-29|01:00:00,2742.90,2747.97,2723.05,2740.24,2740.24,141095.00
2021-09-29|02:00:00,2738.85,2745.35,2732.84,2740.41,2740.41,107364.00
2021-09-29|03:00:00,2740.97,2740.97,2705.08,2715.24,2715.24,113955.00
2021-09-29|04:00:00,2715.39,2715.59,2695.08,2702.69,2702.69,125636.00
2021-09-29|05:00:00,2701.47,2703.87,2686.00,2692.77,2692.77,171204.00
2021-09-29|06:00:00,2694.53,2710.13,2694.53,2705.00,2705.00,180338.00
2021-09-29|07:00:00,2704.97,2707.11,2685.00,2690.42,2690.42,308948.00
2021-09-29|08:00:00,2690.42,2695.00,2690.42,2691.45,2691.45,124149.00
2021-09-29|09:00:00,2690.42,2690.42,2690.42,2690.42,2690.42,5369.00
2021-09-30|11:00:00,2702.00,2702.00,2702.00,2702.00,2702.00,101.00
2021-09-30|12:00:00,2700.10,2700.10,2700.10,2700.10,2700.10,100.00
2021-09-30|01:00:00,2701.00,2711.80,2685.20,2702.03,2702.03,235116.00
2021-09-30|02:00:00,2702.84,2707.00,2686.50,2691.72,2691.72,213276.00
2021-09-30|03:00:00,2691.15,2703.00,2681.02,2689.78,2689.78,179461.00
2021-09-30|04:00:00,2688.34,2689.21,2671.98,2679.73,2679.73,194972.00
2021-09-30|05:00:00,2679.16,2689.15,2676.83,2682.48,2682.48,136824.00
2021-09-30|06:00:00,2682.62,2698.72,2682.31,2688.60,2688.60,150032.00
2021-09-30|07:00:00,2688.88,2696.33,2660.00,2661.57,2661.57,356848.00
2021-09-30|08:00:00,2665.31,2688.48,2658.90,2665.31,2665.31,260206.00
2021-09-30|11:00:00,2666.10,2667.20,2665.41,2666.00,2666.00,2327.00
2021-10-01|08:00:00,2642.11,2642.11,2642.11,2642.11,2642.11,166.00
2021-10-01|09:00:00,2645.00,2648.44,2645.00,2648.00,2648.00,904.00
2021-10-01|11:00:00,2661.66,2674.00,2661.66,2670.00,2670.00,2294.00
2021-10-01|12:00:00,2668.85,2675.76,2665.20,2668.00,2668.00,4463.00
2021-10-01|01:00:00,2665.31,2692.28,2665.31,2685.40,2685.40,181700.00
2021-10-01|02:00:00,2680.40,2689.07,2667.55,2689.07,2689.07,172642.00
2021-10-01|03:00:00,2688.98,2715.73,2683.69,2711.03,2711.03,154095.00
2021-10-01|04:00:00,2712.44,2713.88,2703.41,2708.33,2708.33,102586.00
2021-10-01|05:00:00,2707.35,2725.70,2707.13,2720.29,2720.29,98010.00
2021-10-01|06:00:00,2722.00,2734.76,2721.48,2732.24,2732.24,156259.00
2021-10-01|07:00:00,2733.16,2741.42,2724.29,2727.05,2727.05,297065.00
2021-10-01|08:00:00,2729.25,2729.25,2721.65,2728.00,2728.00,219557.00
2021-10-01|09:00:00,2727.30,2727.50,2726.00,2727.50,2727.50,2274.00
2021-10-01|10:00:00,2727.50,2727.50,2727.50,2727.50,2727.50,100.00
2021-10-01|11:00:00,2726.01,2726.01,2726.01,2726.01,2726.01,193.00
2021-10-04|11:00:00,2705.81,2705.81,2705.00,2705.00,2705.00,460.00
2021-10-04|12:00:00,2711.20,2719.90,2711.20,2719.30,2719.30,5386.00
2021-10-04|01:00:00,2720.00,2720.00,2667.80,2673.15,2673.15,208051.00
2021-10-04|02:00:00,2671.32,2673.71,2625.58,2634.52,2634.52,278660.00
2021-10-04|03:00:00,2632.39,2646.84,2623.33,2643.96,2643.96,193728.00
2021-10-04|04:00:00,2643.50,2645.00,2629.12,2638.05,2638.05,114720.00
2021-10-04|05:00:00,2637.40,2659.80,2636.30,2654.13,2654.13,155864.00
2021-10-04|06:00:00,2654.01,2673.06,2653.86,2665.99,2665.99,141444.00
2021-10-04|07:00:00,2665.39,2699.97,2658.00,2675.89,2675.89,262782.00
2021-10-04|08:00:00,2675.30,2679.79,2675.30,2675.32,2675.32,185173.00
2021-10-04|10:00:00,2684.05,2684.05,2684.05,2684.05,2684.05,200.00
2021-10-04|11:00:00,2685.00,2685.00,2685.00,2685.00,2685.00,151.00
2021-10-05|12:00:00,2686.28,2686.28,2686.28,2686.28,2686.28,101.00
2021-10-05|01:00:00,2682.05,2703.24,2676.00,2697.47,2697.47,150955.00
2021-10-05|02:00:00,2697.47,2722.03,2697.47,2720.63,2720.63,144691.00
2021-10-05|03:00:00,2721.87,2725.56,2714.02,2721.60,2721.60,117381.00
2021-10-05|04:00:00,2722.27,2744.00,2720.04,2741.11,2741.11,179762.00
2021-10-05|05:00:00,2741.12,2747.24,2734.42,2741.70,2741.70,106770.00
2021-10-05|06:00:00,2742.27,2745.96,2737.36,2737.47,2737.47,80227.00
2021-10-05|07:00:00,2737.69,2745.00,2720.07,2723.54,2723.54,196973.00
2021-10-05|08:00:00,2723.54,2723.64,2721.00,2723.54,2723.54,102302.00
2021-10-06|11:00:00,2689.00,2689.00,2689.00,2689.00,2689.00,316.00
2021-10-06|12:00:00,2688.00,2696.00,2688.00,2696.00,2696.00,1750.00
2021-10-06|01:00:00,2702.50,2721.98,2689.73,2708.11,2708.11,176210.00
2021-10-06|02:00:00,2706.84,2744.91,2699.35,2733.93,2733.93,174443.00
2021-10-06|03:00:00,2735.76,2738.94,2721.81,2736.60,2736.60,84831.00
2021-10-06|04:00:00,2737.17,2737.17,2722.13,2728.15,2728.15,50896.00
2021-10-06|05:00:00,2729.04,2748.00,2720.01,2744.00,2744.00,65188.00
2021-10-06|06:00:00,2744.48,2757.04,2742.25,2744.00,2744.00,101346.00
2021-10-06|07:00:00,2744.40,2750.52,2740.45,2748.85,2748.85,171656.00
2021-10-06|08:00:00,2747.08,2749.95,2747.08,2749.95,2749.95,111045.00
2021-10-06|11:00:00,2759.00,2759.00,2758.50,2758.50,2758.50,830.00
2021-10-07|11:00:00,2778.40,2781.96,2778.40,2779.51,2779.51,1062.00
2021-10-07|12:00:00,2779.50,2779.50,2775.00,2775.00,2775.00,1482.00
2021-10-07|01:00:00,2775.00,2795.00,2771.26,2792.19,2792.19,160542.00
2021-10-07|02:00:00,2793.47,2803.00,2792.07,2800.79,2800.79,143342.00
2021-10-07|03:00:00,2800.53,2803.09,2795.50,2802.33,2802.33,77724.00
2021-10-07|04:00:00,2801.78,2802.07,2795.42,2801.62,2801.62,53262.00
2021-10-07|05:00:00,2800.74,2800.74,2795.49,2795.60,2795.60,52290.00
2021-10-07|06:00:00,2795.84,2796.70,2788.00,2788.00,2788.00,72718.00
2021-10-07|07:00:00,2787.45,2795.77,2781.50,2785.85,2785.85,190291.00
2021-10-07|08:00:00,2783.71,2784.04,2783.71,2784.04,2784.04,126267.00
2021-10-07|10:00:00,2785.00,2785.00,2785.00,2785.00,2785.00,200.00
2021-10-08|12:00:00,2799.45,2799.99,2792.21,2799.75,2799.75,1904.00
2021-10-08|01:00:00,2804.31,2806.34,2790.99,2798.82,2798.82,110458.00
2021-10-08|02:00:00,2798.00,2802.19,2788.59,2794.86,2794.86,88966.00
2021-10-08|03:00:00,2793.74,2797.13,2791.06,2795.37,2795.37,87995.00
2021-10-08|04:00:00,2795.63,2800.55,2794.25,2797.44,2797.44,51157.00
2021-10-08|05:00:00,2798.41,2798.41,2789.93,2795.80,2795.80,46908.00
2021-10-08|06:00:00,2797.15,2805.76,2796.21,2805.29,2805.29,82088.00
2021-10-08|07:00:00,2805.25,2805.25,2791.65,2801.12,2801.12,218964.00
2021-10-08|08:00:00,2801.12,2802.40,2800.66,2800.73,2800.73,224612.00
2021-10-08|09:00:00,2800.33,2800.33,2800.15,2800.15,2800.15,595.00
2021-10-11|11:00:00,2785.00,2785.00,2785.00,2785.00,2785.00,151.00
2021-10-11|12:00:00,2778.80,2789.00,2778.80,2789.00,2789.00,3786.00
2021-10-11|01:00:00,2788.24,2808.19,2788.00,2804.20,2804.20,128588.00
2021-10-11|02:00:00,2804.87,2814.00,2803.52,2808.61,2808.61,98974.00
2021-10-11|03:00:00,2809.78,2815.27,2807.80,2810.99,2810.99,81123.00
2021-10-11|04:00:00,2810.86,2810.86,2799.46,2804.53,2804.53,69557.00
2021-10-11|05:00:00,2804.55,2804.55,2790.95,2796.43,2796.43,75880.00
2021-10-11|06:00:00,2795.63,2804.45,2794.07,2799.37,2799.37,60296.00
2021-10-11|07:00:00,2798.32,2801.31,2776.13,2776.16,2776.16,177605.00
2021-10-11|08:00:00,2776.95,2777.35,2772.11,2772.11,2772.11,106934.00
2021-10-11|10:00:00,2774.20,2774.20,2774.20,2774.20,2774.20,530.00
2021-10-11|11:00:00,2773.05,2773.05,2773.05,2773.05,2773.05,218.00
2021-10-12|11:00:00,2781.24,2781.24,2781.24,2781.24,2781.24,300.00
2021-10-12|01:00:00,2789.80,2793.90,2732.09,2732.09,2732.09,194501.00
2021-10-12|02:00:00,2733.01,2748.11,2730.00,2735.48,2735.48,207627.00
2021-10-12|03:00:00,2736.76,2749.70,2736.76,2747.00,2747.00,92312.00
2021-10-12|04:00:00,2748.85,2753.62,2732.00,2733.57,2733.57,99241.00
2021-10-12|05:00:00,2733.94,2740.79,2725.00,2731.84,2731.84,116949.00
2021-10-12|06:00:00,2731.31,2745.00,2731.31,2735.30,2735.30,94863.00
2021-10-12|07:00:00,2735.89,2744.04,2731.51,2735.09,2735.09,175489.00
2021-10-12|08:00:00,2734.26,2734.26,2731.00,2731.00,2731.00,114972.00
2021-10-12|09:00:00,2727.11,2727.11,2725.01,2725.01,2725.01,820.00
2021-10-12|10:00:00,2726.39,2726.39,2726.39,2726.39,2726.39,590.00
2021-10-13|12:00:00,2750.97,2754.00,2741.45,2741.45,2741.45,3116.00
2021-10-13|01:00:00,2740.22,2765.60,2740.22,2747.20,2747.20,135520.00
2021-10-13|02:00:00,2749.33,2755.67,2741.79,2744.88,2744.88,82021.00
2021-10-13|03:00:00,2747.77,2754.79,2739.53,2751.86,2751.86,80044.00
2021-10-13|04:00:00,2752.36,2759.27,2751.09,2753.25,2753.25,40496.00
2021-10-13|05:00:00,2753.25,2768.11,2753.25,2764.67,2764.67,49270.00
2021-10-13|06:00:00,2763.41,2771.00,2754.85,2759.44,2759.44,63066.00
2021-10-13|07:00:00,2759.64,2762.57,2755.86,2761.33,2761.33,140863.00
2021-10-13|08:00:00,2758.00,2760.75,2758.00,2758.00,2758.00,188064.00
2021-10-13|10:00:00,2763.00,2763.00,2763.00,2763.00,2763.00,208.00
2021-10-14|10:00:00,2782.00,2782.00,2782.00,2782.00,2782.00,294.00
2021-10-14|11:00:00,2783.75,2785.82,2783.75,2785.82,2785.82,1086.00
2021-10-14|12:00:00,2787.00,2791.00,2787.00,2791.00,2791.00,2527.00
2021-10-14|01:00:00,2790.90,2812.50,2786.78,2808.70,2808.70,160848.00
2021-10-14|02:00:00,2810.41,2827.53,2810.41,2820.29,2820.29,180034.00
2021-10-14|03:00:00,2821.47,2825.21,2817.08,2823.46,2823.46,102480.00
2021-10-14|04:00:00,2823.32,2827.25,2821.92,2826.35,2826.35,74975.00
2021-10-14|05:00:00,2826.35,2830.87,2823.02,2829.32,2829.32,75307.00
2021-10-14|06:00:00,2829.32,2831.99,2826.18,2827.83,2827.83,66671.00
2021-10-14|07:00:00,2827.57,2833.03,2822.61,2828.21,2828.21,196358.00
2021-10-14|08:00:00,2828.24,2832.40,2828.24,2832.40,2832.40,175697.00
2021-10-14|10:00:00,2830.55,2830.55,2830.55,2830.55,2830.55,201.00
2021-10-15|11:00:00,2839.00,2839.00,2839.00,2839.00,2839.00,417.00
2021-10-15|12:00:00,2837.55,2841.00,2837.55,2840.00,2840.00,613.00
2021-10-15|01:00:00,2840.00,2846.43,2824.52,2829.13,2829.13,192002.00
2021-10-15|02:00:00,2829.35,2832.52,2821.29,2823.46,2823.46,134373.00
2021-10-15|03:00:00,2825.11,2837.11,2821.53,2823.26,2823.26,151255.00
2021-10-15|04:00:00,2822.32,2830.35,2822.32,2829.83,2829.83,66697.00
2021-10-15|05:00:00,2828.05,2830.63,2825.20,2827.85,2827.85,65858.00
2021-10-15|06:00:00,2828.35,2832.03,2827.76,2830.93,2830.93,65835.00
2021-10-15|07:00:00,2831.12,2836.14,2828.45,2834.11,2834.11,206607.00
2021-10-15|08:00:00,2833.50,2834.00,2832.37,2833.50,2833.50,139133.00
2021-10-18|12:00:00,2820.01,2820.01,2820.01,2820.01,2820.01,249.00
2021-10-18|01:00:00,2824.30,2846.54,2824.27,2841.60,2841.60,126781.00
2021-10-18|02:00:00,2842.68,2848.09,2837.69,2838.34,2838.34,71547.00
2021-10-18|03:00:00,2838.60,2844.04,2837.91,2840.54,2840.54,64421.00
2021-10-18|04:00:00,2839.04,2841.05,2834.00,2841.05,2841.05,57581.00
2021-10-18|05:00:00,2840.77,2854.05,2839.22,2850.81,2850.81,110782.00
2021-10-18|06:00:00,2850.23,2854.28,2848.56,2853.81,2853.81,39098.00
2021-10-18|07:00:00,2852.88,2859.98,2852.88,2857.66,2857.66,141334.00
2021-10-18|08:00:00,2859.21,2859.21,2859.21,2859.21,2859.21,130704.00
2021-10-19|11:00:00,2873.00,2873.00,2873.00,2873.00,2873.00,294.00
2021-10-19|01:00:00,2866.65,2882.14,2861.92,2871.01,2871.01,143220.00
2021-10-19|02:00:00,2872.19,2875.76,2864.12,2871.93,2871.93,104240.00
2021-10-19|03:00:00,2872.37,2876.03,2867.00,2874.72,2874.72,69079.00
2021-10-19|04:00:00,2874.56,2875.35,2866.64,2874.58,2874.58,44522.00
2021-10-19|05:00:00,2874.32,2878.47,2873.58,2878.45,2878.45,50409.00
2021-10-19|06:00:00,2878.54,2878.79,2869.58,2872.79,2872.79,53379.00
2021-10-19|07:00:00,2871.50,2878.43,2870.61,2877.89,2877.89,131590.00
2021-10-19|08:00:00,2876.44,2877.50,2876.44,2877.50,2877.50,110934.00
2021-10-20|01:00:00,2882.00,2885.53,2871.41,2874.82,2874.82,96941.00
2021-10-20|02:00:00,2873.70,2876.72,2853.58,2854.21,2854.21,122088.00
2021-10-20|03:00:00,2855.00,2863.93,2847.08,2861.71,2861.71,105206.00
2021-10-20|04:00:00,2860.46,2860.46,2848.97,2851.70,2851.70,71266.00
2021-10-20|05:00:00,2852.79,2853.53,2838.24,2848.74,2848.74,156464.00
2021-10-20|06:00:00,2848.64,2853.04,2847.92,2848.84,2848.84,62314.00
2021-10-20|07:00:00,2850.10,2852.03,2842.11,2850.56,2850.56,157474.00
2021-10-20|08:00:00,2848.30,2848.30,2838.75,2838.75,2838.75,79035.00
2021-10-20|10:00:00,2848.30,2848.30,2848.30,2848.30,2848.30,7200.00
2021-10-21|12:00:00,2847.19,2847.19,2847.19,2847.19,2847.19,137.00
2021-10-21|01:00:00,2846.00,2846.26,2833.36,2839.93,2839.93,114123.00
2021-10-21|02:00:00,2839.83,2854.90,2838.31,2844.75,2844.75,88024.00
2021-10-21|03:00:00,2845.97,2849.83,2839.70,2843.12,2843.12,58348.00
2021-10-21|04:00:00,2842.76,2844.27,2832.74,2843.64,2843.64,99389.00
2021-10-21|05:00:00,2843.42,2844.86,2839.89,2841.33,2841.33,43743.00
2021-10-21|06:00:00,2841.57,2844.39,2839.70,2841.88,2841.88,40452.00
