Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,359.00,359.50,358.22,358.22,358.22,58.00
2021-09-27|09:00:00,358.99,358.99,358.86,358.99,358.99,25.00
2021-09-27|10:00:00,358.38,358.90,358.20,358.20,358.20,136.00
2021-09-27|11:00:00,358.18,359.14,357.00,357.62,357.62,460.00
2021-09-27|12:00:00,357.45,357.60,356.80,357.48,357.48,905.00
2021-09-27|01:00:00,357.60,359.73,355.75,359.71,359.71,397063.00
2021-09-27|02:00:00,359.60,362.59,358.07,358.58,358.58,695673.00
2021-09-27|03:00:00,358.53,358.68,355.16,355.56,355.56,595231.00
2021-09-27|04:00:00,355.55,357.23,355.19,356.39,356.39,243297.00
2021-09-27|05:00:00,356.29,358.70,356.29,358.69,358.69,236374.00
2021-09-27|06:00:00,358.69,358.87,357.62,357.69,357.69,265806.00
2021-09-27|07:00:00,357.72,358.25,356.69,356.80,356.80,483996.00
2021-09-27|08:00:00,356.77,356.77,356.77,356.77,356.77,731992.00
2021-09-27|11:00:00,356.76,356.76,356.76,356.76,356.76,200.00
2021-09-28|08:00:00,351.48,351.48,351.48,351.48,351.48,123.00
2021-09-28|10:00:00,351.95,352.00,351.95,352.00,352.00,318.00
2021-09-28|11:00:00,354.50,355.00,354.00,354.49,354.49,1585.00
2021-09-28|12:00:00,354.05,354.07,354.05,354.07,354.07,420.00
2021-09-28|01:00:00,354.62,356.00,351.34,352.21,352.21,306589.00
2021-09-28|02:00:00,352.20,352.81,349.05,352.75,352.75,593407.00
2021-09-28|03:00:00,353.00,353.20,351.68,352.36,352.36,303326.00
2021-09-28|04:00:00,352.25,353.47,350.83,350.98,350.98,176518.00
2021-09-28|05:00:00,350.97,351.80,349.65,349.82,349.82,179432.00
2021-09-28|06:00:00,349.76,353.38,349.31,353.24,353.24,308101.00
2021-09-28|07:00:00,353.20,354.09,350.90,351.21,351.21,632819.00
2021-09-28|08:00:00,351.45,351.45,351.18,351.18,351.18,567937.00
2021-09-28|09:00:00,351.88,351.88,351.21,351.21,351.21,709.00
2021-09-29|11:00:00,352.81,352.81,352.81,352.81,352.81,357.00
2021-09-29|12:00:00,353.10,353.10,353.00,353.00,353.00,1382.00
2021-09-29|01:00:00,352.70,355.50,352.02,354.94,354.94,329130.00
2021-09-29|02:00:00,355.15,356.75,354.69,354.98,354.98,337776.00
2021-09-29|03:00:00,354.97,356.49,354.13,355.50,355.50,323627.00
2021-09-29|04:00:00,355.61,356.00,353.78,354.67,354.67,249875.00
2021-09-29|05:00:00,354.70,355.19,354.07,354.92,354.92,242086.00
2021-09-29|06:00:00,354.88,357.12,354.66,357.00,357.00,269290.00
2021-09-29|07:00:00,357.00,357.18,352.99,353.08,353.08,624816.00
2021-09-29|08:00:00,353.46,354.01,353.19,354.01,354.01,380407.00
2021-09-29|09:00:00,353.52,353.52,353.52,353.52,353.52,125.00
2021-09-29|11:00:00,355.00,355.00,354.70,354.70,354.70,663.00
2021-09-30|01:00:00,355.00,356.04,354.21,354.31,354.31,325890.00
2021-09-30|02:00:00,354.39,355.26,352.40,352.97,352.97,516781.00
2021-09-30|03:00:00,352.97,353.85,350.81,351.26,351.26,437470.00
2021-09-30|04:00:00,351.17,351.18,347.40,347.78,347.78,374813.00
2021-09-30|05:00:00,347.85,350.07,347.76,349.90,349.90,359974.00
2021-09-30|06:00:00,349.98,351.46,349.71,349.73,349.73,428287.00
2021-09-30|07:00:00,349.72,351.16,347.52,347.55,347.55,726712.00
2021-09-30|08:00:00,347.68,347.80,347.60,347.80,347.80,706878.00
2021-10-01|08:00:00,348.50,348.50,345.56,345.56,345.56,1532.00
2021-10-01|11:00:00,348.00,348.82,348.00,348.82,348.82,642.00
2021-10-01|01:00:00,347.68,351.00,347.16,349.60,349.60,414199.00
2021-10-01|02:00:00,349.67,350.68,347.72,349.34,349.34,525786.00
2021-10-01|03:00:00,349.34,351.75,348.76,351.50,351.50,503134.00
2021-10-01|04:00:00,351.53,353.05,350.99,352.89,352.89,362135.00
2021-10-01|05:00:00,352.89,356.86,352.49,356.48,356.48,437679.00
2021-10-01|06:00:00,356.53,360.70,356.16,360.63,360.63,684942.00
2021-10-01|07:00:00,360.57,363.18,359.71,360.34,360.34,1249519.00
2021-10-01|08:00:00,360.18,360.69,359.80,360.10,360.10,578525.00
2021-10-01|09:00:00,360.12,360.12,360.10,360.10,360.10,1246.00
2021-10-01|10:00:00,360.70,360.70,360.18,360.18,360.18,778.00
2021-10-04|11:00:00,359.20,359.20,358.60,358.60,358.60,393.00
2021-10-04|12:00:00,358.70,358.70,358.70,358.70,358.70,100.00
2021-10-04|01:00:00,359.46,360.65,351.79,351.83,351.83,595182.00
2021-10-04|02:00:00,351.72,351.90,342.26,343.55,343.55,1255335.00
2021-10-04|03:00:00,343.43,344.29,341.33,344.16,344.16,907317.00
2021-10-04|04:00:00,344.08,344.49,339.34,339.82,339.82,798510.00
2021-10-04|05:00:00,339.70,342.29,339.46,341.04,341.04,985009.00
2021-10-04|06:00:00,341.00,345.35,340.67,344.18,344.18,614811.00
2021-10-04|07:00:00,344.22,345.52,342.88,344.16,344.16,1340378.00
2021-10-04|08:00:00,344.20,345.00,344.20,344.20,344.20,583817.00
2021-10-04|09:00:00,344.99,344.99,344.99,344.99,344.99,492.00
2021-10-04|10:00:00,345.00,345.00,344.20,345.00,345.00,2145.00
2021-10-04|11:00:00,345.00,345.00,344.50,344.50,344.50,797.00
2021-10-05|11:00:00,346.50,346.50,346.50,346.50,346.50,280.00
2021-10-05|12:00:00,346.70,346.70,346.25,346.25,346.25,1731.00
2021-10-05|01:00:00,346.60,347.56,343.31,343.81,343.81,395064.00
2021-10-05|02:00:00,343.91,347.65,343.50,347.60,347.60,574249.00
2021-10-05|03:00:00,347.59,348.57,345.28,345.99,345.99,387750.00
2021-10-05|04:00:00,345.88,346.37,343.69,344.98,344.98,405007.00
2021-10-05|05:00:00,344.97,345.03,343.50,343.56,343.56,349494.00
2021-10-05|06:00:00,343.58,345.57,343.45,344.88,344.88,515976.00
2021-10-05|07:00:00,344.82,345.07,342.93,343.34,343.34,902972.00
2021-10-05|08:00:00,343.21,344.08,343.21,344.08,344.08,653029.00
2021-10-06|12:00:00,340.24,340.90,340.00,340.40,340.40,4789.00
2021-10-06|01:00:00,340.40,342.85,339.11,341.64,341.64,342565.00
2021-10-06|02:00:00,341.43,346.04,339.59,344.82,344.82,570424.00
2021-10-06|03:00:00,344.98,345.31,342.88,345.04,345.04,311668.00
2021-10-06|04:00:00,345.03,345.90,344.11,344.21,344.21,313429.00
2021-10-06|05:00:00,344.20,346.50,343.21,345.96,345.96,784589.00
2021-10-06|06:00:00,345.91,348.88,345.53,347.51,347.51,344242.00
2021-10-06|07:00:00,347.52,348.83,346.99,348.49,348.49,531073.00
2021-10-06|08:00:00,348.69,348.69,348.50,348.69,348.69,453630.00
2021-10-06|09:00:00,348.50,348.69,348.50,348.69,348.69,266.00
2021-10-07|08:00:00,350.00,350.00,350.00,350.00,350.00,145.00
