Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|12:00:00,1860.00,1860.00,1860.00,1860.00,1860.00,200.00
2021-09-27|01:00:00,1842.56,1844.95,1784.26,1802.60,1802.60,80536.00
2021-09-27|02:00:00,1798.05,1817.38,1787.05,1805.35,1805.35,53404.00
2021-09-27|03:00:00,1807.61,1810.32,1790.00,1802.34,1802.34,29304.00
2021-09-27|04:00:00,1800.00,1803.27,1786.36,1790.64,1790.64,19538.00
2021-09-27|05:00:00,1791.61,1796.18,1775.01,1783.62,1783.62,52329.00
2021-09-27|06:00:00,1782.33,1791.50,1762.71,1764.75,1764.75,68146.00
2021-09-27|07:00:00,1764.28,1769.17,1755.58,1768.96,1768.96,161443.00
2021-09-27|08:00:00,1768.15,1768.15,1768.15,1768.15,1768.15,20736.00
2021-09-28|12:00:00,1720.00,1720.00,1720.00,1720.00,1720.00,129.00
2021-09-28|01:00:00,1717.08,1736.02,1676.61,1693.23,1693.23,120196.00
2021-09-28|02:00:00,1693.00,1695.20,1665.00,1689.76,1689.76,101128.00
2021-09-28|03:00:00,1691.79,1704.55,1677.06,1703.50,1703.50,49329.00
2021-09-28|04:00:00,1699.47,1707.13,1687.00,1689.12,1689.12,50294.00
2021-09-28|05:00:00,1690.56,1695.65,1676.15,1677.72,1677.72,66790.00
2021-09-28|06:00:00,1677.98,1696.00,1674.13,1694.81,1694.81,38202.00
2021-09-28|07:00:00,1694.91,1702.38,1676.49,1682.01,1682.01,118236.00
2021-09-28|08:00:00,1682.01,1682.01,1682.01,1682.01,1682.01,22309.00
2021-09-28|10:00:00,1682.01,1682.01,1682.01,1682.01,1682.01,130.00
2021-09-29|01:00:00,1699.50,1720.00,1692.85,1704.09,1704.09,41682.00
2021-09-29|02:00:00,1703.71,1703.83,1672.00,1695.95,1695.95,37295.00
2021-09-29|03:00:00,1697.51,1697.51,1667.16,1669.08,1669.08,34187.00
2021-09-29|04:00:00,1670.73,1670.73,1648.57,1667.71,1667.71,44195.00
2021-09-29|05:00:00,1662.34,1687.85,1659.26,1675.80,1675.80,71085.00
2021-09-29|06:00:00,1677.73,1684.04,1669.82,1679.40,1679.40,42965.00
2021-09-29|07:00:00,1680.25,1684.15,1656.77,1660.70,1660.70,62281.00
2021-09-29|08:00:00,1662.99,1662.99,1660.65,1662.99,1662.99,18101.00
2021-09-29|09:00:00,1662.99,1662.99,1662.00,1662.00,1662.00,364.00
2021-09-30|01:00:00,1665.97,1678.23,1649.01,1649.01,1649.01,42973.00
2021-09-30|02:00:00,1647.00,1682.70,1641.01,1671.14,1671.14,70539.00
2021-09-30|03:00:00,1670.17,1694.03,1670.17,1677.77,1677.77,35365.00
2021-09-30|04:00:00,1677.79,1681.74,1663.45,1670.39,1670.39,20032.00
2021-09-30|05:00:00,1669.21,1685.98,1668.58,1681.59,1681.59,30572.00
2021-09-30|06:00:00,1681.45,1696.58,1681.45,1692.58,1692.58,32184.00
