Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,300.00,300.00,299.35,299.35,299.35,2195.00
2021-09-27|09:00:00,299.50,299.80,298.82,298.82,298.82,6223.00
2021-09-27|10:00:00,298.34,298.60,297.31,297.45,297.45,9437.00
2021-09-27|11:00:00,297.70,297.94,297.05,297.75,297.75,86905.00
2021-09-27|12:00:00,297.78,300.10,296.18,297.11,297.11,92856.00
2021-09-27|01:00:00,297.02,297.09,293.60,294.28,294.28,4179562.00
2021-09-27|02:00:00,294.28,296.22,293.72,295.21,295.21,3453419.00
2021-09-27|03:00:00,295.21,296.09,293.23,293.64,293.64,3024283.00
2021-09-27|04:00:00,293.62,293.95,292.94,293.26,293.26,1978099.00
2021-09-27|05:00:00,293.25,294.40,293.13,294.00,294.00,1806480.00
2021-09-27|06:00:00,294.01,294.43,293.63,293.70,293.70,1816361.00
2021-09-27|07:00:00,293.70,294.86,293.67,294.17,294.17,3549204.00
2021-09-27|08:00:00,294.17,294.29,293.99,294.03,294.03,3463226.00
2021-09-27|09:00:00,294.09,294.12,293.98,293.99,293.99,13666.00
2021-09-27|10:00:00,294.05,294.11,293.95,293.99,293.99,11549.00
2021-09-27|11:00:00,294.02,294.15,293.80,294.15,294.15,7986.00
2021-09-28|08:00:00,291.21,291.47,289.78,290.74,290.74,18643.00
2021-09-28|09:00:00,290.51,290.64,289.50,289.50,289.50,19617.00
2021-09-28|10:00:00,289.61,290.50,288.74,288.74,288.74,14972.00
2021-09-28|11:00:00,289.97,290.48,288.51,289.59,289.59,83151.00
2021-09-28|12:00:00,289.40,289.75,288.80,289.40,289.40,103474.00
2021-09-28|01:00:00,289.40,290.78,287.54,288.91,288.91,4767625.00
2021-09-28|02:00:00,288.90,288.90,285.21,285.61,285.61,6242286.00
2021-09-28|03:00:00,285.61,285.85,284.36,285.69,285.69,5206617.00
2021-09-28|04:00:00,285.70,286.44,284.80,285.04,285.04,3622700.00
2021-09-28|05:00:00,285.02,286.06,284.56,285.07,285.07,2781876.00
2021-09-28|06:00:00,285.08,286.68,284.70,285.81,285.81,3639310.00
2021-09-28|07:00:00,285.79,286.11,282.75,283.52,283.52,9469845.00
2021-09-28|08:00:00,283.52,283.85,283.05,283.55,283.55,6252170.00
2021-09-28|09:00:00,283.52,283.55,283.35,283.54,283.54,647320.00
2021-09-28|10:00:00,283.54,283.80,283.35,283.60,283.60,28403.00
2021-09-28|11:00:00,283.60,284.55,283.35,284.05,284.05,28410.00
2021-09-29|08:00:00,285.87,286.80,285.87,286.60,286.60,13730.00
2021-09-29|09:00:00,286.54,286.82,286.20,286.35,286.35,19788.00
2021-09-29|10:00:00,286.45,287.00,286.45,286.50,286.50,24663.00
2021-09-29|11:00:00,286.50,286.70,285.24,285.93,285.93,68419.00
2021-09-29|12:00:00,285.91,286.29,284.23,285.27,285.27,117289.00
2021-09-29|01:00:00,285.00,286.32,283.14,286.03,286.03,4018170.00
2021-09-29|02:00:00,286.02,286.68,283.94,285.20,285.20,4068195.00
2021-09-29|03:00:00,285.22,285.25,283.48,284.09,284.09,2315348.00
2021-09-29|04:00:00,284.13,284.43,283.01,283.96,283.96,2270587.00
2021-09-29|05:00:00,283.98,285.29,283.56,284.81,284.81,2472965.00
2021-09-29|06:00:00,284.80,286.77,284.75,286.27,286.27,2736965.00
2021-09-29|07:00:00,286.31,286.42,283.32,284.00,284.00,4435630.00
2021-09-29|08:00:00,284.01,284.48,283.96,284.35,284.35,3387167.00
2021-09-29|09:00:00,284.37,284.39,284.00,284.20,284.20,61344.00
2021-09-29|10:00:00,284.25,284.42,284.11,284.15,284.15,7097.00
2021-09-29|11:00:00,284.30,285.20,284.30,284.86,284.86,28908.00
2021-09-30|08:00:00,286.00,286.29,285.72,286.29,286.29,2061.00
2021-09-30|09:00:00,286.19,286.20,285.77,285.77,285.77,2089.00
2021-09-30|10:00:00,285.60,285.60,285.18,285.18,285.18,859.00
2021-09-30|11:00:00,285.34,285.50,284.81,284.98,284.98,11104.00
2021-09-30|12:00:00,284.93,285.77,284.71,285.40,285.40,35466.00
2021-09-30|01:00:00,285.42,287.36,284.80,286.47,286.47,3016196.00
2021-09-30|02:00:00,286.47,287.83,285.86,285.97,285.97,3785671.00
2021-09-30|03:00:00,285.92,287.09,283.78,284.17,284.17,3877422.00
2021-09-30|04:00:00,284.18,284.27,281.89,282.21,282.21,4234714.00
2021-09-30|05:00:00,282.18,283.75,282.02,283.48,283.48,2416921.00
2021-09-30|06:00:00,283.47,284.87,283.40,283.69,283.69,2808849.00
2021-09-30|07:00:00,283.70,284.80,281.62,281.75,281.75,5904678.00
2021-09-30|08:00:00,281.92,284.18,281.74,281.94,281.94,5665575.00
2021-09-30|09:00:00,281.93,282.11,281.86,282.11,282.11,118962.00
2021-09-30|10:00:00,282.11,282.69,281.94,282.20,282.20,12209.00
2021-09-30|11:00:00,282.40,282.69,282.22,282.22,282.22,9494.00
2021-10-01|08:00:00,280.31,280.99,279.64,279.85,279.85,20937.00
2021-10-01|09:00:00,280.10,280.48,280.10,280.19,280.19,7238.00
2021-10-01|10:00:00,280.25,280.94,280.25,280.89,280.89,19296.00
2021-10-01|11:00:00,280.95,283.29,280.80,282.38,282.38,108557.00
2021-10-01|12:00:00,282.37,283.00,281.65,282.11,282.11,112245.00
2021-10-01|01:00:00,282.37,284.14,281.29,283.71,283.71,3484185.00
2021-10-01|02:00:00,283.72,285.03,282.57,284.97,284.97,4488776.00
2021-10-01|03:00:00,284.96,286.87,284.41,286.34,286.34,3163866.00
2021-10-01|04:00:00,286.32,286.82,285.79,286.12,286.12,2094752.00
2021-10-01|05:00:00,286.13,287.48,285.75,287.06,287.06,2157875.00
2021-10-01|06:00:00,287.08,288.43,286.93,288.33,288.33,2256479.00
2021-10-01|07:00:00,288.34,289.98,288.00,289.10,289.10,5665111.00
2021-10-01|08:00:00,289.10,289.10,288.00,288.34,288.34,5050127.00
2021-10-01|09:00:00,288.35,289.10,288.30,288.73,288.73,1290691.00
2021-10-01|10:00:00,288.60,288.60,288.44,288.58,288.58,7073.00
2021-10-01|11:00:00,288.57,288.60,288.50,288.60,288.60,1795.00
2021-10-04|08:00:00,287.05,287.29,286.57,286.57,286.57,3087.00
2021-10-04|09:00:00,287.11,287.38,287.01,287.01,287.01,2185.00
2021-10-04|10:00:00,287.29,287.38,286.70,287.38,287.38,15260.00
2021-10-04|11:00:00,287.35,287.47,286.70,287.10,287.10,105011.00
2021-10-04|12:00:00,287.10,288.45,287.10,288.21,288.21,66873.00
2021-10-04|01:00:00,288.12,288.13,283.55,284.10,284.10,3512461.00
2021-10-04|02:00:00,284.09,284.32,280.40,281.25,281.25,5109577.00
2021-10-04|03:00:00,281.22,282.68,280.76,282.30,282.30,4059303.00
2021-10-04|04:00:00,282.27,282.63,280.47,280.92,280.92,2663877.00
2021-10-04|05:00:00,280.90,281.72,280.25,281.08,281.08,2317462.00
2021-10-04|06:00:00,281.10,282.90,281.08,282.64,282.64,2621944.00
2021-10-04|07:00:00,282.66,283.46,281.70,283.14,283.14,5340917.00
2021-10-04|08:00:00,283.11,283.98,283.11,283.75,283.75,4706548.00
2021-10-04|09:00:00,283.68,283.74,283.30,283.30,283.30,10217.00
2021-10-04|10:00:00,283.60,284.10,283.60,284.00,284.00,15749.00
2021-10-04|11:00:00,283.99,284.00,283.11,283.51,283.51,17071.00
2021-10-05|08:00:00,283.11,283.96,282.86,283.96,283.96,10451.00
2021-10-05|09:00:00,283.74,284.49,283.74,284.49,284.49,5358.00
2021-10-05|10:00:00,283.95,284.00,283.30,283.50,283.50,9368.00
2021-10-05|11:00:00,283.85,284.41,283.22,284.10,284.10,26295.00
2021-10-05|12:00:00,284.10,284.38,283.66,284.10,284.10,37683.00
2021-10-05|01:00:00,284.17,286.07,283.73,285.76,285.76,3970391.00
2021-10-05|02:00:00,285.79,288.06,285.62,287.90,287.90,3406937.00
2021-10-05|03:00:00,287.88,289.20,287.67,289.19,289.19,2859067.00
2021-10-05|04:00:00,289.18,289.98,288.81,289.79,289.79,2203798.00
2021-10-05|05:00:00,289.82,290.40,289.54,290.17,290.17,1825608.00
2021-10-05|06:00:00,290.17,290.25,289.33,289.84,289.84,2165768.00
2021-10-05|07:00:00,289.84,290.15,288.47,288.75,288.75,4074840.00
2021-10-05|08:00:00,288.75,288.90,288.17,288.59,288.59,3890076.00
2021-10-05|09:00:00,288.78,289.10,288.50,288.57,288.57,30196.00
2021-10-05|10:00:00,288.70,289.08,288.70,289.00,289.00,7709.00
2021-10-05|11:00:00,289.05,289.05,287.85,288.30,288.30,25072.00
2021-10-06|08:00:00,285.11,285.33,284.25,284.60,284.60,18517.00
2021-10-06|09:00:00,284.67,284.67,283.69,284.00,284.00,15108.00
2021-10-06|10:00:00,284.13,284.59,283.92,283.92,283.92,14905.00
2021-10-06|11:00:00,284.35,285.44,284.15,285.34,285.34,81156.00
2021-10-06|12:00:00,285.40,286.61,285.00,286.35,286.35,86437.00
