Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,130.04,130.90,130.04,130.36,130.36,108.00
2021-09-27|09:00:00,130.04,130.05,130.00,130.00,130.00,86.00
2021-09-27|10:00:00,130.04,130.04,129.91,129.91,129.91,75.00
2021-09-27|11:00:00,130.00,130.00,128.72,129.39,129.39,2845.00
2021-09-27|12:00:00,129.50,129.83,128.50,129.00,129.00,2514.00
2021-09-27|01:00:00,128.60,129.00,123.29,123.44,123.44,814794.00
2021-09-27|02:00:00,123.51,125.40,123.08,124.14,124.14,604293.00
2021-09-27|03:00:00,124.11,124.70,122.77,123.09,123.09,506622.00
2021-09-27|04:00:00,123.11,123.49,121.83,122.19,122.19,420623.00
2021-09-27|05:00:00,122.17,122.83,122.08,122.51,122.51,294796.00
2021-09-27|06:00:00,122.57,123.48,121.81,121.85,121.85,394707.00
2021-09-27|07:00:00,121.88,123.84,121.73,122.81,122.81,1086359.00
2021-09-27|08:00:00,122.81,122.85,122.10,122.81,122.81,339435.00
2021-09-27|09:00:00,122.81,122.81,122.81,122.81,122.81,411.00
2021-09-27|10:00:00,122.60,122.80,122.51,122.52,122.52,1531.00
2021-09-27|11:00:00,122.51,122.51,122.26,122.31,122.31,4315.00
2021-09-28|08:00:00,120.30,120.30,120.30,120.30,120.30,307.00
2021-09-28|09:00:00,120.56,120.60,120.56,120.60,120.60,366.00
2021-09-28|10:00:00,120.00,120.00,118.51,118.60,118.60,1580.00
2021-09-28|11:00:00,119.70,120.00,118.56,119.50,119.50,5285.00
2021-09-28|12:00:00,118.90,119.70,118.01,119.70,119.70,13812.00
2021-09-28|01:00:00,118.55,119.79,115.49,117.09,117.09,1305082.00
2021-09-28|02:00:00,116.88,116.97,113.71,114.17,114.17,1261993.00
2021-09-28|03:00:00,114.25,114.68,113.17,114.25,114.25,615269.00
2021-09-28|04:00:00,114.23,114.83,113.03,113.61,113.61,558306.00
2021-09-28|05:00:00,113.60,114.93,113.02,114.24,114.24,578717.00
2021-09-28|06:00:00,114.26,115.45,113.79,115.19,115.19,404589.00
2021-09-28|07:00:00,115.19,115.31,112.80,113.13,113.13,903034.00
2021-09-28|08:00:00,113.08,113.75,113.08,113.30,113.30,195415.00
2021-09-28|09:00:00,113.08,113.15,113.08,113.15,113.15,5927.00
2021-09-28|10:00:00,113.40,114.00,113.08,114.00,114.00,1612.00
2021-09-28|11:00:00,113.27,113.28,113.01,113.25,113.25,3227.00
2021-09-29|08:00:00,115.90,115.99,114.70,115.49,115.49,1623.00
2021-09-29|09:00:00,115.10,115.48,115.00,115.48,115.48,718.00
2021-09-29|10:00:00,115.20,115.20,115.20,115.20,115.20,101.00
2021-09-29|11:00:00,115.15,115.15,114.60,114.89,114.89,9221.00
2021-09-29|12:00:00,115.00,115.18,114.30,114.49,114.49,4333.00
2021-09-29|01:00:00,114.39,115.84,111.53,113.28,113.28,661941.00
2021-09-29|02:00:00,113.33,114.68,113.08,113.82,113.82,451257.00
2021-09-29|03:00:00,113.82,113.95,111.62,111.94,111.94,538058.00
