Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|01:00:00,636.71,636.71,626.20,626.27,626.27,71025.00
2021-09-27|02:00:00,626.28,628.19,619.56,623.52,623.52,144149.00
2021-09-27|03:00:00,623.76,623.76,618.61,619.27,619.27,73845.00
2021-09-27|04:00:00,619.47,619.65,616.26,617.25,617.25,76323.00
2021-09-27|05:00:00,617.09,620.52,617.01,618.15,618.15,68642.00
2021-09-27|06:00:00,618.17,619.53,617.50,618.93,618.93,54567.00
2021-09-27|07:00:00,618.64,622.64,618.14,618.90,618.90,203330.00
2021-09-27|08:00:00,619.07,619.07,612.01,619.07,619.07,77563.00
2021-09-27|09:00:00,619.00,621.00,619.00,621.00,621.00,363.00
2021-09-27|10:00:00,621.00,621.00,621.00,621.00,621.00,1033.00
2021-09-28|10:00:00,601.12,601.12,601.12,601.12,601.12,144.00
2021-09-28|11:00:00,604.01,607.00,604.00,606.45,606.45,640.00
2021-09-28|12:00:00,606.44,608.00,606.20,608.00,608.00,1393.00
2021-09-28|01:00:00,608.00,613.95,604.00,613.17,613.17,138993.00
2021-09-28|02:00:00,612.55,617.71,607.75,612.55,612.55,134851.00
2021-09-28|03:00:00,613.00,614.30,609.63,610.86,610.86,126825.00
2021-09-28|04:00:00,611.27,612.22,609.18,609.50,609.50,122059.00
2021-09-28|05:00:00,609.39,611.88,608.28,610.49,610.49,143645.00
2021-09-28|06:00:00,610.29,611.98,609.00,611.00,611.00,111292.00
2021-09-28|07:00:00,610.91,611.27,603.79,605.00,605.00,304414.00
2021-09-28|08:00:00,605.00,605.00,605.00,605.00,605.00,111187.00
2021-09-28|09:00:00,605.00,605.00,604.00,604.00,604.00,609.00
2021-09-29|11:00:00,612.00,612.00,612.00,612.00,612.00,100.00
2021-09-29|01:00:00,607.14,611.85,606.02,608.83,608.83,54656.00
2021-09-29|02:00:00,608.99,612.74,608.68,611.01,611.01,107235.00
2021-09-29|03:00:00,611.11,612.40,608.42,608.48,608.48,48395.00
2021-09-29|04:00:00,608.41,609.05,605.00,607.13,607.13,44904.00
2021-09-29|05:00:00,607.18,608.75,604.98,606.26,606.26,60259.00
