Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,340.70,343.00,340.70,343.00,343.00,769.00
2021-09-27|09:00:00,343.00,343.40,340.12,340.99,340.99,3651.00
2021-09-27|10:00:00,341.00,341.99,339.50,339.99,339.99,1399.00
2021-09-27|11:00:00,340.00,340.02,338.57,338.72,338.72,4174.00
2021-09-27|12:00:00,339.25,340.68,337.50,339.75,339.75,10934.00
2021-09-27|01:00:00,339.76,341.00,331.11,331.90,331.90,353305.00
2021-09-27|02:00:00,331.66,338.38,330.51,336.56,336.56,368040.00
2021-09-27|03:00:00,336.73,337.62,334.50,335.02,335.02,208972.00
2021-09-27|04:00:00,335.02,335.51,332.52,333.50,333.50,180986.00
2021-09-27|05:00:00,333.39,336.12,333.29,335.74,335.74,246627.00
2021-09-27|06:00:00,335.79,337.61,335.75,336.38,336.38,126818.00
2021-09-27|07:00:00,336.23,336.61,335.15,336.13,336.13,590246.00
2021-09-27|08:00:00,336.26,336.26,336.00,336.26,336.26,294671.00
2021-09-27|09:00:00,336.00,336.26,336.00,336.26,336.26,794.00
2021-09-27|11:00:00,335.15,335.15,335.15,335.15,335.15,100.00
2021-09-28|08:00:00,331.00,331.04,331.00,331.03,331.03,1166.00
2021-09-28|09:00:00,331.05,331.05,331.05,331.05,331.05,200.00
2021-09-28|10:00:00,330.20,330.20,329.00,329.05,329.05,2890.00
2021-09-28|11:00:00,329.95,330.47,329.82,330.00,330.00,2035.00
2021-09-28|12:00:00,329.00,329.40,328.88,329.40,329.40,9681.00
2021-09-28|01:00:00,329.60,336.26,317.21,320.50,320.50,1009615.00
2021-09-28|02:00:00,320.50,321.36,313.81,318.68,318.68,1150465.00
2021-09-28|03:00:00,318.69,319.00,314.27,315.50,315.50,541141.00
2021-09-28|04:00:00,315.66,318.88,314.41,316.65,316.65,315266.00
2021-09-28|05:00:00,316.65,317.95,315.44,315.89,315.89,356772.00
2021-09-28|06:00:00,316.00,320.57,314.80,320.00,320.00,375948.00
2021-09-28|07:00:00,320.00,320.60,316.71,316.71,316.71,693360.00
2021-09-28|08:00:00,316.72,316.99,316.00,316.99,316.99,219218.00
2021-09-28|09:00:00,316.72,317.50,316.25,316.25,316.25,22386.00
