Date,Open,High,Low,Close,Adjusted_close,Volume
2021-09-27|08:00:00,263.02,263.88,260.09,260.68,260.68,7420.00
2021-09-27|09:00:00,260.68,260.98,258.91,258.91,258.91,3950.00
2021-09-27|10:00:00,259.00,260.54,258.91,259.28,259.28,1271.00
2021-09-27|11:00:00,259.83,260.82,259.00,259.37,259.37,8157.00
2021-09-27|12:00:00,259.40,263.16,258.69,259.50,259.50,22395.00
2021-09-27|01:00:00,259.20,259.60,255.85,258.62,258.62,830194.00
2021-09-27|02:00:00,258.48,259.86,258.11,258.55,258.55,644714.00
2021-09-27|03:00:00,258.52,259.50,256.40,257.04,257.04,932443.00
2021-09-27|04:00:00,257.04,257.58,255.79,256.18,256.18,443506.00
2021-09-27|05:00:00,256.16,257.73,255.93,256.74,256.74,403584.00
2021-09-27|06:00:00,256.77,259.00,256.63,257.98,257.98,550399.00
2021-09-27|07:00:00,258.05,259.31,257.41,258.10,258.10,621271.00
2021-09-27|08:00:00,258.11,258.48,257.61,257.99,257.99,189983.00
2021-09-27|09:00:00,257.64,257.80,257.64,257.64,257.64,904.00
2021-09-27|10:00:00,257.80,257.80,257.60,257.60,257.60,1324.00
2021-09-27|11:00:00,257.80,258.23,257.80,258.23,258.23,6103.00
2021-09-28|08:00:00,252.82,252.82,252.82,252.82,252.82,495.00
2021-09-28|10:00:00,251.65,251.65,251.65,251.65,251.65,141.00
2021-09-28|11:00:00,252.96,254.97,252.62,253.00,253.00,20069.00
2021-09-28|12:00:00,253.00,253.20,251.65,251.90,251.90,24130.00
2021-09-28|01:00:00,252.00,253.50,245.50,246.37,246.37,1732690.00
2021-09-28|02:00:00,246.27,246.27,242.10,244.61,244.61,2238839.00
2021-09-28|03:00:00,244.53,244.88,241.62,243.91,243.91,1962540.00
2021-09-28|04:00:00,243.92,244.99,241.99,242.63,242.63,763713.00
2021-09-28|05:00:00,242.52,244.20,241.85,242.92,242.92,605912.00
2021-09-28|06:00:00,242.92,245.97,242.28,245.58,245.58,733170.00
2021-09-28|07:00:00,245.62,246.69,242.61,242.72,242.72,1759665.00
2021-09-28|08:00:00,243.00,243.00,242.03,242.98,242.98,1134810.00
2021-09-28|09:00:00,242.75,243.00,242.70,242.85,242.85,28866.00
2021-09-28|10:00:00,242.85,243.03,242.70,243.00,243.00,9997.00
2021-09-28|11:00:00,243.26,243.68,242.70,243.10,243.10,9983.00
2021-09-29|08:00:00,246.41,247.32,246.40,246.41,246.41,4349.00
2021-09-29|09:00:00,247.47,247.47,246.50,246.99,246.99,1480.00
2021-09-29|10:00:00,247.22,247.66,247.00,247.00,247.00,422.00
2021-09-29|11:00:00,247.00,247.20,245.31,246.46,246.46,31439.00
2021-09-29|12:00:00,246.85,246.94,245.50,246.10,246.10,28122.00
2021-09-29|01:00:00,246.20,246.71,240.01,242.00,242.00,1245193.00
2021-09-29|02:00:00,242.00,242.98,239.53,241.42,241.42,917406.00
2021-09-29|03:00:00,241.35,241.60,237.54,238.08,238.08,926483.00
2021-09-29|04:00:00,238.03,238.84,235.22,236.48,236.48,1206967.00
2021-09-29|05:00:00,236.49,237.15,235.73,236.46,236.46,632925.00
2021-09-29|06:00:00,236.47,238.87,236.47,238.76,238.76,764645.00
2021-09-29|07:00:00,238.70,239.00,235.43,236.01,236.01,1230609.00
2021-09-29|08:00:00,236.04,236.40,236.04,236.20,236.20,237979.00
2021-09-29|09:00:00,236.20,236.40,236.04,236.27,236.27,5563.00
2021-09-29|10:00:00,236.39,236.44,236.11,236.11,236.11,9880.00
2021-09-29|11:00:00,236.40,238.50,236.40,237.39,237.39,12060.00
2021-09-30|08:00:00,239.50,239.60,239.50,239.50,239.50,1641.00
2021-09-30|09:00:00,239.50,239.50,238.00,238.80,238.80,3349.00
2021-09-30|10:00:00,238.50,238.50,238.05,238.05,238.05,1140.00
2021-09-30|11:00:00,238.68,238.88,238.00,238.44,238.44,5096.00
2021-09-30|12:00:00,238.69,238.80,237.85,238.80,238.80,12068.00
2021-09-30|01:00:00,238.51,240.23,236.27,238.58,238.58,774014.00
2021-09-30|02:00:00,238.55,239.50,236.82,237.41,237.41,683397.00
2021-09-30|03:00:00,237.30,239.97,236.71,237.93,237.93,805287.00
2021-09-30|04:00:00,237.87,239.68,237.36,239.34,239.34,461216.00
2021-09-30|05:00:00,239.40,241.78,239.00,241.54,241.54,775910.00
2021-09-30|06:00:00,241.57,243.27,241.40,242.07,242.07,652926.00
2021-09-30|07:00:00,242.01,242.63,239.48,239.74,239.74,857481.00
2021-09-30|08:00:00,239.84,241.51,239.74,239.95,239.95,395042.00
2021-09-30|09:00:00,239.55,240.00,239.43,239.90,239.90,6235.00
2021-09-30|10:00:00,239.89,240.25,239.88,239.88,239.88,8025.00
2021-09-30|11:00:00,240.20,241.00,240.20,240.80,240.80,4063.00
2021-10-01|08:00:00,238.00,238.00,236.08,236.55,236.55,6041.00
2021-10-01|09:00:00,236.72,237.88,236.72,237.05,237.05,8107.00
2021-10-01|10:00:00,237.20,239.80,237.19,239.80,239.80,8377.00
2021-10-01|11:00:00,239.46,243.00,239.46,242.22,242.22,55297.00
2021-10-01|12:00:00,242.39,242.99,241.00,241.29,241.29,16301.00
2021-10-01|01:00:00,241.39,241.80,237.55,239.38,239.38,754710.00
2021-10-01|02:00:00,239.50,240.94,236.88,240.73,240.73,1079629.00
2021-10-01|03:00:00,240.67,242.05,239.40,240.50,240.50,636629.00
2021-10-01|04:00:00,240.59,241.16,238.10,238.67,238.67,634000.00
2021-10-01|05:00:00,238.66,239.84,238.07,238.28,238.28,481399.00
2021-10-01|06:00:00,238.26,240.68,238.21,240.30,240.30,554513.00
2021-10-01|07:00:00,240.31,240.49,239.02,239.24,239.24,1282400.00
2021-10-01|08:00:00,239.30,240.00,239.20,239.69,239.69,374051.00
2021-10-01|09:00:00,239.50,239.64,239.29,239.29,239.29,1874.00
2021-10-01|10:00:00,239.29,239.50,239.29,239.50,239.50,2220.00
2021-10-01|11:00:00,239.45,239.59,239.40,239.42,239.42,3470.00
2021-10-04|08:00:00,237.72,237.72,237.31,237.31,237.31,738.00
2021-10-04|10:00:00,237.80,237.80,237.80,237.80,237.80,140.00
2021-10-04|11:00:00,238.00,238.00,236.99,236.99,236.99,5176.00
2021-10-04|12:00:00,237.39,238.58,237.24,238.41,238.41,3293.00
2021-10-04|01:00:00,237.52,238.00,227.85,230.09,230.09,1563252.00
2021-10-04|02:00:00,230.00,230.31,224.30,225.33,225.33,2464206.00
2021-10-04|03:00:00,225.28,226.67,223.87,224.94,224.94,1607420.00
2021-10-04|04:00:00,224.91,225.30,223.25,223.51,223.51,1666798.00
2021-10-04|05:00:00,223.51,224.67,222.92,224.19,224.19,1185869.00
2021-10-04|06:00:00,224.23,226.11,224.22,225.55,225.55,1336662.00
2021-10-04|07:00:00,225.57,226.91,224.17,226.29,226.29,2108331.00
2021-10-04|08:00:00,226.25,226.70,226.00,226.25,226.25,359654.00
2021-10-04|09:00:00,226.42,226.73,226.40,226.50,226.50,8275.00
2021-10-04|10:00:00,226.52,226.73,226.50,226.56,226.56,4181.00
2021-10-04|11:00:00,226.68,226.70,225.50,226.25,226.25,31781.00
2021-10-05|08:00:00,227.00,227.29,226.00,227.29,227.29,10894.00
2021-10-05|09:00:00,227.89,228.00,227.85,228.00,228.00,3662.00
2021-10-05|10:00:00,228.10,228.10,227.61,227.61,227.61,2581.00
2021-10-05|11:00:00,227.94,227.97,227.35,227.70,227.70,12607.00
2021-10-05|12:00:00,227.76,228.14,227.65,227.93,227.93,14402.00
2021-10-05|01:00:00,227.81,230.80,226.25,230.50,230.50,1124889.00
2021-10-05|02:00:00,230.50,235.65,230.25,235.59,235.59,1904734.00
2021-10-05|03:00:00,235.59,239.14,235.22,236.60,236.60,2125302.00
2021-10-05|04:00:00,236.62,237.97,234.68,236.12,236.12,1044612.00
2021-10-05|05:00:00,236.11,236.47,235.20,236.05,236.05,621476.00
2021-10-05|06:00:00,236.02,237.81,235.80,236.34,236.34,860179.00
2021-10-05|07:00:00,236.34,236.70,234.68,235.98,235.98,1843107.00
2021-10-05|08:00:00,235.98,235.98,235.51,235.52,235.52,332015.00
2021-10-05|09:00:00,235.89,235.89,235.60,235.60,235.60,4086.00
2021-10-05|10:00:00,235.87,235.89,235.56,235.56,235.56,5941.00
2021-10-05|11:00:00,235.92,235.98,235.55,235.55,235.55,8200.00
2021-10-06|08:00:00,231.57,231.70,229.04,229.34,229.34,9086.00
2021-10-06|09:00:00,229.34,229.69,229.18,229.50,229.50,2564.00
2021-10-06|10:00:00,229.20,230.00,229.20,229.30,229.30,1836.00
2021-10-06|11:00:00,229.09,230.84,228.50,229.80,229.80,21764.00
2021-10-06|12:00:00,230.75,232.96,230.75,232.25,232.25,30450.00
2021-10-06|01:00:00,232.10,238.79,231.33,234.10,234.10,1309813.00
2021-10-06|02:00:00,233.98,240.01,232.20,239.27,239.27,1631864.00
2021-10-06|03:00:00,239.36,240.71,236.84,240.62,240.62,1010854.00
2021-10-06|04:00:00,240.70,241.00,237.96,238.72,238.72,665951.00
2021-10-06|05:00:00,238.65,240.92,237.42,239.99,239.99,606722.00
2021-10-06|06:00:00,240.04,240.74,239.25,239.38,239.38,435101.00
2021-10-06|07:00:00,239.41,240.15,237.94,239.02,239.02,843847.00
2021-10-06|08:00:00,239.12,239.25,239.00,239.12,239.12,358773.00
2021-10-06|09:00:00,239.85,239.85,239.12,239.52,239.52,70678.00
2021-10-06|10:00:00,239.59,240.98,239.45,240.75,240.75,2142.00
2021-10-06|11:00:00,240.17,240.98,240.17,240.98,240.98,6836.00
2021-10-07|08:00:00,242.80,246.83,242.80,245.79,245.79,14160.00
2021-10-07|09:00:00,245.57,245.79,245.50,245.55,245.55,634.00
2021-10-07|10:00:00,245.77,246.00,245.63,245.99,245.99,4596.00
2021-10-07|11:00:00,245.52,248.00,245.30,246.00,246.00,42920.00
2021-10-07|12:00:00,245.75,246.86,245.67,246.44,246.44,108805.00
2021-10-07|01:00:00,246.33,249.71,239.12,247.25,247.25,1512087.00
2021-10-07|02:00:00,247.14,248.39,244.92,247.39,247.39,1291694.00
2021-10-07|03:00:00,247.39,249.40,246.83,248.73,248.73,1234923.00
2021-10-07|04:00:00,248.72,250.86,248.34,250.52,250.52,1322699.00
2021-10-07|05:00:00,250.56,251.65,249.59,250.34,250.34,953795.00
2021-10-07|06:00:00,250.38,250.67,248.56,249.54,249.54,932347.00
2021-10-07|07:00:00,249.48,250.45,248.89,249.08,249.08,1162486.00
2021-10-07|08:00:00,249.42,249.42,249.16,249.20,249.20,520497.00
2021-10-07|09:00:00,249.01,249.85,249.01,249.11,249.11,10471.00
2021-10-07|10:00:00,249.27,249.50,249.05,249.05,249.05,7978.00
2021-10-07|11:00:00,249.21,249.50,249.01,249.50,249.50,14118.00
2021-10-08|08:00:00,248.01,248.21,247.00,247.21,247.21,9067.00
2021-10-08|09:00:00,247.54,247.80,247.40,247.80,247.80,2882.00
2021-10-08|10:00:00,248.00,248.02,248.00,248.02,248.02,300.00
2021-10-08|11:00:00,248.50,249.10,248.50,248.91,248.91,6530.00
2021-10-08|12:00:00,248.72,251.31,248.00,249.65,249.65,84159.00
2021-10-08|01:00:00,249.77,251.44,247.53,247.94,247.94,803810.00
