Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-25,3141.87,3198,3140.26,3185.07,3185.07,3790403
2020-11-27,3211.26,3216.19,3190.05,3195.34,3195.34,2392867
2020-11-30,3208.48,3228.39,3125.55,3168.04,3168.04,4063916
2020-12-01,3188.5,3248.95,3157.18,3220.08,3220.08,4544382
2020-12-02,3221.65,3232,3173.26,3203.53,3203.53,3129304
2020-12-03,3205.46,3228.64,3181.31,3186.73,3186.73,2892039
2020-12-04,3198.21,3198.21,3158.76,3162.58,3162.58,2913611
2020-12-07,3156.48,3180.76,3141.69,3158,3158,2751316
2020-12-08,3158.9,3184.13,3120.02,3177.29,3177.29,3286303
2020-12-09,3167.89,3174.43,3088,3104.2,3104.2,4100836
2020-12-10,3088.99,3142.1,3076,3101.49,3101.49,3030186
2020-12-11,3096.66,3118.67,3072.82,3116.42,3116.42,3064695
2020-12-14,3143,3190.47,3126,3156.97,3156.97,4155794
2020-12-15,3181.01,3188.5,3130.49,3165.12,3165.12,3323686
2020-12-16,3176.01,3247,3163.68,3240.96,3240.96,4427616
2020-12-17,3250,3263.51,3221,3236.08,3236.08,3474347
2020-12-18,3243.99,3249.42,3171.6,3201.65,3201.65,5995713
2020-12-21,3200.01,3226.967,3166,3206.18,3206.18,3836846
2020-12-22,3202.843,3222,3180.08,3206.52,3206.52,2381781
2020-12-23,3205,3210.13,3184.17,3185.27,3185.27,2093787
2020-12-24,3193.9,3202,3169,3172.69,3172.69,1451917
2020-12-28,3194,3304,3172.69,3283.96,3283.96,5686787
2020-12-29,3309.94,3350.65,3281.223,3322,3322,4872933
2020-12-30,3341,3342.1,3282.47,3285.85,3285.85,3209310
2020-12-31,3275,3282.922,3241.2,3256.93,3256.93,2957206
2021-01-04,3270,3272,3144.02,3186.63,3186.63,4411449
2021-01-05,3166.01,3223.38,3165.06,3218.51,3218.51,2655548
2021-01-06,3146.48,3197.509,3131.16,3138.38,3138.38,4394815
2021-01-07,3157,3208.542,3155,3162.16,3162.16,3514545
2021-01-08,3180,3190.64,3142.2,3182.7,3182.7,3537744
2021-01-11,3148.01,3156.384,3110,3114.21,3114.21,3669095
2021-01-12,3120,3142.142,3086,3120.83,3120.83,3514582
2021-01-13,3128.44,3189.95,3122.08,3165.89,3165.89,3321244
2021-01-14,3167.52,3178,3120.59,3127.47,3127.47,3070919
2021-01-15,3123.02,3142.545,3095.17,3104.25,3104.25,4243995
2021-01-19,3107,3145,3096,3120.76,3120.76,3305142
2021-01-20,3181.99,3279.8,3175,3263.38,3263.38,5309835
2021-01-21,3293,3348.55,3289.567,3306.99,3306.99,4945051
2021-01-22,3304.31,3321.91,3283.164,3292.23,3292.23,2821914
2021-01-25,3328.5,3363.89,3243.146,3294,3294,3749758
2021-01-26,3296.356,3338,3282.87,3326.13,3326.13,2955235
2021-01-27,3341.49,3346.52,3207.08,3232.58,3232.58,4660158
2021-01-28,3235.04,3301.68,3228.69,3237.62,3237.62,3149228
2021-01-29,3230,3236.99,3184.55,3206.2,3206.2,4293556
2021-02-01,3242.36,3350.26,3235.025,3342.88,3342.88,4160212
2021-02-02,3380,3427.74,3361.125,3380,3380,7098637
2021-02-03,3425.01,3434,3308.62,3312.53,3312.53,7088781
2021-02-04,3330,3347,3277.75,3331,3331,3670661
2021-02-05,3319,3377,3302.71,3352.15,3352.15,3620808
2021-02-08,3358.5,3365,3304,3322.94,3322.94,3257391
2021-02-09,3312.49,3338,3297.84,3305,3305,2203526
2021-02-10,3314,3317.955,3254,3286.58,3286.58,3151550
2021-02-11,3292,3292,3248.06,3262.13,3262.13,2301417
2021-02-12,3250,3280.25,3233.31,3277.71,3277.71,2335339
2021-02-16,3254.05,3308.3,3253.591,3268.95,3268.95,2574721
2021-02-17,3263.6,3320.91,3259.5,3308.64,3308.64,3302099
2021-02-18,3282.42,3338,3273.94,3328.23,3328.23,3033607
2021-02-19,3328.23,3333.5,3245.75,3249.9,3249.9,4305184
2021-02-22,3208.13,3232.32,3172.26,3180.74,3180.74,3515679
2021-02-23,3127.03,3204.73,3093.6,3194.5,3194.5,4677222
2021-02-24,3166.75,3171.23,3125.38,3159.53,3159.53,3011275
2021-02-25,3136.74,3178.26,3047.76,3057.16,3057.16,4533801
2021-02-26,3095.2,3122.44,3036.7,3092.93,3092.93,4275930
2021-03-01,3127.89,3149.56,3097.99,3146.14,3146.14,2733963
2021-03-02,3143.47,3163.52,3087.12,3094.53,3094.53,2595762
2021-03-03,3081.18,3107.775,2995,3005,3005,3988725
2021-03-04,3012,3058.13,2945.43,2977.57,2977.57,5481578
2021-03-05,3005,3009,2881,3000.46,3000.46,5388551
2021-03-08,3015,3064.59,2951.31,2951.95,2951.95,4185008
2021-03-09,3017.99,3090.96,3005.147,3062.85,3062.85,4030032
2021-03-10,3098.45,3116.46,3030.05,3057.64,3057.64,3012489
2021-03-11,3104.01,3131.784,3082.93,3113.59,3113.59,2776391
2021-03-12,3075,3098.98,3045.5,3089.49,3089.49,2421888
2021-03-15,3074.57,3082.24,3032.09,3081.68,3081.68,2918592
2021-03-16,3104.97,3128.91,3075.86,3091.86,3091.86,2538764
2021-03-17,3073.22,3173.05,3070.22,3135.73,3135.73,3118584
2021-03-18,3101,3116.63,3025,3027.99,3027.99,3657027
2021-03-19,3029.23,3077.285,3016.63,3074.96,3074.96,4625354
2021-03-22,3067.85,3126.58,3060.05,3110.87,3110.87,2902179
2021-03-23,3127,3182,3120.85,3137.5,3137.5,3817263
2021-03-24,3151.04,3160.31,3085.15,3087.07,3087.07,2958981
2021-03-25,3072.99,3109.78,3037.14,3046.26,3046.26,3563469
2021-03-26,3044.06,3056.66,2996,3052.03,3052.03,3312924
2021-03-29,3055.439,3091.25,3028.445,3075.73,3075.73,2745968
2021-03-30,3070.01,3073,3034,3055.29,3055.29,2337603
2021-03-31,3064.06,3119.33,3062.5,3094.08,3094.08,3093896
2021-04-01,3117.94,3162.44,3115.55,3161,3161,2940318
