Date,Open,High,Low,Close,Adjusted_close,Volume
2020-09-29,275.43,279.3,274.9,276.93,276.93,7679306
2020-09-30,284.01,295,283.71,293.98,293.98,24777740
2020-10-01,295.26,295.59,288.25,290.05,290.05,16304020
2020-10-02,286.62,291.9794,286.51,288.17,288.17,11482750
2020-10-05,289.06,290,284.88,288.27,288.27,17876410
2020-10-06,287.41,296.84,286.91,292.39,292.39,15860390
2020-10-07,297.99,299.51,292.87,296.5,296.5,16669301
2020-10-08,298.11,302.3,295.441,300.54,300.54,15105810
2020-10-09,298.55,302.61,297.74,299.74,299.74,11442250
2020-10-12,303.95,309.64,301.2848,306.34,306.34,14780070
2020-10-13,306.36,310.01,303.03,308.78,308.78,10898540
2020-10-14,309,309.96,300.8,301.04,301.04,15186390
2020-10-15,293.8,299.8628,292.61,299.46,299.46,9709898
2020-10-16,303.99,310,302.95,307.31,307.31,12346460
2020-10-19,309.89,313.81,303.41,305.29,305.29,14107280
2020-10-20,307.6,311.8,307.06,309.81,309.81,8806118
2020-10-21,311.75,314,307.7,307.97,307.97,11139660
2020-10-22,311.46,311.85,304.2101,306.28,306.28,8013083
2020-10-23,307.27,310.33,304.06,309.92,309.92,6231438
2020-10-26,309.92,315.4599,303.2,306.87,306.87,9350118
2020-10-27,307.75,319.32,305.61,317.14,317.14,13175870
2020-10-28,313.5,313.5,306,307.94,307.94,13644450
2020-10-29,309.44,315.58,308.91,312.56,312.56,11174520
2020-10-30,308.55,310.83,300.19,304.69,304.69,14923850
2020-11-02,310.95,311.44,305.39,310.84,310.84,11857640
2020-11-03,286.2,294.28,280.78,285.57,285.57,58132488
2020-11-04,287.79,299.17,285.3,295.71,295.71,28791199
2020-11-05,289.09,291.25,279.6,287.75,287.75,49885848
2020-11-06,291.49,300.89,289.786,299.95,299.95,25259570
2020-11-09,303.77,304,290.5,290.53,290.53,22559869
2020-11-10,279.97,280,264.33,266.54,266.54,61063980
2020-11-11,261.92,271.92,261.205,265.65,265.65,41698980
2020-11-12,271.04,271.2,263.04,264.31,264.31,27181051
2020-11-13,264.72,265.44,257.17,260.84,260.84,33919961
2020-11-16,260.42,262.57,257.03,258.31,258.31,20864160
2020-11-17,260.28,260.28,256.54,256.8,256.8,19739461
2020-11-18,257.76,258.31,252.55,255.83,255.83,28307119
2020-11-19,255,261.4,253.5601,259.89,259.89,20752830
2020-11-20,263.97,272.3699,261.9,270.74,270.74,34178422
2020-11-23,274.75,275.73,266.4107,270.11,270.11,25317119
2020-11-24,276.235,280.61,272.8,279.96,279.96,20660480
2020-11-25,275.7,279.33,274.05,277.72,277.72,15229300
2020-11-27,278.8,278.92,275.6656,276.48,276.48,9583197
2020-11-30,268.97,268.97,262.52,263.36,263.36,30476119
2020-12-01,265.47,265.67,261.57,264.01,264.01,14606290
2020-12-02,262,263.1,260.11,261.32,261.32,13919670
2020-12-03,263.78,268.6,263.14,266.91,266.91,15520490
2020-12-04,271.02,271.3,266.27,267.25,267.25,15527570
2020-12-07,265.7,265.97,262.6,264,264,11388710
2020-12-08,265.2,268.4,263.87,266.09,266.09,9447654
2020-12-09,267.56,267.91,263.1,263.8,263.8,9060730
2020-12-10,261.99,266.0899,261.2001,264.87,264.87,10290250
2020-12-11,264.29,265.3199,262.5,264.54,264.54,7771290
2020-12-14,260.32,260.855,256.03,256.03,256.03,18369891
2020-12-15,255.34,255.68,252.3,255.11,255.11,16595641
2020-12-16,257.74,263.18,257.04,261.89,261.89,15804750
2020-12-17,264.7,264.85,260.2,264.43,264.43,14306570
2020-12-18,263.9,264.9,259.2,260,260,15981760
2020-12-21,255.17,260.46,254.5,260.43,260.43,10901780
2020-12-22,257.87,258.34,255.41,255.83,255.83,11485740
2020-12-23,255.5,257.3499,252.5301,256.18,256.18,10729150
2020-12-24,228.235,229.9,211.23,222,222,141830000
2020-12-28,216.88,224.99,215.3201,222.36,222.36,73512094
2020-12-29,231.76,239.19,229.6,236.26,236.26,69715953
2020-12-30,243.3484,243.39,234.6452,238.39,238.39,44812301
2020-12-31,237.46,238.92,231.0267,232.73,232.73,23451850
2021-01-04,226.5,230.38,225.04,227.85,227.85,24897859
2021-01-05,229.05,240.76,228.12,240.4,240.4,35823832
2021-01-06,234.95,238.3,225.86,227.61,227.61,37146059
2021-01-07,229.31,229.95,220.09,226.9,226.9,49361840
2021-01-08,227.88,238.6,226.6833,236.19,236.19,34884941
2021-01-11,229.9,230.8245,225.86,227.37,227.37,23036859
2021-01-12,228.385,229.75,225.14,225.6,225.6,19042930
2021-01-13,229.94,240.49,226.29,235.3,235.3,38805070
2021-01-14,245.31,245.7,241.47,242.98,242.98,31381641
2021-01-15,246.25,246.99,242.1501,243.46,243.46,21561650
2021-01-19,250,252.88,246.99,251.65,251.65,23681891
2021-01-20,267.5,269,262.7,265.49,265.49,44640840
2021-01-21,264.13,264.6,257.9,260,260,20709881
2021-01-22,256.8,260.33,255.5,258.62,258.62,13518250
2021-01-25,263.62,265.2,257.85,261.38,261.38,19478551
2021-01-26,263.8,266,261.12,265.92,265.92,14681230
2021-01-27,265.13,265.92,259.95,260.25,260.25,16050390
2021-01-28,259.17,261.57,257.33,260.76,260.76,10244930
2021-01-29,256.03,258.9,252.3,253.83,253.83,14692990
2021-02-01,258.8,265,255.195,264.69,264.69,15289300
2021-02-02,264.57,265,254.04,254.5,254.5,30534340
2021-02-03,264.7,268.28,261.2501,263.43,263.43,29179689
2021-02-04,269.58,269.99,265.5576,266.96,266.96,16762980
2021-02-05,264.61,266.45,263.21,265.67,265.67,11018670
2021-02-08,264.98,265,261.82,262.59,262.59,10758150
2021-02-09,263,267.2,262.54,266.49,266.49,12432770
2021-02-10,268.7,270.4,264.6,267.79,267.79,13090790
2021-02-11,268.75,274.26,267.2,268.93,268.93,15295790
2021-02-12,269.09,270.25,265.6804,267.85,267.85,9355082
2021-02-16,271,274.29,270.4,270.7,270.7,16708660
2021-02-17,270.89,272.316,267.81,270.83,270.83,13262400
2021-02-18,265.23,266.18,262.33,264.51,264.51,15382350
2021-02-19,266.05,269.39,262.85,263.59,263.59,14718440
2021-02-22,257.99,259.46,254,254,254,14403490
2021-02-23,247.31,254.9,241.62,252.75,252.75,15980270
2021-02-24,252,252,248.1,250.34,250.34,12831650
2021-02-25,250,250.34,240.07,240.18,240.18,17967250
2021-02-26,244.63,244.9,237.65,237.76,237.76,17470660
2021-03-01,241.05,242.79,239.26,241.69,241.69,14043350
2021-03-02,238.79,241.2,234.27,234.42,234.42,14644190
2021-03-03,237.5,239.6086,234.4506,236.27,236.27,13571670
2021-03-04,235,236.37,228.36,230.5,230.5,22964850
2021-03-05,235.42,236.43,228.34,233.89,233.89,15988380
2021-03-08,229.02,230.81,226.53,226.69,226.69,17138381
2021-03-09,233.38,238.74,233.075,238.14,238.14,15291260
2021-03-10,241,241.325,233.64,234.3,234.3,10491180
2021-03-11,237.2,241.72,235,240.8,240.8,15162530
2021-03-12,233.695,235.45,229.7058,231.87,231.87,17778449
2021-03-15,228.41,230.45,226.26,230.28,230.28,14520330
2021-03-16,228.07,229.85,225.53,226.93,226.93,19336590
2021-03-17,226.5,235.63,225.81,233.34,233.34,16949510
2021-03-18,238.56,239.5,235.56,236.43,236.43,14836080
2021-03-19,239.66,241.6,236.8838,239.79,239.79,15959660
2021-03-22,235.855,238.53,235,237.12,237.12,12063170
2021-03-23,237.3,241.12,235.5,237.67,237.67,12295570
2021-03-24,236.83,237.3,229.24,229.59,229.59,15949850
2021-03-25,225,229.24,222.5,222.72,222.72,24819820
2021-03-26,222,229.239,220.42,227.26,227.26,22030750
2021-03-29,225.49,232.38,225.1,231.86,231.86,18029109
2021-03-30,229.27,230.45,226.64,229.25,229.25,14828660
2021-03-31,229.89,231.52,226.47,226.73,226.73,16825400
2021-04-01,230.68,231.25,223.5,224.36,224.36,23497461
