Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-23,294.26,296.65,293.48,295.89,290.9357,2855621
2020-11-24,298.94,301.11,298.3,300.43,295.3997,4022685
2020-11-25,299.95,300.04,298.05,298.74,293.738,2629180
2020-11-27,299.44,300.2,298.1701,299.24,294.2296,1518004
2020-11-30,297.52,297.8,294.75,296.62,291.6535,4159303
2020-12-01,299.73,301.0099,298.18,298.44,293.443,2865731
2020-12-02,297.1,299.34,296.35,299.18,294.1706,2481696
2020-12-03,299.38,301.4,299.0531,300.06,295.0359,3140866
2020-12-04,300.74,302.59,300.6,302.59,297.5235,2747275
2020-12-07,301.77,302.16,300,301.1,296.0585,2589937
2020-12-08,300.01,302.87,299.98,302.2,297.1401,2205376
2020-12-09,303.22,303.6,299.97,300.88,295.8422,3074513
2020-12-10,299.99,301.15,299.2,300.54,295.5079,2413039
2020-12-11,299.43,301.18,298.68,300.93,295.8913,2454313
2020-12-14,303.02,303.799,299,299.1,294.092,3646063
2020-12-15,300.95,302.94,299.48,302.62,297.553,4228573
2020-12-16,302.54,302.8721,301.32,302.15,297.0909,1977342
2020-12-17,303.2165,303.71,302.85,303.49,298.4085,3002872
2020-12-18,303.07,303.14,300.23,301.9,297.4208,4442136
2020-12-21,298.79,302.97,297.42,302.14,297.6572,6340751
2020-12-22,301.84,301.88,299.8597,300.07,295.6179,2723542
2020-12-23,301.2,302.7899,301.14,301.28,296.81,2714356
2020-12-24,301.66,302.1,300.93,302.02,297.539,1955723
2020-12-28,303.69,305.15,303.3517,304,299.4896,2382440
2020-12-29,305.43,305.7,302.64,303.46,298.9576,2319636
2020-12-30,304.11,305.13,303.86,304.13,299.6177,2081348
2020-12-31,304,306.29,303.35,305.79,301.2531,2796979
2021-01-04,306.59,306.66,298.74,302.32,297.8346,5106635
2021-01-05,301.93,305.05,301.38,303.84,299.332,3355243
2021-01-06,303.75,310.24,303.06,308.21,303.6372,7290298
2021-01-07,309.72,311.98,309.059,310.5,305.8932,4107942
2021-01-08,311.25,311.43,307.99,311.04,306.4252,3234948
2021-01-11,308.49,311,308.42,310.17,305.5681,2822095
2021-01-12,310.18,311.25,308.91,310.74,306.1296,2290854
2021-01-13,310.63,311.6,309.92,310.63,306.0213,1854424
2021-01-14,311.59,312.2683,309.89,310.05,305.4499,3232381
2021-01-15,308.01,309.32,306.03,308.12,303.6734,4009106
2021-01-19,310.36,310.74,308.6,309.32,304.8561,2781746
2021-01-20,310.43,312.3385,309.94,311.77,307.2707,2398402
2021-01-21,312.01,312.7098,311.2,311.87,307.3693,1938431
2021-01-22,309.86,311.02,309.09,309.97,305.4967,2049721
2021-01-25,308.99,309.78,305.62,309.65,305.1813,4546419
2021-01-26,310.54,311.19,309.21,309.39,304.925,2256091
2021-01-27,306.54,306.7199,302.0971,303.26,298.8835,5743141
2021-01-28,304.98,309.42,304.83,306.07,301.653,6392069
2021-01-29,303.92,304.78,298.59,299.81,295.4833,5929934
2021-02-01,302.28,303.35,300.14,302.02,297.6614,3138644
2021-02-02,304.5399,308.43,304.52,306.82,302.3921,3090522
2021-02-03,306.1,307.9353,305.18,307.26,302.8258,2087820
2021-02-04,307.85,310.67,307.77,310.67,306.1866,2638783
2021-02-05,312.36,312.55,310.87,311.54,307.044,1955606
2021-02-08,312.6953,313.89,312.41,313.89,309.3601,1690007
2021-02-09,313.26,314.5,312.57,313.92,309.3897,1798748
2021-02-10,315.17,315.24,312.3,314.5,309.9613,3048029
2021-02-11,315.09,315.76,312.8,314.68,310.1387,1937081
2021-02-12,314.28,315.14,313.83,315.04,310.4935,2479493
2021-02-16,316.33,316.54,314.8701,315.58,311.0257,1836346
2021-02-17,314.69,316.91,313.87,316.6,312.031,2019115
2021-02-18,314.75,316,313.38,315.56,311.006,2618615
2021-02-19,315.61,316.34,314.58,314.92,310.9678,2314939
2021-02-22,312.9,316.49,312.77,315.21,311.2542,3003801
2021-02-23,314.77,316.49,311.6,315.39,311.4319,5723426
2021-02-24,314.68,320.043,314.18,319.53,315.52,4290289
2021-02-25,319.7144,319.92,312.96,313.98,310.0396,7648597
2021-02-26,314.42,314.44,308.78,309.45,305.5665,7925615
2021-03-01,313.48,316.92,313.45,315.59,311.6294,4753274
2021-03-02,315.72,316.43,314.01,314.19,310.247,4075678
2021-03-03,313.94,315.87,312.83,312.99,309.062,5148051
2021-03-04,313.19,314.92,305.68,309.58,305.6948,8577594
2021-03-05,312.5,316.05,307.9,315.24,311.2838,7016121
2021-03-08,316.75,321.73,315.83,318.25,314.256,8230727
2021-03-09,319.47,321.77,318.44,318.61,314.6115,5829913
2021-03-10,320.53,324.31,320.47,323.33,319.2723,6472177
2021-03-11,324.71,326.97,323.83,325.33,321.2472,5745916
2021-03-12,325.67,328.49,325.5,328.31,324.1898,4257160
2021-03-15,329.18,330.24,326.8101,330.09,325.9474,4465420
2021-03-16,329.85,330,328.32,328.86,324.7329,3270599
2021-03-17,329.21,331.03,328.38,330.77,326.6189,4338229
2021-03-18,330.3,332.86,328.77,329.36,325.2266,5386239
2021-03-19,328.09,328.18,324.98,326.01,322.5762,5628836
2021-03-22,325.55,327.98,325.03,327.24,323.7933,3807558
2021-03-23,326.32,327.48,323.44,324.06,320.6468,5068441
2021-03-24,325.28,327.73,324.08,324.08,320.6666,6098982
2021-03-25,322.71,326.62,320.62,326.19,322.7543,5557909
2021-03-26,327.6,330.89,326.68,330.61,327.1278,4956562
2021-03-29,329.29,332.46,328.9,331.66,328.1667,5200879
2021-03-30,331.05,331.6,329.78,330.82,327.3356,4568829
2021-03-31,330.61,331.62,329.94,330.18,326.7023,3763686
2021-04-01,330.78,331.6,329.72,331.45,327.9589,5936080
2021-04-05,333.94,336.1521,333.91,335.2,331.6694,5632673
2021-04-06,334.69,335.42,333.78,334.37,330.8482,2987511
2021-04-07,334.14,335.17,333.44,334.37,330.8482,2658526
2021-04-08,334.3,335.15,333.43,335.13,331.6002,2664978
2021-04-09,335.72,338.08,335.36,337.86,334.3014,3034682
2021-04-12,337.26,337.86,336.65,337.55,333.9947,2951503
2021-04-13,336.63,337.42,335.49,336.79,333.2427,3391673
2021-04-14,336.81,339.11,336.74,337.53,333.9749,3966835
2021-04-15,338.83,340.72,338.83,340.44,336.8542,3881795
2021-04-16,341.73,342.43,340.982,341.86,338.3706,3748913
2021-04-19,341.07,341.31,339.65,340.75,337.2719,3222821
2021-04-20,339.4,339.86,336.7507,338.12,334.6687,3762864
2021-04-21,337.63,341.54,337.56,341.3,337.8163,4191221
2021-04-22,341.12,341.21,337.0901,338.12,334.6687,4962486
2021-04-23,337.75,341.59,337.13,340.43,336.9551,3615382
2021-04-26,341.15,341.48,339.39,339.87,336.4009,2090866
2021-04-27,339.6,340.425,338.695,339.83,336.3613,2732683
2021-04-28,339.23,339.49,338.06,338.37,334.9162,3025135
2021-04-29,339.89,340.86,337.37,340.57,337.0937,3688409
2021-04-30,338.92,339.65,337.85,338.94,335.4804,2909575
2021-05-03,340.79,342.18,340.5535,341.11,337.6282,2698416
2021-05-04,339.99,341.53,337.62,341.49,338.0043,4478302
2021-05-05,342.25,343.3,340.37,342.28,338.7863,3506159
2021-05-06,342.93,345.64,341.91,345.51,341.9833,4276661
2021-05-07,345.17,348.29,344.81,347.88,344.3291,3526538
2021-05-10,349.26,351.0885,347.59,347.74,344.1905,6092529
2021-05-11,344.99,345.22,340.89,342.91,339.4098,8396433
2021-05-12,341.55,342.23,335.71,336,332.5704,7034070
2021-05-13,336.3,342.04,336.27,340.45,336.9749,5741302
2021-05-14,342.31,344.93,341.8817,344.26,340.7461,4677297
2021-05-17,343.33,345.125,342.04,343.65,340.1423,3262206
2021-05-18,343.85,344.5,340.87,341.11,337.6282,3462332
2021-05-19,337.56,339.56,335.2,339.44,335.9753,7223927
2021-05-20,339.74,342.94,339.34,341.52,338.034,4532808
2021-05-21,342.29,344.07,341.275,342.04,339.2471,4480975
2021-05-24,343.37,344.69,343.05,343.96,341.1514,2531776
2021-05-25,344.68,345,342.66,343.18,340.3778,2623215
2021-05-26,343.56,344.1194,342.67,343.27,340.4671,2064527
2021-05-27,345.3499,346.16,343.87,344.6,341.7862,3026179
2021-05-28,346.38,346.48,345.35,345.64,342.8177,2642469
2021-06-01,348.5401,348.65,345.6,345.87,343.0459,2584285
2021-06-02,346.75,347.35,345.75,346.36,343.5319,2576707
2021-06-03,344.6079,346.96,343.56,346.02,343.1946,4436384
2021-06-04,347.07,347.99,346.54,347.9,345.0593,2594230
2021-06-07,348.5,348.54,346.02,346.59,343.76,2224299
2021-06-08,346.69,346.91,344.75,346.34,343.512,2748703
2021-06-09,346.5375,346.88,344.69,344.79,341.9747,2591194
2021-06-10,346.54,347.73,344.8,344.98,342.1631,3089394
2021-06-11,346.03,346.5485,343.57,345.12,342.302,3003271
2021-06-14,344.83,344.87,342.47,344.3,341.4887,2526962
2021-06-15,344.51,344.53,342.3701,343.41,340.6059,2138494
2021-06-16,343.41,343.64,339.49,340.76,337.9776,4031995
2021-06-17,340.5599,341.28,336.62,338.65,335.8848,5169081
2021-06-18,334.35,335.25,332.68,332.96,330.7224,7126597
2021-06-21,335.26,339.0899,334.41,338.78,336.5033,5435720
2021-06-22,338.73,340.41,337.45,339.45,337.1688,4042104
2021-06-23,339.59,340.16,338.68,338.78,336.5033,3082666
2021-06-24,340.67,342.3161,340.37,341.98,339.6818,3704742
2021-06-25,343.69,344.98,343.0901,344.45,342.1352,3638030
2021-06-28,344.33,344.42,341.82,342.8,340.4963,3606313
2021-06-29,343.98,344.73,342.611,342.86,340.5559,2375814
2021-06-30,342.38,345.51,342.35,344.95,342.6319,3778882
2021-07-01,345.78,346.4,344.92,346.36,344.0324,3606946
2021-07-02,347.04,348.29,346.18,347.94,345.6018,3013489
2021-07-06,347.75,348.11,343.6,345.82,343.496,3910571
2021-07-07,345.65,347.14,344.4299,346.92,344.5886,3347034
2021-07-08,342.56,345,341.53,344.38,342.0657,6379929
2021-07-09,346.57,349.07,345.844,348.73,346.3865,5063138
2021-07-12,348.01,350.29,347.37,350.03,347.6777,3999772
2021-07-13,349.53,350.25,348.85,349,346.6546,3310228
2021-07-14,350.19,350.69,348.36,349.41,347.0619,3933330
2021-07-15,347.9,350,347.64,349.94,347.5883,5082591
2021-07-16,350.72,350.74,346.34,346.74,344.6134,5710392
2021-07-19,341.79,350.03,337.38,339.88,337.7954,9715318
2021-07-20,340.29,346.12,339.75,345.08,342.9636,5802181
2021-07-21,346.97,348.15,346.37,347.99,345.8557,3056841
2021-07-22,347.77,348.81,346.68,348.26,346.1241,2429252
2021-07-23,349.9999,350.99,349.205,350.57,348.4199,4142346
2021-07-26,350,351.45,349.49,351.41,349.2547,2466576
2021-07-27,350.02,350.68,348.725,350.62,348.4696,3902627
2021-07-28,351.02,351.23,348.71,349.36,347.2173,3697738
2021-07-29,350.95,351.7086,350.38,350.82,348.6683,2425671
2021-07-30,349.88,351.01,348.67,349.48,347.3366,3576715
2021-08-02,350.45,351.91,348.06,348.35,346.2135,2827133
2021-08-03,349.09,351.19,347.11,351.09,348.9367,3819338
2021-08-04,349.59,350.08,347.88,347.99,345.8557,3118464
2021-08-05,348.85,350.65,348.67,350.61,348.4596,2261380
2021-08-06,351.62,352.49,351.46,352.09,349.9306,2123737
2021-08-09,351.6,352.06,350.55,351.15,348.9963,2322494
2021-08-10,351.41,352.94,351.01,352.73,350.5666,2841009
2021-08-11,353.94,355.12,353.7,354.94,352.7631,3422522
2021-08-12,355.19,355.25,353.735,355.23,353.0513,3126880
2021-08-13,355.85,356.37,355,355.39,353.2103,2414944
2021-08-16,354.41,356.6,352.66,356.57,354.3831,3637866
2021-08-17,353.91,354.67,351.51,353.83,351.6599,5019577
2021-08-18,352.62,354.04,349.89,350.12,347.9726,4038003
2021-08-19,347.33,350.48,347.31,349.48,347.3366,5442184
2021-08-20,348.98,351.75,348.53,351.16,349.6176,3394759
2021-08-23,352.96,354.31,352.92,353.45,351.8976,3569246
2021-08-24,354.08,354.49,353.62,353.74,352.1863,1981376
2021-08-25,353.78,355.04,352.92,354.18,352.6244,2434699
2021-08-26,354.47,355,352.07,352.16,350.6132,3008937
2021-08-27,352.65,354.8496,352.65,354.57,353.0126,3163666
2021-08-30,354.96,355.22,353.88,354.08,352.5248,2481998
2021-08-31,353.8,354.802,353.18,353.92,352.3655,2913829
2021-09-01,354.29,354.35,353.29,353.55,351.9971,2739235
2021-09-02,354.78,355.18,353.92,354.87,353.3113,2392219
2021-09-03,353.68,354.6517,353.09,354.14,352.5845,2469109
2021-09-07,353.64,353.69,350.99,351.44,349.8964,3168544
2021-09-08,350.82,352.17,349.64,350.73,349.1895,3075726
2021-09-09,350.56,352.5084,348.9223,349.31,347.7757,3484688
2021-09-10,351.25,351.66,346.57,346.7,345.1772,4539038
2021-09-13,348.91,349.94,347.47,349.3,347.7658,5439709
2021-09-14,350.4,350.57,345.705,346.47,344.9482,3902220
2021-09-15,346.41,349.46,345.78,348.82,347.2879,3267250
2021-09-16,348.91,350.08,346,348.18,346.6507,3646002
2021-09-17,346.85,347.7,345.06,345.64,344.8505,5380943
2021-09-20,340.22,342.16,335.99,339.4,338.6247,10010551
2021-09-21,341.41,343.07,339.01,339.11,338.3354,6071105
2021-09-22,341.16,344.329,340.44,342.5,341.7176,6862699
2021-09-23,344.81,348.67,344.53,347.56,346.7661,5592151
2021-09-24,346.5,348.43,346.31,347.87,347.0754,3121582
2021-09-27,348.29,350.5,348.17,348.61,347.8137,3425978
2021-09-28,347.31,347.82,342.41,342.92,342.1367,7493792
2021-09-29,343.87,345.67,342.88,343.77,342.9847,4116581
2021-09-30,345.08,345.44,338.11,338.29,337.5173,7926020
2021-10-01,340.03,344.78,337.68,343.18,342.3961,6219801
2021-10-04,342.61,344.03,338.07,340.01,339.2333,7037745
2021-10-05,341.13,344.87,340.47,343.13,342.3462,3826144
2021-10-06,340.48,344.2999,338.47,344.12,343.3339,6276337
2021-10-07,346.87,349.7699,346.77,347.63,346.8359,5310444
2021-10-08,347.92,348.46,346.58,347.53,346.7361,3658277
2021-10-11,347.66,349.56,344.86,344.98,344.192,4098427
2021-10-12,345.49,346.0999,343.19,343.78,342.9947,5100277
2021-10-13,343.9499,344.56,341.12,343.89,343.1045,4194168
2021-10-14,347.21,349.22,346.6,349.13,348.3325,4482065
2021-10-15,351.65,353.08,350.9188,352.85,352.1617,4206750
2021-10-18,351.34,353.13,350.245,352.5,351.8124,3310629
2021-10-19,353.67,354.51,352.8,354.46,353.7686,2380866
2021-10-20,354.51,356.58,354.37,356.03,355.3355,2873781
2021-10-21,355.39,356.09,354.3,355.96,355.2657,2243827
2021-10-22,355.97,357.62,355.32,356.74,356.0441,3872278
2021-10-25,357.36,357.8916,356.29,357.55,356.8526,2518214
2021-10-26,358.56,358.93,357.37,357.5,356.8026,3182174
2021-10-27,358.09,358.3,354.96,354.98,354.2876,3542133
2021-10-28,355.75,357.38,355.75,357.3,356.603,2490467
2021-10-29,356.65,358.52,356.391,358.23,357.5312,2979629
2021-11-01,359.45,360.05,357.98,359.13,358.4295,2548432
2021-11-02,359.41,360.88,358.79,360.57,359.8667,2628974
2021-11-03,359.91,361.84,358.9,361.56,360.8547,3557431
2021-11-04,361.34,361.65,359.87,361.35,360.6451,3870860
2021-11-05,362.96,364.94,361.89,363.3,362.5913,4489006
2021-11-08,365.06,365.64,363.33,364.32,363.6093,3055958
2021-11-09,364.19,364.3,361.82,363.28,362.5714,3680600
2021-11-10,362.52,363.73,360.2801,361.07,360.3657,3529017
2021-11-11,361.19,361.26,359.38,359.46,358.7588,2461200
2021-11-12,360.69,361.74,359.58,361.28,360.5753,3099789
2021-11-15,362.6,362.73,360.67,361.24,360.5353,2555000
2021-11-16,361.82,363.54,361.7,361.93,361.224,2728600
2021-11-17,361.44,361.58,359.54,359.85,359.148,2976000
2021-11-18,360.03,360.05,357.13,359.35,358.649,3438100
2021-11-19,357.89,357.89,355.38,355.91,355.91,3542200
14065
