Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-23,1749.6,1753.9,1717.72,1734.86,1734.86,2161975
2020-11-24,1730.5,1771.6,1727.69,1768.88,1768.88,1579703
2020-11-25,1772.89,1778.54,1756.54,1771.43,1771.43,1046122
2020-11-27,1773.09,1804,1772.44,1793.19,1793.19,884916
2020-11-30,1781.184,1788.065,1755,1760.74,1760.74,1823836
2020-12-01,1774.37,1824.83,1769.37,1798.1,1798.1,1739045
2020-12-02,1798.1,1835.65,1789.473,1827.95,1827.95,1222032
2020-12-03,1824.01,1847.2,1822.65,1826.77,1826.77,1227298
2020-12-04,1824.52,1833.16,1816.99,1827.99,1827.99,1378166
2020-12-07,1819,1832.37,1805.78,1819.48,1819.48,1320946
2020-12-08,1810.1,1821.9,1796.205,1818.55,1818.55,1096319
2020-12-09,1812.01,1834.27,1767.81,1784.13,1784.13,1507558
2020-12-10,1769.8,1781.31,1740.32,1775.33,1775.33,1362848
2020-12-11,1763.06,1784.45,1760,1781.77,1781.77,1220651
2020-12-14,1775,1797.39,1757.215,1760.06,1760.06,1600173
2020-12-15,1764.42,1771.42,1749.95,1767.77,1767.77,1482261
2020-12-16,1772.88,1773,1756.08,1763,1763,1513543
2020-12-17,1768.51,1771.784,1738.66,1747.9,1747.9,1624744
2020-12-18,1754.18,1755.11,1720.22,1731.01,1731.01,4016353
2020-12-21,1713.51,1740.85,1699,1739.37,1739.37,1828378
2020-12-22,1734.43,1737.405,1712.575,1723.5,1723.5,938346
2020-12-23,1728.11,1747.99,1725.04,1732.38,1732.38,1033917
2020-12-24,1735,1746,1729.11,1738.85,1738.85,346753
2020-12-28,1751.635,1790.728,1746.335,1776.09,1776.09,1393033
2020-12-29,1787.79,1792.44,1756.09,1758.72,1758.72,1299395
2020-12-30,1762.01,1765.095,1725.6,1739.52,1739.52,1306130
2020-12-31,1735.42,1758.93,1735.42,1751.88,1751.88,1012240
2021-01-04,1757.54,1760.65,1707.85,1728.24,1728.24,1901855
2021-01-05,1725,1747.67,1718.015,1740.92,1740.92,1145347
2021-01-06,1702.63,1748,1699,1735.29,1735.29,2602114
2021-01-07,1740.06,1788.4,1737.05,1787.25,1787.25,2265022
2021-01-08,1787.98,1809.84,1773.535,1807.21,1807.21,2051002
2021-01-11,1786.07,1794.315,1760.52,1766.72,1766.72,1209735
2021-01-12,1753.92,1778.04,1725.31,1746.55,1746.55,1357691
2021-01-13,1738.58,1765.035,1738.01,1754.4,1754.4,1094131
2021-01-14,1753.62,1775.01,1733.4,1740.18,1740.18,1179477
2021-01-15,1738.19,1756,1721.55,1736.19,1736.19,1342170
2021-01-19,1752.25,1809.275,1741.46,1790.86,1790.86,1734614
2021-01-20,1831.46,1903.71,1825.53,1886.9,1886.9,2490258
2021-01-21,1898,1934.86,1887.11,1891.25,1891.25,2063932
2021-01-22,1895.68,1910.95,1881.76,1901.05,1901.05,1272232
2021-01-25,1920.67,1929.58,1867.53,1899.4,1899.4,1927320
2021-01-26,1888.84,1925,1884.245,1917.24,1917.24,1313139
2021-01-27,1882.53,1890,1809,1830.79,1830.79,2748292
2021-01-28,1843.94,1898.83,1842.64,1863.11,1863.11,1773138
2021-01-29,1846.17,1857.28,1810.2,1835.74,1835.74,1612552
2021-02-01,1853.57,1922.392,1850.93,1901.35,1901.35,1602182
2021-02-02,1922.56,1955.76,1914.49,1927.51,1927.51,2273723
2021-02-03,2073,2116.5,2018.38,2070.07,2070.07,4118170
2021-02-04,2068.89,2078.55,2042.59,2062.37,2062.37,1852329
2021-02-05,2070,2102.51,2059.33,2098,2098,1535135
2021-02-08,2105.91,2123.547,2072,2092.91,2092.91,1242411
2021-02-09,2078.54,2105.13,2078.54,2083.51,2083.51,889850
2021-02-10,2094.21,2108.37,2063.09,2095.38,2095.38,1135464
2021-02-11,2099.51,2102.03,2077.32,2095.89,2095.89,945650
2021-02-12,2090.25,2108.82,2083.13,2104.11,2104.11,855865
2021-02-16,2104.36,2152.68,2104.36,2121.9,2121.9,1133838
2021-02-17,2100,2133.66,2098.92,2128.31,2128.31,1070941
2021-02-18,2110.39,2132.735,2103.71,2117.2,2117.2,1121855
2021-02-19,2119.27,2130.53,2097.41,2101.14,2101.14,1457612
2021-02-22,2067,2091.42,2062.14,2064.88,2064.88,1367533
2021-02-23,2025.01,2082.01,2002.02,2070.86,2070.86,1667377
2021-02-24,2041.83,2100.78,2038.13,2095.17,2095.17,1248349
2021-02-25,2067.45,2094.88,2021.29,2031.36,2031.36,1828432
2021-02-26,2050.52,2071.01,2016.06,2036.86,2036.86,2083801
2021-03-01,2056.52,2086.52,2046.1,2081.51,2081.51,1405115
2021-03-02,2076.19,2104.37,2071.26,2075.84,2075.84,1134595
2021-03-03,2067.21,2088.518,2010,2026.71,2026.71,1484181
2021-03-04,2023.37,2089.24,2020.27,2049.09,2049.09,2118006
