Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-19,335.49,339.16,331.42,333.88,332.2502,2718742
2020-11-20,334.78,335.155,323,323,321.4233,4144864
2020-11-23,326.21,333.2,324.37,332.04,330.4192,3220817
2020-11-24,336.91,344.11,334.115,342.39,340.7187,3530834
2020-11-25,343.71,343.71,339.3409,341.32,339.6539,2535198
2020-11-27,342.83,342.88,337.61,339.07,337.4149,1402271
2020-11-30,337.66,338.045,330.18,336.51,334.8674,4276207
2020-12-01,339.67,342.6299,337.62,338.88,337.2258,4210598
2020-12-02,336.78,340.24,334,340.22,338.5593,2972421
2020-12-03,338.56,342.315,334.12,335.14,333.5041,3080295
2020-12-04,336.92,344.3548,335.8,344.35,342.6691,4323636
2020-12-07,343.36,347.99,340.05,340.96,339.2957,2389808
2020-12-08,338.28,342.83,336.7,340.79,339.1265,2224649
2020-12-09,340.41,341.71,334.69,336.85,335.2057,2962586
2020-12-10,334.65,335.535,331.19,331.52,329.9017,3506826
2020-12-11,327.09,331.565,325.53,327.42,325.8217,4178111
2020-12-14,329,338.75,327.59,331.15,329.5335,3552615
2020-12-15,333.16,335.217,327.62,333.65,332.0213,3106678
2020-12-16,333.96,334,329.25,332.1,330.4789,3393284
2020-12-17,334.54,338.33,333.4,336.9,335.2555,2725483
2020-12-18,336.51,341.6,334.35,340.33,338.6687,8443730
2020-12-21,333.21,336.15,327.24,334.37,332.7378,3642516
2020-12-22,334.16,335.22,331.6,332.24,330.6182,2404432
2020-12-23,334.13,335.21,329.03,329.23,327.6229,2760577
2020-12-24,330.65,336.37,330.35,336,334.3599,1308938
2020-12-28,337.86,345.59,336.87,344.47,342.7885,3449092
2020-12-29,347.78,348.75,344.76,346.66,344.9678,2823004
2020-12-30,348.68,357.82,347.21,355.55,353.8144,4200633
2020-12-31,355.03,359.41,353.25,356.94,355.1976,2881763
2021-01-04,358,358.125,347.361,351.49,349.7742,4638353
2021-01-05,348.8,353,345.4371,347.42,345.7241,2990661
2021-01-06,350.42,354.03,344.56,347.55,345.8535,3967023
2021-01-07,348.95,352.37,348.38,349.86,348.5935,3100154
2021-01-08,351.36,354.98,349.49,353.85,352.5691,3371500
2021-01-11,352.11,353.42,347.79,348.2,346.9395,2403454
2021-01-12,347.08,348,336.03,342.92,341.6786,4858101
2021-01-13,349.61,349.7593,344.23,346.33,345.0763,4126032
2021-01-14,348.69,349.58,326.69,326.93,325.7465,8712154
2021-01-15,327.54,329.69,321.88,323.26,322.0898,7911519
2021-01-19,326.99,329.13,324.66,325.94,324.7601,4625193
2021-01-20,329.99,337.93,329.13,334.91,333.6976,5081012
2021-01-21,334.41,336.86,331.75,334.44,333.2293,3487267
2021-01-22,330.39,335.15,328.91,328.99,327.7991,3846597
2021-01-25,327.51,329.95,317.2301,329.19,327.9984,6257704
2021-01-26,330,330.54,325.82,327.7,326.5137,3503147
2021-01-27,320.36,323,313.12,315.49,314.3479,7449381
2021-01-28,327.09,329,321.975,324.28,323.1061,6906363
2021-01-29,323.8,325.68,312.38,316.29,315.145,7627177
2021-02-01,320.91,323.52,317.58,321.56,320.396,4930713
2021-02-02,323.45,336.16,323.45,334.37,333.1596,5686040
2021-02-03,333.84,336,331.07,332.82,331.6152,4036757
2021-02-04,335.37,343.25,335.06,340.83,339.5962,4537693
2021-02-05,342.52,344.33,337.39,338.75,337.5237,2964784
2021-02-08,340,341.49,335.53,337.03,335.81,2652788
2021-02-09,335.95,336.22,330,333.44,332.233,2993284
2021-02-10,335,335.47,332.25,334.21,333.0002,4246298
2021-02-11,345.5,349.59,340.25,342.87,341.6288,5110767
2021-02-12,341.33,343.12,336.7,341,339.7656,3025276
2021-02-16,343.2,344,338.07,341.21,339.9748,2917059
2021-02-17,339.04,340.3822,335.84,337.33,336.1089,2267080
2021-02-18,334.49,339.95,332.835,338.46,337.2348,2394934
2021-02-19,338.44,338.995,331,333.17,331.9639,4095761
2021-02-22,330,344.12,328.77,340.66,339.4268,4940348
2021-02-23,340.65,354.28,338.41,350.42,349.1515,6326937
2021-02-24,352.87,368.79,350.57,367.32,365.9903,7467407
2021-02-25,364.56,367.32,352.21,354.57,353.2865,5207519
2021-02-26,357.08,359.39,347.12,353.85,352.5691,4868472
2021-03-01,360.68,366.4459,359.18,362.9,361.5863,4383130
2021-03-02,362,366.61,359.34,362.82,361.5066,3559271
2021-03-03,360,365.43,355.45,360.25,358.9459,3692276
2021-03-04,360.1,361.63,344.676,349.5,348.2348,4571998
2021-03-05,354.92,361.785,346.415,360.88,359.5736,4643227
2021-03-08,362.4,382.46,361.79,371.33,369.9858,7213336
2021-03-09,375,387.32,372.7229,376.52,375.157,5832779
2021-03-10,376.6,384,373,381.7,380.3183,4509457
2021-03-11,385.5,389.5,382.6,384.38,382.9886,3729655
2021-03-12,381.14,383.9332,379.235,382.71,381.3246,2467524
2021-03-15,383.31,387.86,378.64,381.76,380.3781,4216398
2021-03-16,382.7,385.28,378.685,382.38,380.9958,3445088
2021-03-17,381.85,385.1,375.87,378.68,377.3092,3240916
2021-03-18,375.03,375.475,365.04,367,365.6715,7205724
2021-03-19,364.8,366.28,350.1401,356.51,355.2195,12224320
2021-03-22,355.94,361.65,354,358.4,357.1026,4140708
2021-03-23,359.3,359.3,353.5106,355.27,353.9839,3756440
2021-03-24,357.08,364.99,356,359.65,358.3481,3549982
2021-03-25,358.01,359.47,354.15,358.36,357.0628,2961996
2021-03-26,359.93,366.61,357.26,366.14,364.8146,2741425
2021-03-29,364.24,365.35,358.61,362.91,361.5963,4055044
2021-03-30,360.78,364.57,357.1,358.2,356.9033,2885757
2021-03-31,359.59,361.5,355.78,356.05,354.7611,4372765
2021-04-01,357.04,363.4,355.24,363.3,361.9849,3701843
2021-04-05,366.8,370.52,364.34,368.32,366.9867,2180282
2021-04-06,364.9,370.75,362.5,369.57,368.2322,2662240
2021-04-07,369.14,373.96,369,371.08,369.7367,2958447
2021-04-08,373,379.31,372.75,377.74,376.8194,3528391
2021-04-09,376.08,380.35,374.44,380.08,379.1537,2429302
2021-04-12,378.08,380.94,376.18,379.84,378.9143,2896632
