Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-25,215.11,215.29,212.46,213.87,212.0922,21012891
2020-11-27,214.85,216.27,214.04,215.23,213.4409,14512210
2020-11-30,214.1,214.76,210.835,214.07,212.2905,33064750
2020-12-01,214.51,217.32,213.35,216.21,214.4127,30931320
2020-12-02,214.88,215.47,212.8,215.37,213.5797,23724510
2020-12-03,214.61,216.3757,213.65,214.24,212.4591,25120920
2020-12-04,214.22,215.38,213.18,214.36,212.5781,24666039
2020-12-07,214.37,215.54,212.99,214.29,212.5087,24620000
2020-12-08,213.97,216.95,212.89,216.01,214.2144,23284090
2020-12-09,215.16,215.225,211.214,211.8,210.0394,32440600
2020-12-10,211.77,213.08,210.36,210.52,208.77,26467020
2020-12-11,210.05,213.32,209.11,213.26,211.4872,30979439
2020-12-14,213.1,216.21,212.88,214.2,212.4194,28798381
2020-12-15,215.165,215.42,212.24,214.13,212.35,27018109
2020-12-16,214.75,220.11,214.72,219.28,217.4572,35023246
2020-12-17,219.87,220.89,217.92,219.42,217.596,32515779
2020-12-18,218.59,219.69,216.02,218.59,216.7729,63354922
2020-12-21,217.55,224,217.2801,222.59,220.7397,37181887
2020-12-22,222.69,225.63,221.85,223.94,222.0785,22643400
2020-12-23,223.11,223.5589,220.8,221.02,219.1827,18699641
2020-12-24,221.42,223.61,221.2,222.75,220.8984,10550570
2020-12-28,224.45,226.03,223.02,224.96,223.09,17933500
2020-12-29,226.31,227.18,223.58,224.15,222.2867,17403211
2020-12-30,225.23,225.63,221.47,221.68,219.8373,20272340
2020-12-31,221.7,223,219.68,222.42,220.5711,20942131
2021-01-04,222.53,223,214.81,217.69,215.8804,37130141
2021-01-05,217.26,218.52,215.7,217.9,216.0887,23822949
2021-01-06,212.17,216.4899,211.94,212.25,210.4856,35930648
2021-01-07,214.04,219.34,213.71,218.29,216.4754,27694480
2021-01-08,218.68,220.58,217.0261,219.62,217.7944,22956211
2021-01-11,218.47,218.91,216.73,217.49,215.6821,23047029
2021-01-12,216.5,217.1,213.3202,214.93,213.1434,23249340
2021-01-13,214.02,216.76,213.9266,216.34,214.5416,20087080
2021-01-14,215.91,217.46,212.74,213.02,211.2492,29346740
2021-01-15,213.52,214.51,212.03,212.65,210.8823,31746510
2021-01-19,213.75,216.98,212.63,216.44,214.6408,30480859
2021-01-20,217.7,225.79,217.2908,224.34,222.4751,37777262
2021-01-21,224.7,226.3,222.42,224.97,223.0999,30749551
2021-01-22,227.08,230.07,225.8,225.95,224.0718,30172660
2021-01-25,229.12,229.78,224.22,229.53,227.622,33152102
2021-01-26,231.86,234.18,230.08,232.33,230.3987,49169602
2021-01-27,238,240.44,230.14,232.9,230.964,69870641
2021-01-28,235.61,242.64,235.09,238.93,236.9439,49111160
2021-01-29,235.99,238.02,231.35,231.96,230.0318,42503141
2021-02-01,235.06,242.5,232.43,239.65,237.6579,33314191
2021-02-02,241.3,242.31,238.69,239.51,237.519,25916340
2021-02-03,239.57,245.09,239.26,243,240.98,27158100
