Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-25,66.74,70,66.72,69.99,69.99,5167200
2020-11-27,71,74.93,70.96,74.76,74.76,5107800
2020-11-30,74.15,76.77,70.1,75.08,75.08,17157600
2020-12-01,76.8,76.8,71.17,72.29,72.29,5452600
2020-12-02,71.64,71.99,68.83,71.9,71.9,3343400
2020-12-03,72.97,75.19,72.33,74.13,74.13,3391200
2020-12-04,74.47,77.84,74.04,77.35,77.35,4043800
2020-12-07,77.37,82.52,77.31,81.96,81.96,4541300
2020-12-08,82.16,84.36,80.9,83.55,83.55,4894800
2020-12-09,82.01,82.36,75.73,77.31,77.31,6031200
2020-12-10,77,86.21,76.37,84.05,84.05,8571600
2020-12-11,83.42,83.42,78.81,82.41,82.41,5866000
2020-12-14,83.26,84.2,80.97,81.43,81.43,4149600
2020-12-15,81.89,83.37,80.421,81.46,81.46,5089100
2020-12-16,82,82,79.684,81.81,81.81,4110400
2020-12-17,82.15,82.49,79.61,81.82,81.82,4915100
2020-12-18,82,84.2,81.05,83.81,83.81,9964577
2020-12-21,85.33,87.2,82.96,86.21,86.21,6874700
2020-12-22,87,88.77,84.44,86.56,86.56,5595400
2020-12-23,86.55,86.55,81.25,81.9,81.9,4847500
2020-12-24,83.96,87.3,82.634,84.98,84.98,2892200
2020-12-28,86.73,86.73,77.49,77.5,77.5,7276126
2020-12-29,79.14,80.1199,75.94,76.4,76.4,6518143
2020-12-30,77.21,78.35,74.51,77.53,77.53,5049079
2020-12-31,77.45,77.79,75.04,75.99,75.99,3444312
2021-01-04,77.56,77.7,72.22,74.59,74.59,4439620
2021-01-05,73.13,75.9,73.0101,75.14,75.14,2864467
2021-01-06,73,75.23,71.01,73.27,73.27,4467832
2021-01-07,74.4,79.19,74.31,79.02,79.02,6191891
2021-01-08,80.16,81.94,77.55,79.15,79.15,4577874
2021-01-11,78,79.89,76.21,76.5,76.5,3381517
2021-01-12,77,78.22,75.69,77.82,77.82,2964710
2021-01-13,78.58,82.7,77.98,82.48,82.48,5643971
2021-01-14,83.32,84.78,79.72,80.51,80.51,4372896
2021-01-15,80.86,82.47,77.19,77.85,77.85,3382181
2021-01-19,79.35,81.67,79.16,81.44,81.44,3019717
2021-01-20,83,84.02,81.17,83.51,83.51,3509779
2021-01-21,84.15,84.99,82.02,83.02,83.02,2987182
2021-01-22,82.5,83.8433,81.81,83.47,83.47,2779550
2021-01-25,85,87.15,77.6,82.78,82.78,5263641
2021-01-26,82.74,82.75,76.91,77.03,77.03,4099416
2021-01-27,75.16,77.66,71.5,74.57,74.57,5028600
2021-01-28,75.1,79.72,74.35,78.8,78.8,3855700
2021-01-29,78.03,78.5,74.79,76.66,76.66,3583900
2021-02-01,77.75,80.56,76.55,80.48,80.48,2645400
2021-02-02,81.82,83.74,80.04,83.57,83.57,3292800
2021-02-03,84.38,84.8,82.07,82.34,82.34,2622100
2021-02-04,82.56,83.97,81.75,83.04,83.04,1833200
2021-02-05,83.5,85.94,82.93,85.56,85.56,3247700
2021-02-08,87,91.95,86.349,91.13,91.13,5880200
2021-02-09,91.09,94.82,90.222,93.46,93.46,4914200
2021-02-10,94.77,95.77,87.33,90.91,90.91,4522500
2021-02-11,92.77,93,89.34,91.28,91.28,5288500
2021-02-12,86.32,87.57,83.33,85.95,85.95,10636100
2021-02-16,84.81,84.925,81.02,82.07,82.07,7328000
2021-02-17,82.62,87.06,80.262,84.4,84.4,5786000
2021-02-18,83.01,85.25,81.6,82.79,82.79,5195900
2021-02-19,84,85.82,81.63,82.17,82.17,4905600
2021-02-22,81.49,82.67,78.28,78.38,78.38,4300800
2021-02-23,74.5,77.37,70.704,77.28,77.28,6734000
2021-02-24,75.99,76.61,73.15,76.43,76.43,4900400
2021-02-25,75.54,76.23,70.565,71.72,71.72,4565100
2021-02-26,72.4,74.29,70.86,73.97,73.97,7740700
2021-03-01,75.41,77.17,74.43,76.9,76.9,3244400
2021-03-02,77.2,77.49,74.48,75.5,75.5,5202800
2021-03-03,74.9,75.58,70.06,70.83,70.83,3531100
2021-03-04,70,72.15,64.75,67.3,67.3,7385000
2021-03-05,67.15,67.39,60.96,67.03,67.03,9852400
2021-03-08,65.69,68.05,61.77,61.77,61.77,6711100
2021-03-09,65.78,69.73,63.854,69.43,69.43,6083200
2021-03-10,71.22,72.34,68.97,70.49,70.49,6059400
2021-03-11,73.56,76.78,72.38,76.61,76.61,4743500
2021-03-12,73.77,76.34,72.04,76.3,76.3,3226900
2021-03-15,76,76.15,73.83,75.15,75.15,2622200
2021-03-16,75.64,77.04,72.8,74.04,74.04,2936600
2021-03-17,71.95,75.75,70.76,74.82,74.82,2625400
2021-03-18,73.82,73.895,69.327,70.42,70.42,3725000
2021-03-19,71.09,72.02,69.58,71.69,71.69,6369000
2021-03-22,72,74.05,71.37,72.76,72.76,1935400
2021-03-23,73.33,74.065,71.96,72.37,72.37,2121200
2021-03-24,75,75,67.8,67.83,67.83,3828800
2021-03-25,65.37,67.42,64.02,66.65,66.65,4097100
2021-03-26,67.82,68.92,64.75,67.57,67.57,2115500
2021-03-29,67.18,67.915,64.91,65.63,65.63,2276600
2021-03-30,64.77,66.241,63.25,65.8,65.8,3499700
2021-03-31,67.2,71.43,67.02,70.26,70.26,2872600
2021-04-01,73.17,74.22,71.54,71.79,71.79,2020500
2021-04-05,72.58,72.99,70.04,71.17,71.17,2299100
2021-04-06,70.8,73.73,70.8,72.21,72.21,1845500
2021-04-07,72.07,72.12,69.51,70.05,70.05,5729900
2021-04-08,71.23,73.36,70.66,72.36,72.36,5341200
2021-04-09,72.51,72.67,69.9,70.88,70.88,3471100
2021-04-12,69.75,70.69,68.31,69.73,69.73,2268200
2021-04-13,70.39,79.81,69.84,77.61,77.61,13151700
2021-04-14,77.9,77.97,74.4,74.57,74.57,4760600
2021-04-15,75.7,78.83,75.6,78.09,78.09,4165600
2021-04-16,78.16,79.02,73.43,74.24,74.24,3590200
2021-04-19,73.8,75.49,71.71,73.3,73.3,2494200
2021-04-20,74.11,74.37,70.9,72.39,72.39,3419900
2021-04-21,71.18,74,70.51,73.78,73.78,1898800
2021-04-22,74.92,78.015,74.51,75.43,75.43,4023800
2021-04-23,77.76,83.47,76.52,82.72,82.72,7106200
2021-04-26,81.5,85,80.89,84.76,84.76,5258600
2021-04-27,84.83,88.04,84.77,87.01,87.01,5852100
2021-04-28,86.13,86.57,83.85,86.16,86.16,3484500
2021-04-29,87,87,83.365,84.89,84.89,3797200
2021-04-30,84.09,86.16,82.69,84.74,84.74,4159400
2021-05-03,84.82,85.38,82.2,84.06,84.06,4926500
2021-05-04,81.49,82.72,79.03,80.19,80.19,5738700
2021-05-05,81.04,81.67,77.5,79.02,79.02,4467000
2021-05-06,73.9,75.564,67.43,69.07,69.07,10109600
2021-05-07,74.93,78.22,71.14,71.62,71.62,7076600
2021-05-10,69.9,70.55,66.75,68.87,68.87,6297070
2021-05-11,64.95,71.74,64.84,71.29,71.29,5620510
2021-05-12,70.86,71.45,68.165,69.69,69.69,3186500
2021-05-13,70.05,71.43,65.62,66.65,66.65,3311800
2021-05-14,67.22,72.64,67.22,72.3,72.3,2806600
2021-05-17,69,71.59,68.9,70.96,70.96,2702800
2021-05-18,72.65,73.92,71.59,72.43,72.43,3505100
2021-05-19,68.665,70.83,68.16,70.79,70.79,4239200
2021-05-20,71.49,74.74,71,74.5,74.5,3931100
2021-05-21,75.12,75.79,73.39,74.8,74.8,2850200
2021-05-24,75.85,79.409,75.18,78.88,78.88,3006100
2021-05-25,79.5,80.73,78.94,79.59,79.59,3323200
2021-05-26,80,81.07,79.41,79.88,79.88,2772400
2021-05-27,80.35,83,78.1,82.81,82.81,6704800
2021-05-28,82.42,83.8,81.96,82.06,82.06,2400100
2021-06-01,82.33,83.36,80.32,83.07,83.07,2976100
2021-06-02,83.13,84.12,82.5,83.86,83.86,1983300
2021-06-03,83.24,83.38,80.45,81.92,81.92,1588300
2021-06-04,82.81,84.1,82.724,83.08,83.08,1491200
2021-06-07,83.07,86.15,82.2,85.84,85.84,3186200
2021-06-08,86.84,90.84,86.84,89.78,89.78,4686800
2021-06-09,89.78,90.8,87.71,90.13,90.13,2782900
2021-06-10,90,93.645,88.81,93.47,93.47,3369100
2021-06-11,92.94,94.4,92.21,94,94,2710500
2021-06-14,94.7,97.325,93.67,95.64,95.64,4320700
2021-06-15,94.33,95.84,92.82,93.4,93.4,3112300
2021-06-16,92.71,95.21,92,94.76,94.76,3671700
2021-06-17,94.41,101.29,94,100.69,100.69,6651300
2021-06-18,102.3,102.446,98.8,101.68,101.68,7300700
2021-06-21,100.98,101.85,96.61,101.08,101.08,4245000
2021-06-22,101,103.24,100.66,102.57,102.57,4082600
2021-06-23,102.79,104.17,102.13,103.74,103.74,3066600
2021-06-24,104.74,109.98,103.87,104.57,104.57,5234200
2021-06-25,105,106.22,102.53,104.84,104.84,10472500
2021-06-28,105.78,106.635,104.12,106.04,106.04,2401000
2021-06-29,105.33,108,104.85,107.6,107.6,1853700
2021-06-30,107.04,107.45,105.76,105.84,105.84,2286400
2021-07-01,106,106.47,103.28,104.39,104.39,2519900
2021-07-02,105.85,107.6,105.3,106.02,106.02,1455200
2021-07-06,106.41,109.2,106.02,108.93,108.93,3269200
2021-07-07,109.92,110.944,106.8,108.35,108.35,2726300
