Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-23,183,185,178.1528,182.92,182.92,3122376
2020-11-24,179.23,181.25,174.3019,176.92,176.92,3308733
2020-11-25,176.35,178.72,173.7,177.7,177.7,2155827
2020-11-27,180.5,182.75,178.22,182.55,182.55,1895778
2020-11-30,183,183.8,173.91,180.37,180.37,2289641
2020-12-01,183.1,183.5,176.59,177.38,177.38,2325720
2020-12-02,174.99,184.93,174.5,183.88,183.88,4206607
2020-12-03,185.06,192.36,182.5803,183.53,183.53,5083966
2020-12-04,190.97,203.4225,186.1,198.78,198.78,11898786
2020-12-07,200,200,195.4,198.57,198.57,2951569
2020-12-08,199,207.515,197.6,205.87,205.87,5915515
2020-12-09,208.55,212.33,200.4,202.68,202.68,3627568
2020-12-10,194.92,201.7,194.04,198.95,198.95,3969018
2020-12-11,194.3,195.9,190.25,193.38,193.38,6945671
2020-12-14,195,195.68,189.06,190.26,190.26,2889620
2020-12-15,191.5,191.7499,186,188.09,188.09,3005247
2020-12-16,189.67,196.44,188.375,192.99,192.99,3706806
2020-12-17,195.46,198.445,194.03,198.05,198.05,2842472
2020-12-18,198.96,200.85,196.6,200.35,200.35,2633185
2020-12-21,197,201.5,192.85,196.9,196.9,3157735
2020-12-22,198.5,202.4123,196.5125,200.65,200.65,2245840
2020-12-23,199.74,200.335,194.36,195.07,195.07,1878640
2020-12-24,194.54,197.3,191.8,193.18,193.18,1132200
2020-12-28,193.25,194.5,178.8,180.28,180.28,5843139
2020-12-29,185.09,190.87,183.31,188.35,188.35,3111946
2020-12-30,190,197.5933,186.6796,196.75,196.75,2526256
2020-12-31,196.74,199.12,194.5286,199.05,199.05,3775330
2021-01-04,200.75,203.11,191.87,196.06,196.06,4332655
2021-01-05,198.1,204.09,195.09,202.93,202.93,3297520
2021-01-06,201.58,204.12,193.91,194.37,194.37,3224764
2021-01-07,198.02,205.34,197.89,203.94,203.94,3392005
2021-01-08,205.94,213.6,202.43,210.16,210.16,4604433
2021-01-11,209,213.35,206.89,209.06,209.06,2553898
2021-01-12,214.38,218.57,212.4,218.48,218.48,5474214
2021-01-13,223.61,229.98,220.88,226.78,226.78,5065769
2021-01-14,230.88,237.27,227.647,229.66,229.66,3890519
2021-01-15,230.88,233.48,222.08,226.05,226.05,2346791
2021-01-19,232.45,234.5,226.05,231.64,231.64,2515838
2021-01-20,238.2,238.42,232.08,233.15,233.15,2152465
2021-01-21,233.38,237,232,233.96,233.96,1647981
2021-01-22,232.61,236.79,230.2501,236.49,236.49,2043125
2021-01-25,240,240.44,226.14,228.68,228.68,4295183
2021-01-26,230,232.33,215.81,217.22,217.22,3869562
2021-01-27,212.265,223.1728,203.06,205.78,205.78,6372982
2021-01-28,210,228.41,209.3,219.78,219.78,5835048
2021-01-29,218.06,221.61,211.25,216.71,216.71,3419572
2021-02-01,222.97,236.98,222.97,233.53,233.53,4397109
2021-02-02,235.92,241.78,231,238.54,238.54,3377945
2021-02-03,244.77,246.33,239.7042,243.54,243.54,3816463
2021-02-04,244.29,245.71,237.32,243.96,243.96,2435698
2021-02-05,244,258.64,242.3937,256.76,256.76,3637720
2021-02-08,258.69,269.14,258.31,263.46,263.46,3687350
2021-02-09,266.1,278.3499,266.01,274.66,274.66,3978414
2021-02-10,277.09,281.77,265.2,270.97,270.97,4306572
2021-02-11,273,277.5,268.265,274.63,274.63,2404797
2021-02-12,270.37,277.38,268.78,276.12,276.12,2604675
2021-02-16,281.92,285,275.25,278.14,278.14,3052882
2021-02-17,275.11,275.96,264.51,268.22,268.22,3655770
2021-02-18,263.87,268.13,255.15,267.5,267.5,3309424
2021-02-19,271.83,280.64,270.88,280,280,3561234
2021-02-22,272.77,273.01,250.93,252.96,252.96,6113959
2021-02-23,240.36,255.9499,229.27,251.81,251.81,7832162
2021-02-24,253.11,254,240.64,248.04,248.04,4219178
2021-02-25,248,250.8,232.0662,235.35,235.35,4754732
2021-02-26,235.91,242.85,225,235.69,235.69,4502564
2021-03-01,250.75,252.47,244.71,248.51,248.51,4083036
2021-03-02,270,276.02,246.25,250,250,7843057
2021-03-03,259.36,260.41,246.5,251.28,251.28,5080426
2021-03-04,239.62,246.6741,218.44,229.68,229.68,11574604
2021-03-05,228.67,231.29,209.2301,229.76,229.76,9360519
2021-03-08,227.21,231.6,204.83,206.05,206.05,8293290
2021-03-09,222.99,229.99,216.09,228.47,228.47,5949896
2021-03-10,226,232.9,214.9102,217.21,217.21,6311391
2021-03-11,230.55,239.5,226,236.79,236.79,6173550
2021-03-12,230,235.17,222.08,234.99,234.99,4015374
2021-03-15,227.5,231.45,223.5,231.34,231.34,3418867
2021-03-16,234.68,242.38,228.7901,233.46,233.46,3751404
2021-03-17,226.9,229.7,214.5,224.35,224.35,6356796
2021-03-18,216.45,218.98,209.565,211.26,211.26,5062882
2021-03-19,211.74,218.46,209,214.9,214.9,3432953
2021-03-22,218.39,222.46,215.03,217.84,217.84,3131974
2021-03-23,220,223.25,214.6,216.64,216.64,3149430
2021-03-24,218,218.01,196.702,197.5,197.5,8021668
2021-03-25,190,204.63,189.61,202.61,202.61,6522038
2021-03-26,205.2,213.2,201.61,209.24,209.24,5269972
2021-03-29,208.73,210,199.87,204.25,204.25,4326348
2021-03-30,203,217.5,199.78,214.35,214.35,5073205
2021-03-31,218,228.08,217.42,223.23,223.23,4872453
2021-04-01,228.5,240,228.21,236.45,236.45,4868512
2021-04-05,239.51,240.49,230.53,234.9,234.9,2373655
2021-04-06,237,250.325,235.2,247.03,247.03,4752549
2021-04-07,243,249.76,242.02,245.22,245.22,3714231
2021-04-08,250,258.6,249.23,253.11,253.11,3912885
2021-04-09,253.03,253.325,248.65,250.93,250.93,2657633
2021-04-12,247.81,250.35,240.82,245.34,245.34,2915331
2021-04-13,245,250.5,239.4,244.2,244.2,2186381
2021-04-14,247.39,251.93,242.88,245.56,245.56,2776608
2021-04-15,248.23,254.37,245.13,250.1,250.1,3953141
2021-04-16,254.18,254.26,247.1788,252.42,252.42,1925624
2021-04-19,249.29,261.55,247.55,250,250,4399759
2021-04-20,252.9,252.9,232.25,236.44,236.44,3748950
2021-04-21,230.43,242.9,228.22,241.09,241.09,2212265
2021-04-22,245,251.83,243.24,246.49,246.49,2989041
2021-04-23,250,259.205,249.29,258.59,258.59,2704924
2021-04-26,259.85,272.24,258,272.01,272.01,3885669
2021-04-27,272,278,267.12,267.14,267.14,2829161
2021-04-28,268.53,270.47,263.64,265.67,265.67,1841784
2021-04-29,269.98,270,255.23,256.83,256.83,2448670
2021-04-30,255.01,259.25,252.1,252.54,252.54,2011542
2021-05-03,256,259.71,252.72,254.62,254.62,2141464
2021-05-04,248.99,250.66,236.5,243.48,243.48,4445149
2021-05-05,245.72,250.82,242.68,244.9,244.9,2771147
2021-05-06,243,245.38,234.2,238.25,238.25,4643753
2021-05-07,242.99,248.79,238.02,240.28,240.28,2281404
2021-05-10,234.99,234.99,220.665,222.55,222.55,6593106
2021-05-11,212.69,229.8115,212.55,228.77,228.77,5050581
2021-05-12,223.38,224.86,213.37,213.42,213.42,4473651
2021-05-13,217.01,217.79,200,202.34,202.34,5779502
2021-05-14,207.32,218.2751,207.32,216.69,216.69,3488013
2021-05-17,216.74,221.78,213.93,218.84,218.84,3803434
2021-05-18,206.75,228.11,203.96,228,228,9603726
2021-05-19,219.5,226.68,218.32,226.66,226.66,3922691
2021-05-20,230.74,246.75,230.59,246.15,246.15,6234743
2021-05-21,246.15,250.25,242.5001,246.33,246.33,4539856
2021-05-24,249.5,259.07,249.5,254,254,4251224
2021-05-25,256.73,258,249.3,249.54,249.54,2027101
2021-05-26,251.8,254.27,245.89,246.23,246.23,1988463
2021-05-27,247.99,261.5,241.45,260.62,260.62,6828974
2021-05-28,255.51,261.34,252.01,253.24,253.24,3174800
2021-06-01,257.7,262.89,253.0428,257.54,257.54,2934427
2021-06-02,256.53,261.97,255.84,258.35,258.35,1507162
2021-06-03,256.16,257.645,248.605,249.6,249.6,2181384
2021-06-04,252,260.525,251.6,256.82,256.82,1953388
2021-06-07,256.38,258,253.2,257.32,257.32,1987862
2021-06-08,260,270,256.88,264.1,264.1,3611194
2021-06-09,265,269.73,262.226,263.08,263.08,2201879
2021-06-10,268.5,272.5,266.21,271.12,271.12,3428938
2021-06-11,272,278.52,270.18,277.69,277.69,3048512
2021-06-14,278.88,282.76,275.14,277.07,277.07,2800960
2021-06-15,280,280,264.37,271.19,271.19,2872249
2021-06-16,270.67,276.94,269.1301,274.78,274.78,2350641
2021-06-17,273.19,285.39,273,283.24,283.24,4189444
2021-06-18,284.6,286.6,280,282.49,282.49,2529882
2021-06-21,279.03,281.8,272.94,281.06,281.06,1721593
2021-06-22,281,282.8,276.02,280.87,280.87,1666807
2021-06-23,283.5,286,279.66,280.88,280.88,2797136
2021-06-24,285.72,297.75,284.05,289.42,289.42,4060579
2021-06-25,290.01,292.65,282.85,283.35,283.35,3565583
2021-06-28,284.54,287.81,281.12,281.12,281.12,2475161
2021-06-29,282,287.39,276.5086,287.19,287.19,3092238
2021-06-30,288.02,289.98,274.44,274.6,274.6,4929487
2021-07-01,274.6,278.98,269.77,272.31,272.31,2946521
2021-07-02,273.91,279.65,273.01,273.7,273.7,1874274
2021-07-06,275,279.23,271.56,275.68,275.68,2522850
2021-07-07,276.25,277.2,264.36,267.86,267.86,2792034
2021-07-08,254.81,268.58,253.03,267,267,3079904
2021-07-09,268.38,278.1199,267.92,275.7,275.7,1969850
2021-07-12,277.92,281.45,272.6,275.86,275.86,1098893
2021-07-13,278.73,286.6,276.24,280.94,280.94,2129572
2021-07-14,285,288.425,274.22,275.58,275.58,1910666
2021-07-15,272.2,276.84,264.96,268.83,268.83,2111629
2021-07-16,271.37,271.87,264.52,267.6,267.6,1517900
2021-07-19,260.13,274.67,260,272.84,272.84,1842740
2021-07-20,275.99,282.6,270.74,279.64,279.64,1946925
2021-07-21,278.84,295.5,277.19,293.92,293.92,2830896
2021-07-22,293.66,298.46,290.16,293.79,293.79,1914950
2021-07-23,294.07,300,292.09,297.67,297.67,2668331
2021-07-26,294.68,295.38,284.82,289.72,289.72,2393269
2021-07-27,276.39,280.3,255.7505,270.92,270.92,7949047
2021-07-28,274,276.38,264.97,275.54,275.54,4302518
2021-07-29,283.02,289.44,281,285.01,285.01,2419534
2021-07-30,278.69,285.98,273.11,276.16,276.16,2288766
2021-08-02,279.795,286.5229,276.41,281.29,281.29,1683254
2021-08-03,282.24,283.2464,277.235,282.97,282.97,1445991
2021-08-04,284.898,293.97,283.92,293.51,293.51,2653008
2021-08-05,291.91,307.49,291.91,304,304,4667449
2021-08-06,304.99,304.99,296.4997,302.72,302.72,2683433
2021-08-09,303.23,311.43,298.42,307.14,307.14,2447436
2021-08-10,308.82,310.2,295.87,296.95,296.95,1893860
2021-08-11,302.36,304.99,292.6,297,297,1599125
2021-08-12,302.53,308.5308,295.64,306.24,306.24,2292272
2021-08-13,305.13,315,303.3535,306.71,306.71,1887606
2021-08-16,305,305.44,285.75,290.49,290.49,3715800
2021-08-17,296.02,317.255,288.17,308.27,308.27,7334500
2021-08-18,311.41,326.79,305.5,318.61,318.61,4936300
2021-08-19,309.95,328.35,309.95,321.12,321.12,5107000
2021-08-20,316.99,321.99,308.528,309.33,309.33,4810200
2021-08-23,311.94,316.445,306.23,315.23,315.23,3229300
2021-08-24,319.99,321.53,310.87,312,312,2272700
2021-08-25,314.43,320.78,312.2,320.09,320.09,2235800
2021-08-26,316.27,322.805,313.05,321.77,321.77,2742600
2021-08-27,319.85,325.63,317.025,321.03,321.03,2902700
2021-08-30,325,337.499,324.04,331.82,331.82,3579900
2021-08-31,338,344.77,330.27,338.32,338.32,11631800
2021-09-01,340,349.217,338.99,340.08,340.08,4197700
2021-09-02,342.91,343.99,334.24,339,339,2405700
2021-09-03,338.15,353.885,337.13,353.36,353.36,2901600
2021-09-07,357.53,359.84,350.11,351.02,351.02,3452200
2021-09-08,348,349.185,342.03,343.8,343.8,3737700
2021-09-09,326.49,331.91,317.31,322.6,322.6,9807300
2021-09-10,330.5,337.54,323.62,325.5,325.5,9687100
2021-09-13,327.7,329.72,315.53,323.06,323.06,4660100
2021-09-14,323.69,334.91,323.69,333.55,333.55,3691700
2021-09-15,336,338.44,330.705,337.62,337.62,2821800
2021-09-16,336.1,343.35,334.12,342.91,342.91,3990300
2021-09-17,345,347.44,334.94,339.81,339.81,3350700
2021-09-20,327.48,335.5,321.19,329.62,329.62,4893000
2021-09-21,334.87,336.42,328.5,329.39,329.39,2426900
2021-09-22,329.11,338.9,327.39,337.31,337.31,2057400
2021-09-23,343.79,343.87,336.53,342.72,342.72,1895900
2021-09-24,339,344.64,335.51,340.41,340.41,2371500
2021-09-27,340.64,340.78,330.51,336.26,336.26,3037700
2021-09-28,332.3,332.38,313.81,316.72,316.72,4728500
2021-09-29,320,322.84,311.18,311.78,311.78,3861800
2021-09-30,314.79,324.9,314.41,318.73,318.73,3732500
2021-10-01,313.88,320.11,308.56,319.56,319.56,2424600
2021-10-04,317.28,317.95,308.78,317.9,317.9,2519300
2021-10-05,316.53,324.44,313.5,320.94,320.94,2601400
