Date,Open,High,Low,Close,Adjusted_close,Volume
2020-11-24,208,208.04,199.55,202.9,202.9,12288900
2020-11-25,207.45,214.52,204.57,212.92,212.92,12948100
2020-11-27,215,215,205.9,212.52,212.52,6526000
2020-11-30,213,213.54,200.23,210.96,210.96,14091100
2020-12-01,212.56,212.95,200.5,203,203,10814400
2020-12-02,200.13,204.06,195.13,202,202,10483700
2020-12-03,207,208.69,204.05,205.53,205.53,6918200
2020-12-04,206.29,209.75,203.58,208.15,208.15,6566200
2020-12-07,209.79,213.662,208.25,212.58,212.58,5895300
2020-12-08,213.33,213.9,208.25,213.01,213.01,5373200
2020-12-09,213.96,220.5,205.01,207.04,207.04,11133000
2020-12-10,205.39,217.61,203.57,217.25,217.25,7919200
2020-12-11,218.26,222.2,213.17,216.59,216.59,7914600
2020-12-14,218.01,220.43,214.501,215.86,215.86,7379000
2020-12-15,218.415,221.72,216.73,219.99,219.99,5713600
2020-12-16,223.86,227.96,220.03,227.08,227.08,8216500
2020-12-17,230,237.09,227.7,230.74,230.74,10440100
2020-12-18,235,236.37,231.1,235.45,235.45,8099521
2020-12-21,236.09,241.85,232.26,233.5,233.5,11155400
2020-12-22,236.5,243.38,236,241.58,241.58,9414200
2020-12-23,241.36,241.82,230.58,230.68,230.68,13482700
2020-12-24,234.23,236,225.9,228.28,228.28,8411200
2020-12-28,232.38,232.95,219.65,223.34,223.34,11640019
2020-12-29,223.88,224.59,208.81,214,214,15453083
2020-12-30,215.94,221.51,214.0671,221.04,221.04,9836969
2020-12-31,217.71,219.45,214.42,217.64,217.64,6872354
2021-01-04,222.495,225.98,216,221.16,221.16,9838438
2021-01-05,219.42,230.34,219,229.75,229.75,9699380
2021-01-06,223.41,233.5,223.161,226.89,226.89,12003503
2021-01-07,232.52,240.4,231.5,239.48,239.48,10214207
2021-01-08,244.35,246.49,237.18,241.45,241.45,9102059
2021-01-11,231.61,232.74,225.3,225.5,225.5,14107525
2021-01-12,228.51,229.3299,223.72,227.52,227.52,8452892
2021-01-13,228.95,234.8213,226.8,230.92,230.92,7601353
2021-01-14,233.9,238.76,229.59,232.79,232.79,6706528
2021-01-15,233.63,236.43,225.58,227.75,227.75,7049176
2021-01-19,231.07,231.59,223.25,227.26,227.26,6505627
2021-01-20,230.12,230.88,225.5,226.65,226.65,6012419
2021-01-21,227,227.5,218.2001,219.62,219.62,10472442
2021-01-22,219,222.91,217.71,222.88,222.88,6867511
2021-01-25,225,225.94,209.75,216.64,216.64,11328134
2021-01-26,217.09,219,208.71,209.17,209.17,10039511
2021-01-27,204.01,209.35,197.7,202.46,202.46,10892700
2021-01-28,208.72,222.58,206.56,219.91,219.91,12500800
2021-01-29,224.97,225.9,212.58,215.96,215.96,9383900
2021-02-01,215.81,223.01,213.44,221.94,221.94,7849300
2021-02-02,225.19,230.22,221.99,227.63,227.63,6545300
2021-02-03,228.5,234.57,221.88,227.94,227.94,5193400
2021-02-04,233.53,239.31,231.07,237.72,237.72,8893400
2021-02-05,238,240.57,235.27,240.38,240.38,5077600
2021-02-08,245.08,264.267,244,259.97,259.97,17114900
2021-02-09,256.58,262.57,250.55,258.12,258.12,10815100
2021-02-10,259.77,263.15,252.75,257.49,257.49,8644600
2021-02-11,262,269.665,258.5,265.93,265.93,10191800
2021-02-12,265.15,273.84,262.531,272.75,272.75,6766100
2021-02-16,277.12,283.19,272.32,276.02,276.02,9176000
2021-02-17,274.37,274.47,260.76,270.94,270.94,11068400
2021-02-18,265.49,272.79,261.853,270.85,270.85,7219500
2021-02-19,275.12,280.939,273.59,276.57,276.57,7358000
2021-02-22,271.85,278.1,266.36,268.08,268.08,9740392
2021-02-23,247.55,261.3,232.5,256.59,256.59,18971869
2021-02-24,243.11,246,230.68,237.32,237.32,26123100
2021-02-25,244.87,245.84,223.66,227.11,227.11,15916300
2021-02-26,226.32,232.78,217.4,230.03,230.03,14898400
2021-03-01,238.11,241.719,232.1,241,241,8834000
2021-03-02,251.9,258.49,246.47,252.2,252.2,17317100
2021-03-03,249,250.95,232.006,234.2,234.2,12103000
2021-03-04,228.76,232.63,210,218.41,218.41,18423900
2021-03-05,221.27,222.01,191.36,216.44,216.44,24750600
2021-03-08,217.71,221.63,201,201.87,201.87,13442500
2021-03-09,215.37,226.49,211.5,225.09,225.09,14438500
2021-03-10,231.61,237.92,223.205,226.73,226.73,12951600
2021-03-11,234.97,243.49,231.01,241.72,241.72,11703500
2021-03-12,232,242.22,230.05,242.11,242.11,8829600
2021-03-15,243.52,251.26,239.617,251.23,251.23,8867200
2021-03-16,252.26,252.5,238.67,243.36,243.36,7440400
2021-03-17,235,248.68,232.75,246.47,246.47,10098700
2021-03-18,242.8,243.4,222.56,224.3,224.3,12435000
2021-03-19,227.19,229.4,219.52,224.84,224.84,10454400
2021-03-22,225.24,230.18,221.74,226.13,226.13,6386100
2021-03-23,226.39,228.38,221.49,223.2,223.2,5591500
2021-03-24,224.3,225.9,212.155,213.51,213.51,9262500
2021-03-25,204.6,211.96,202.1,208.47,208.47,12878900
2021-03-26,209.32,216.79,203.96,213.6,213.6,9180900
2021-03-29,212,214.39,202.93,207.18,207.18,9695800
2021-03-30,204.49,214.3,202.83,212.83,212.83,9735700
2021-03-31,218.41,232.76,218.41,227.05,227.05,14453700
2021-04-01,231.26,236.46,227.57,229.51,229.51,9260800
2021-04-05,231.62,233.32,224.1,229.95,229.95,7535000
2021-04-06,230.49,238.5,228.08,236.5,236.5,8768500
2021-04-07,237.51,249.9,236,245.12,245.12,17012200
2021-04-08,248.83,258.59,248.82,258.37,258.37,15728200
2021-04-09,255.89,265.3,253.68,261.65,261.65,14959800
2021-04-12,258.19,266.96,255.85,265.2,265.2,9051300
2021-04-13,267.48,275.45,266.9,273.23,273.23,10561700
2021-04-14,274.13,278.13,256.575,258.4,258.4,12486400
2021-04-15,262.85,268.414,260.74,263.08,263.08,8944400
2021-04-16,263.24,263.44,254.669,256.1,256.1,8539700
2021-04-19,250.22,253.3,242.58,245.33,245.33,10735500
2021-04-20,247.59,253,243.68,245.5,245.5,12580000
2021-04-21,243.11,251.482,240.34,245.25,245.25,9965200
2021-04-22,246.46,255.805,242.71,245.11,245.11,12730800
2021-04-23,243.39,247.57,240.34,246.43,246.43,8459800
2021-04-26,248.27,256.97,246.3,255.77,255.77,8494400
2021-04-27,256.96,260.81,253.4,253.79,253.79,6791500
2021-04-28,253,258.97,249.4,254.2,254.2,6140700
2021-04-29,257.358,259.88,245.01,247.76,247.76,6592800
2021-04-30,244.24,249.96,243.39,244.82,244.82,6181200
2021-05-03,246.6,249.419,241.79,243.68,243.68,5268800
2021-05-04,238.83,240.19,228.619,231.19,231.19,9123600
2021-05-05,237.5,239.14,229.8,231.87,231.87,3792900
2021-05-06,235.21,235.35,216.7,223.96,223.96,14759100
2021-05-07,240.09,241.699,231.179,233.35,233.35,14820100
2021-05-10,229.62,230,216.01,216.43,216.43,13256900
2021-05-11,205.89,221.78,205.69,220.65,220.65,13676100
2021-05-12,215.3,218.76,205.6,206.67,206.67,11778300
2021-05-13,208.2,211.5,192.29,197.13,197.13,21397100
2021-05-14,200.28,208.3,198.17,207.85,207.85,11479100
2021-05-17,205,205,195.55,202.92,202.92,12133800
2021-05-18,202.5,209.73,199.729,203.16,203.16,10088000
2021-05-19,193.8,200.85,192.21,200.11,200.11,16413300
2021-05-20,202.59,206.69,202.2,204.91,204.91,8336500
2021-05-21,207,208.9,199.62,200.01,200.01,9230000
2021-05-24,202.17,212.8,197.3,210.95,210.95,13215000
2021-05-25,212.07,219.09,211.77,216.2,216.2,14779000
2021-05-26,218.04,223.83,215.8,222.34,222.34,11914400
2021-05-27,222.38,223.39,217.66,220.9,220.9,8545600
2021-05-28,221.88,225.9,221.65,222.52,222.52,6779800
2021-06-01,223.54,227.065,218.577,221.95,221.95,6902900
2021-06-02,221.33,224.88,219.49,220.41,220.41,7147500
2021-06-03,218.87,219.94,211.25,211.43,211.43,7255738
2021-06-04,212.51,218.281,211.74,213.69,213.69,8982400
