SE   | date:2021-11-1 | PR:1537.0 | DF:310.7$->305.7$(-5.1$)/(306.9$-320.1$)      | -1.6%  | SE  
SE   | date:2021-11-1 | PR:2183.5 | DF:310.7$->324.1$(13.4$)/(306.9$-320.1$)      | 4.3%   | SE  
SE   | date:2021-11-1 | PR:5138.4 | DF:310.7$->330.4$(19.6$)/(306.9$-320.1$)      | 6.3%   | SE  

FB   | date:2021-11-1 | PR:406.7  | DF:338.7$->336.3$(-2.4$)/(336.1$-342.4$)      | -0.7%  | FB  
FB   | date:2021-11-1 | PR:405.7  | DF:338.7$->341.0$(2.3$)/(336.1$-342.4$)       | 0.7%   | FB  
FB   | date:2021-11-1 | PR:520.8  | DF:338.7$->355.0$(16.3$)/(336.1$-342.4$)      | 4.8%   | FB  

GOOG | date:2021-11-1 | PR:372.2  | DF:3014.2$->2970.1$(-44.1$)/(2980.0$-3032.2$) | -1.5%  | GOOG
GOOG | date:2021-11-1 | PR:343.2  | DF:3014.2$->2968.8$(-45.4$)/(2980.0$-3032.2$) | -1.5%  | GOOG
GOOG | date:2021-11-1 | PR:478.1  | DF:3014.2$->2991.3$(-22.9$)/(2980.0$-3032.2$) | -0.8%  | GOOG

MSFT | date:2021-11-1 | PR:335.7  | DF:341.3$->336.7$(-4.6$)/(337.1$-342.4$)      | -1.3%  | MSFT
MSFT | date:2021-11-1 | PR:295.9  | DF:341.3$->336.4$(-4.8$)/(337.1$-342.4$)      | -1.4%  | MSFT
MSFT | date:2021-11-1 | PR:335.4  | DF:341.3$->332.7$(-8.6$)/(337.1$-342.4$)      | -2.5%  | MSFT

AMZN | date:2021-11-1 | PR:331.6  | DF:3696.1$->3720.2$(24.2$)/(3561.0$-3704.2$)  | 0.7%   | AMZN
AMZN | date:2021-11-1 | PR:238.8  | DF:3696.1$->3515.3$(-180.8$)/(3561.0$-3704.2$ | -4.9%  | AMZN
AMZN | date:2021-11-1 | PR:259.1  | DF:3696.1$->3478.1$(-218.0$)/(3561.0$-3704.2$ | -5.9%  | AMZN

BABA | date:2021-11-1 | PR:100.0  | DF:143.6$->0.0$(-143.6$)/(141.9$-148.5$)      | -100.0 | BABA
BABA | date:2021-11-1 | PR:239.0  | DF:143.6$->159.5$(15.9$)/(141.9$-148.5$)      | 11.1%  | BABA
BABA | date:2021-11-1 | PR:33.3   | DF:143.6$->0.0$(-143.6$)/(141.9$-148.5$)      | -100.0 | BABA

MA   | date:2021-11-1 | PR:100.0  | DF:348.2$->0.0$(-348.2$)/(344.6$-362.5$)      | -100.0 | MA  
MA   | date:2021-11-1 | PR:248.6  | DF:348.2$->364.5$(16.3$)/(344.6$-362.5$)      | 4.7%   | MA  
MA   | date:2021-11-1 | PR:33.3   | DF:348.2$->0.0$(-348.2$)/(344.6$-362.5$)      | -100.0 | MA  

SQ   | date:2021-11-1 | PR:100.0  | DF:230.3$->0.0$(-230.3$)/(228.1$-237.8$)      | -100.0 | SQ  
SQ   | date:2021-11-1 | PR:707.2  | DF:230.3$->236.2$(5.9$)/(228.1$-237.8$)       | 2.6%   | SQ  
SQ   | date:2021-11-1 | PR:33.3   | DF:230.3$->0.0$(-230.3$)/(228.1$-237.8$)      | -100.0 | SQ  

FTNT | date:2021-11-1 | PR:100.0  | DF:343.5$->0.0$(-343.5$)/(338.1$-346.4$)      | -100.0 | FTNT
FTNT | date:2021-11-1 | PR:863.8  | DF:343.5$->346.7$(3.2$)/(338.1$-346.4$)       | 0.9%   | FTNT
FTNT | date:2021-11-1 | PR:33.3   | DF:343.5$->0.0$(-343.5$)/(338.1$-346.4$)      | -100.0 | FTNT

DIA  | date:2021-11-1 | PR:100.0  | DF:359.4$->0.0$(-359.4$)/(357.1$-360.0$)      | -100.0 | DIA 
DIA  | date:2021-11-1 | PR:110.6  | DF:359.4$->358.2$(-1.2$)/(357.1$-360.0$)      | -0.3%  | DIA 
DIA  | date:2021-11-1 | PR:33.3   | DF:359.4$->0.0$(-359.4$)/(357.1$-360.0$)      | -100.0 | DIA 

MELI | date:2021-11-1 | PR:100.0  | DF:1446.1$->0.0$(-1446.1$)/(1428.2$-1486.7$)  | -100.0 | MELI
MELI | date:2021-11-1 | PR:570.7  | DF:1446.1$->1423.3$(-22.8$)/(1428.2$-1486.7$) | -1.6%  | MELI
MELI | date:2021-11-1 | PR:33.3   | DF:1446.1$->0.0$(-1446.1$)/(1428.2$-1486.7$)  | -100.0 | MELI

REGN | date:2021-11-1 | PR:100.0  | DF:648.5$->0.0$(-648.5$)/(638.6$-653.0$)      | -100.0 | REGN
REGN | date:2021-11-1 | PR:347.3  | DF:648.5$->633.9$(-14.6$)/(638.6$-653.0$)     | -2.2%  | REGN
REGN | date:2021-11-1 | PR:33.3   | DF:648.5$->0.0$(-648.5$)/(638.6$-653.0$)      | -100.0 | REGN

NET  | date:2021-11-1 | PR:100.0  | DF:217.2$->0.0$(-217.2$)/(208.5$-221.6$)      | -100.0 | NET 
NET  | date:2021-11-1 | PR:4194.0 | DF:217.2$->212.2$(-5.0$)/(208.5$-221.6$)      | -2.3%  | NET 
NET  | date:2021-11-1 | PR:33.3   | DF:217.2$->0.0$(-217.2$)/(208.5$-221.6$)      | -100.0 | NET 

AMD  | date:2021-11-1 | PR:100.0  | DF:155.0$->0.0$(-155.0$)/(152.6$-158.9$)      | -100.0 | AMD 
AMD  | date:2021-11-1 | PR:1240.4 | DF:155.0$->149.2$(-5.8$)/(152.6$-158.9$)      | -3.7%  | AMD 
AMD  | date:2021-11-1 | PR:33.3   | DF:155.0$->0.0$(-155.0$)/(152.6$-158.9$)      | -100.0 | AMD 

