MA   | date:2021-11-1 | PR:306.3  | DF:339.7$->343.0$(3.3$)/(339.1$-346.6$)       | 1.0%   | MA  
MA   | date:2021-11-1 | PR:230.8  | DF:339.7$->342.0$(2.3$)/(339.1$-346.6$)       | 0.7%   | MA  
MA   | date:2021-11-1 | PR:257.7  | DF:339.7$->347.7$(8.0$)/(339.1$-346.6$)       | 2.4%   | MA  

GOOG | date:2021-11-1 | PR:354.7  | DF:2999.1$->3043.7$(44.7$)/(2997.8$-3037.0$)  | 1.5%   | GOOG
GOOG | date:2021-11-1 | PR:328.5  | DF:2999.1$->3018.0$(19.0$)/(2997.8$-3037.0$)  | 0.6%   | GOOG
GOOG | date:2021-11-1 | PR:392.6  | DF:2999.1$->2993.6$(-5.5$)/(2997.8$-3037.0$)  | -0.2%  | GOOG

SE   | date:2021-11-1 | PR:1324.8 | DF:310.0$->312.7$(2.7$)/(307.8$-317.3$)       | 0.9%   | SE  
SE   | date:2021-11-1 | PR:1809.7 | DF:310.0$->311.3$(1.3$)/(307.8$-317.3$)       | 0.4%   | SE  
SE   | date:2021-11-1 | PR:4637.9 | DF:310.0$->317.0$(7.0$)/(307.8$-317.3$)       | 2.3%   | SE  

DIA  | date:2021-11-1 | PR:161.7  | DF:355.9$->357.2$(1.3$)/(355.4$-357.9$)       | 0.4%   | DIA 
DIA  | date:2021-11-1 | PR:103.3  | DF:355.9$->361.9$(6.0$)/(355.4$-357.9$)       | 1.7%   | DIA 
DIA  | date:2021-11-1 | PR:93.1   | DF:355.9$->361.5$(5.6$)/(355.4$-357.9$)       | 1.6%   | DIA 

REGN | date:2021-11-1 | PR:377.8  | DF:652.7$->657.3$(4.6$)/(646.4$-657.6$)       | 0.7%   | REGN
REGN | date:2021-11-1 | PR:329.2  | DF:652.7$->651.0$(-1.7$)/(646.4$-657.6$)      | -0.3%  | REGN
REGN | date:2021-11-1 | PR:409.4  | DF:652.7$->648.9$(-3.8$)/(646.4$-657.6$)      | -0.6%  | REGN

FTNT | date:2021-11-1 | PR:594.1  | DF:342.5$->338.2$(-4.3$)/(341.9$-350.6$)      | -1.2%  | FTNT
FTNT | date:2021-11-1 | PR:757.7  | DF:342.5$->348.6$(6.1$)/(341.9$-350.6$)       | 1.8%   | FTNT
FTNT | date:2021-11-1 | PR:1180.3 | DF:342.5$->346.4$(3.9$)/(341.9$-350.6$)       | 1.1%   | FTNT

SQ   | date:2021-11-1 | PR:296.0  | DF:230.3$->225.2$(-5.1$)/(228.1$-237.8$)      | -2.2%  | SQ  
SQ   | date:2021-11-1 | PR:291.5  | DF:230.3$->233.0$(2.7$)/(228.1$-237.8$)       | 1.2%   | SQ  
SQ   | date:2021-11-1 | PR:481.4  | DF:230.3$->243.7$(13.3$)/(228.1$-237.8$)      | 5.8%   | SQ  

FB   | date:2021-11-1 | PR:380.5  | DF:345.3$->347.2$(1.9$)/(339.9$-352.1$)       | 0.6%   | FB  
FB   | date:2021-11-1 | PR:373.8  | DF:345.3$->337.9$(-7.4$)/(339.9$-352.1$)      | -2.2%  | FB  
FB   | date:2021-11-1 | PR:444.2  | DF:345.3$->344.9$(-0.4$)/(339.9$-352.1$)      | -0.1%  | FB  

AMD  | date:2021-11-1 | PR:818.9  | DF:155.4$->154.6$(-0.8$)/(153.4$-156.9$)      | -0.5%  | AMD 
AMD  | date:2021-11-1 | PR:1172.5 | DF:155.4$->155.2$(-0.2$)/(153.4$-156.9$)      | -0.2%  | AMD 
AMD  | date:2021-11-1 | PR:1804.0 | DF:155.4$->154.2$(-1.2$)/(153.4$-156.9$)      | -0.8%  | AMD 

MSFT | date:2021-11-1 | PR:309.1  | DF:343.1$->343.8$(0.6$)/(342.2$-345.1$)       | 0.2%   | MSFT
MSFT | date:2021-11-1 | PR:273.3  | DF:343.1$->333.0$(-10.1$)/(342.2$-345.1$)     | -3.0%  | MSFT
MSFT | date:2021-11-1 | PR:315.8  | DF:343.1$->337.9$(-5.2$)/(342.2$-345.1$)      | -1.5%  | MSFT

NET  | date:2021-11-1 | PR:654.8  | DF:217.2$->216.9$(-0.3$)/(208.5$-221.6$)      | -0.2%  | NET 
NET  | date:2021-11-1 | PR:358.7  | DF:217.2$->209.1$(-8.1$)/(208.5$-221.6$)      | -3.7%  | NET 
NET  | date:2021-11-1 | PR:1268.7 | DF:217.2$->219.6$(2.3$)/(208.5$-221.6$)       | 1.1%   | NET 

AMZN | date:2021-11-1 | PR:299.1  | DF:3676.6$->3643.0$(-33.5$)/(3675.7$-3762.1$) | -0.9%  | AMZN
AMZN | date:2021-11-1 | PR:245.5  | DF:3676.6$->3624.1$(-52.4$)/(3675.7$-3762.1$) | -1.4%  | AMZN
AMZN | date:2021-11-1 | PR:255.7  | DF:3676.6$->3456.2$(-220.4$)/(3675.7$-3762.1$ | -6.0%  | AMZN

BABA | date:2021-11-1 | PR:374.0  | DF:140.3$->134.1$(-6.2$)/(140.0$-145.1$)      | -4.5%  | BABA
BABA | date:2021-11-1 | PR:175.9  | DF:140.3$->135.8$(-4.5$)/(140.0$-145.1$)      | -3.2%  | BABA
BABA | date:2021-11-1 | PR:203.5  | DF:140.3$->151.8$(11.4$)/(140.0$-145.1$)      | 8.1%   | BABA

MELI | date:2021-11-1 | PR:530.1  | DF:1401.3$->1367.1$(-34.2$)/(1394.0$-1454.6$) | -2.4%  | MELI
MELI | date:2021-11-1 | PR:464.1  | DF:1401.3$->1360.9$(-40.4$)/(1394.0$-1454.6$) | -2.9%  | MELI
