NET  | date:2021-11-2 | PR:441.4  | DF:184.7$->190.0$(5.4$)/(178.4$-191.4$)       | 2.9%   | NET 
NET  | date:2021-11-2 | PR:2762.3 | DF:184.7$->199.6$(14.9$)/(178.4$-191.4$)      | 8.1%   | NET 
NET  | date:2021-11-2 | PR:6094.5 | DF:184.7$->214.1$(29.4$)/(178.4$-191.4$)      | 15.9%  | NET 

SE   | date:2021-11-2 | PR:1312.7 | DF:287.5$->294.7$(7.2$)/(272.6$-297.5$)       | 2.5%   | SE  
SE   | date:2021-11-2 | PR:1853.6 | DF:287.5$->311.8$(24.3$)/(272.6$-297.5$)      | 8.5%   | SE  
SE   | date:2021-11-2 | PR:3668.2 | DF:287.5$->302.0$(14.5$)/(272.6$-297.5$)      | 5.0%   | SE  

FB   | date:2021-11-2 | PR:390.6  | DF:337.2$->340.5$(3.2$)/(333.5$-341.4$)       | 0.9%   | FB  
FB   | date:2021-11-2 | PR:397.8  | DF:337.2$->346.2$(8.9$)/(333.5$-341.4$)       | 2.6%   | FB  
FB   | date:2021-11-2 | PR:537.9  | DF:337.2$->344.9$(7.6$)/(333.5$-341.4$)       | 2.3%   | FB  

AMD  | date:2021-11-2 | PR:753.8  | DF:149.9$->152.0$(2.1$)/(145.3$-152.7$)       | 1.4%   | AMD 
AMD  | date:2021-11-2 | PR:1155.0 | DF:149.9$->153.2$(3.3$)/(145.3$-152.7$)       | 2.2%   | AMD 
AMD  | date:2021-11-2 | PR:1679.7 | DF:149.9$->149.8$(-0.2$)/(145.3$-152.7$)      | -0.1%  | AMD 

GOOG | date:2021-11-2 | PR:351.9  | DF:2935.1$->2958.5$(23.4$)/(2897.8$-2953.9$)  | 0.8%   | GOOG
GOOG | date:2021-11-2 | PR:305.3  | DF:2935.1$->2930.2$(-5.0$)/(2897.8$-2953.9$)  | -0.2%  | GOOG
GOOG | date:2021-11-2 | PR:434.2  | DF:2935.1$->3053.1$(117.9$)/(2897.8$-2953.9$) | 4.0%   | GOOG

FTNT | date:2021-11-2 | PR:626.5  | DF:327.5$->324.8$(-2.6$)/(318.3$-333.1$)      | -0.8%  | FTNT
FTNT | date:2021-11-2 | PR:736.2  | DF:327.5$->335.6$(8.1$)/(318.3$-333.1$)       | 2.5%   | FTNT
FTNT | date:2021-11-2 | PR:1075.7 | DF:327.5$->341.0$(13.5$)/(318.3$-333.1$)      | 4.1%   | FTNT

REGN | date:2021-11-2 | PR:362.9  | DF:649.3$->653.0$(3.7$)/(639.5$-651.0$)       | 0.6%   | REGN
REGN | date:2021-11-2 | PR:324.9  | DF:649.3$->636.3$(-13.0$)/(639.5$-651.0$)     | -2.0%  | REGN
REGN | date:2021-11-2 | PR:403.2  | DF:649.3$->694.5$(45.2$)/(639.5$-651.0$)      | 7.0%   | REGN

DIA  | date:2021-11-2 | PR:162.7  | DF:358.0$->358.0$(-0.1$)/(355.3$-358.4$)      | -0.0%  | DIA 
DIA  | date:2021-11-2 | PR:104.9  | DF:358.0$->357.7$(-0.4$)/(355.3$-358.4$)      | -0.1%  | DIA 
DIA  | date:2021-11-2 | PR:87.8   | DF:358.0$->358.8$(0.7$)/(355.3$-358.4$)       | 0.2%   | DIA 

SQ   | date:2021-11-2 | PR:183.3  | DF:210.6$->201.2$(-9.3$)/(205.4$-214.7$)      | -4.4%  | SQ  
SQ   | date:2021-11-2 | PR:603.4  | DF:210.6$->221.6$(11.1$)/(205.4$-214.7$)      | 5.3%   | SQ  
SQ   | date:2021-11-2 | PR:717.0  | DF:210.6$->223.3$(12.7$)/(205.4$-214.7$)      | 6.0%   | SQ  

MSFT | date:2021-11-2 | PR:323.0  | DF:337.7$->338.1$(0.4$)/(333.6$-339.4$)       | 0.1%   | MSFT
MSFT | date:2021-11-2 | PR:285.5  | DF:337.7$->335.1$(-2.6$)/(333.6$-339.4$)      | -0.8%  | MSFT
MSFT | date:2021-11-2 | PR:323.9  | DF:337.7$->337.0$(-0.7$)/(333.6$-339.4$)      | -0.2%  | MSFT

MA   | date:2021-11-2 | PR:295.1  | DF:329.0$->325.3$(-3.7$)/(321.7$-329.7$)      | -1.1%  | MA  
MA   | date:2021-11-2 | PR:222.1  | DF:329.0$->327.6$(-1.4$)/(321.7$-329.7$)      | -0.4%  | MA  
MA   | date:2021-11-2 | PR:217.9  | DF:329.0$->339.8$(10.8$)/(321.7$-329.7$)      | 3.3%   | MA  

AMZN | date:2021-11-2 | PR:324.9  | DF:3580.0$->3585.4$(5.3$)/(3527.7$-3621.1$)   | 0.1%   | AMZN
AMZN | date:2021-11-2 | PR:235.5  | DF:3580.0$->3549.8$(-30.2$)/(3527.7$-3621.1$) | -0.8%  | AMZN
AMZN | date:2021-11-2 | PR:261.2  | DF:3580.0$->3510.4$(-69.6$)/(3527.7$-3621.1$) | -1.9%  | AMZN

MELI | date:2021-11-2 | PR:606.2  | DF:1285.0$->1267.1$(-17.9$)/(1273.8$-1337.2$) | -1.4%  | MELI
MELI | date:2021-11-2 | PR:521.9  | DF:1285.0$->1272.9$(-12.1$)/(1273.8$-1337.2$) | -0.9%  | MELI
MELI | date:2021-11-2 | PR:745.8  | DF:1285.0$->1328.9$(43.9$)/(1273.8$-1337.2$)  | 3.4%   | MELI

BABA | date:2021-11-2 | PR:336.9  | DF:133.7$->130.1$(-3.5$)/(133.3$-136.8$)      | -2.6%  | BABA
BABA | date:2021-11-2 | PR:230.3  | DF:133.7$->137.7$(4.1$)/(133.3$-136.8$)       | 3.0%   | BABA
BABA | date:2021-11-2 | PR:209.5  | DF:133.7$->132.9$(-0.8$)/(133.3$-136.8$)      | -0.6%  | BABA

