SE   | date:2021-11-2 | PR:1283.0 | DF:289.6$->314.1$(24.5$)/(278.5$-292.9$)      | 8.5%   | SE  
SE   | date:2021-11-2 | PR:1750.5 | DF:289.6$->319.9$(30.3$)/(278.5$-292.9$)      | 10.5%  | SE  
SE   | date:2021-11-2 | PR:3424.1 | DF:289.6$->322.2$(32.6$)/(278.5$-292.9$)      | 11.3%  | SE  

AMD  | date:2021-11-2 | PR:793.4  | DF:157.8$->162.8$(5.0$)/(147.2$-157.9$)       | 3.2%   | AMD 
AMD  | date:2021-11-2 | PR:1169.3 | DF:157.8$->156.5$(-1.3$)/(147.2$-157.9$)      | -0.8%  | AMD 
AMD  | date:2021-11-2 | PR:1676.3 | DF:157.8$->152.2$(-5.6$)/(147.2$-157.9$)      | -3.5%  | AMD 

MSFT | date:2021-11-2 | PR:321.3  | DF:337.9$->339.3$(1.4$)/(333.9$-338.2$)       | 0.4%   | MSFT
MSFT | date:2021-11-2 | PR:285.5  | DF:337.9$->347.2$(9.3$)/(333.9$-338.2$)       | 2.8%   | MSFT
MSFT | date:2021-11-2 | PR:323.9  | DF:337.9$->338.7$(0.7$)/(333.9$-338.2$)       | 0.2%   | MSFT

BABA | date:2021-11-2 | PR:323.6  | DF:136.5$->139.5$(3.0$)/(131.2$-136.8$)       | 2.2%   | BABA
BABA | date:2021-11-2 | PR:229.7  | DF:136.5$->131.9$(-4.6$)/(131.2$-136.8$)      | -3.4%  | BABA
BABA | date:2021-11-2 | PR:209.5  | DF:136.5$->140.9$(4.4$)/(131.2$-136.8$)       | 3.2%   | BABA

REGN | date:2021-11-2 | PR:349.5  | DF:648.2$->657.4$(9.2$)/(647.5$-656.0$)       | 1.4%   | REGN
REGN | date:2021-11-2 | PR:310.9  | DF:648.2$->642.9$(-5.3$)/(647.5$-656.0$)      | -0.8%  | REGN
REGN | date:2021-11-2 | PR:381.0  | DF:648.2$->653.4$(5.2$)/(647.5$-656.0$)       | 0.8%   | REGN

FTNT | date:2021-11-2 | PR:605.8  | DF:333.2$->338.8$(5.6$)/(320.0$-333.4$)       | 1.7%   | FTNT
FTNT | date:2021-11-2 | PR:717.0  | DF:333.2$->326.4$(-6.9$)/(320.0$-333.4$)      | -2.1%  | FTNT
FTNT | date:2021-11-2 | PR:1007.7 | DF:333.2$->339.5$(6.3$)/(320.0$-333.4$)       | 1.9%   | FTNT

GOOG | date:2021-11-2 | PR:347.9  | DF:2934.4$->2959.8$(25.4$)/(2904.0$-2940.0$)  | 0.9%   | GOOG
GOOG | date:2021-11-2 | PR:308.9  | DF:2934.4$->2949.4$(15.0$)/(2904.0$-2940.0$)  | 0.5%   | GOOG
GOOG | date:2021-11-2 | PR:434.7  | DF:2934.4$->2932.3$(-2.0$)/(2904.0$-2940.0$)  | -0.1%  | GOOG

MELI | date:2021-11-2 | PR:563.5  | DF:1273.0$->1281.1$(8.1$)/(1263.0$-1308.3$)   | 0.6%   | MELI
MELI | date:2021-11-2 | PR:473.4  | DF:1273.0$->1278.7$(5.7$)/(1263.0$-1308.3$)   | 0.5%   | MELI
MELI | date:2021-11-2 | PR:658.4  | DF:1273.0$->1274.9$(1.9$)/(1263.0$-1308.3$)   | 0.2%   | MELI

FB   | date:2021-11-2 | PR:365.2  | DF:341.1$->342.8$(1.8$)/(332.9$-341.8$)       | 0.5%   | FB  
FB   | date:2021-11-2 | PR:397.9  | DF:341.1$->341.7$(0.6$)/(332.9$-341.8$)       | 0.2%   | FB  
FB   | date:2021-11-2 | PR:537.9  | DF:341.1$->344.3$(3.2$)/(332.9$-341.8$)       | 0.9%   | FB  

DIA  | date:2021-11-2 | PR:162.5  | DF:358.0$->357.7$(-0.3$)/(355.8$-358.2$)      | -0.1%  | DIA 
DIA  | date:2021-11-2 | PR:105.5  | DF:358.0$->357.7$(-0.3$)/(355.8$-358.2$)      | -0.1%  | DIA 
DIA  | date:2021-11-2 | PR:88.3   | DF:358.0$->353.0$(-5.0$)/(355.8$-358.2$)      | -1.4%  | DIA 

SQ   | date:2021-11-2 | PR:181.8  | DF:215.7$->215.8$(0.2$)/(207.3$-217.1$)       | 0.1%   | SQ  
SQ   | date:2021-11-2 | PR:615.8  | DF:215.7$->211.9$(-3.8$)/(207.3$-217.1$)      | -1.8%  | SQ  
SQ   | date:2021-11-2 | PR:717.0  | DF:215.7$->215.3$(-0.3$)/(207.3$-217.1$)      | -0.1%  | SQ  

AMZN | date:2021-11-2 | PR:322.8  | DF:3580.4$->3517.5$(-62.9$)/(3536.9$-3613.0$) | -1.8%  | AMZN
AMZN | date:2021-11-2 | PR:239.1  | DF:3580.4$->3601.2$(20.7$)/(3536.9$-3613.0$)  | 0.6%   | AMZN
AMZN | date:2021-11-2 | PR:264.6  | DF:3580.4$->3550.2$(-30.3$)/(3536.9$-3613.0$) | -0.8%  | AMZN

MA   | date:2021-11-2 | PR:291.7  | DF:340.0$->340.0$(-0.0$)/(325.0$-340.4$)      | -0.0%  | MA  
MA   | date:2021-11-2 | PR:235.0  | DF:340.0$->323.7$(-16.3$)/(325.0$-340.4$)     | -4.8%  | MA  
MA   | date:2021-11-2 | PR:218.1  | DF:340.0$->325.1$(-14.9$)/(325.0$-340.4$)     | -4.4%  | MA  

NET  | date:2021-11-2 | PR:471.1  | DF:197.4$->188.2$(-9.2$)/(180.0$-198.3$)      | -4.7%  | NET 
